Nom;Text;Original Text;Tags
Loading screen;"La capital de l’empire Noxien a été fondé autour du bastion immortel (The Immortal Bastion); la citadel d’un revenant redouté qui a terrorisé Valoran pendant des siècles. ";;LoadingScreen, Lore, Noxus, ImmortalBastion, Mordekaiser
Loading screen;L’un des nombreux titres de Kled est « Haut-major commodore de la Compagnie Première Légion Troisième Multiplication Double Admiral Artillery Vanguard ».;;LoadingScreen, Lore, Kled
Loading screen;Les Brackerns, une race d'énormes scorpions au corps de cristal, sommeillent dans les sables sous une vallée cachée de Shurima. ;;LoadingScreen, Lore, Shurima, Brackern
Loading screen;Sai Kahleek est l'un des déserts les plus redoutés de Shurima, car il est peuplé par les voraces Xer'Sai.;;LoadingScreen, Lore, Shurima, Xer’Sai
Loading screen;De nombreux Néantins (Voidborn) ont des noms issus de l'ancienne langue shurimane.;;LoadingScreen, Lore, Voidborn, Néantin, Shurima
Loading screen;Le Dieu-Saule était un arbre ancien trouvé à Ionia, avant d'être abattu par Ivern le Cruel.;;LoadingScreen, Lore, SpiritTree, Ivern
Loading screen;Une grande partie des exportations de Bilgewater provient des biens de valeur récoltés sur les carcasses de monstres marins vidés aux quais d'abattage.;;LoadingScreen, Lore, Bilgewater
Loading screen;L'homme qui a précédé Shen en tant qu' « Oeil du Crépuscule » était son père, Kusho.;;LoadingScreen, Lore, Shen
Loading screen;Les armes de Miss Fortune ont été fabriquées par sa mère pour un jeune Gangplank, qui a retourné les armes contre leur créateur.;;LoadingScreen, Lore, MissFortune, Gangplank
Loading screen;Les légendes parlent d'un royaume au-delà du sommet du mont Targon, habité par de grands êtres célestes connus sous le nom d'Aspects.;;LoadingScreen, Lore, Targon
Loading screen;"En utilisant de la chaux, de la cendre et l'écorce fossilisée d'arbres anciens, les Demaciens créent de la pétricite ; pierre absorbant la magie avec laquelle ils ont construit leurs murs.";;LoadingScreen, Lore, Demacia, Petricite
Loading screen;Parfois connu sous le nom d'acier argenté ou d'acier runique, l'acier de Demacia est convoité pour sa durabilité, sa légèreté et ses interactions uniques avec la magie.;;LoadingScreen, Lore, Demacia
Loading screen;Garen and Lux are siblings of the Crownguard family, who traditionally serve as the royal protectors.;;LoadingScreen, Lore, Demacia, Garen, Lux
Loading screen;Fiora est à la tête de la Maison Laurent à Demacia, poste qu'elle a revendiqué après avoir tué son père en duel.;;LoadingScreen, Lore, Demacia, Fiora
Loading screen;Lorsque les plans de Zaun de créer une voie navigable entre l'est et l'ouest de Valoran ont mal tourné, Janna a évité des milliers de morts et est maintenant vénérée par beaucoup comme une déesse.;;LoadingScreen, Lore, Zaun, Janna
