Name;Text;OriginalText;Tags
BandleCity;Les opinions divergent quant à la localisation exacte du foyer d'origine des yordles, bien que quelques mortels prétendent avoir emprunté des chemins invisibles vers une terre d'enchantements étranges au-delà du monde matériel. Ils parlent d'un lieu fécond en magie, où l'imprudent peut se laisser distraire par des myriades de merveilles et se perdre dans un rêve.;Opinions differ as to where exactly the home of the yordles is to be found, though a handful of mortals claim to have traveled unseen pathways to a land of curious enchantment beyond the material realm. They tell of a place of unfettered magic, where the foolhardy can be led astray by myriad wonders, and end up lost in a dream...;Bandle, Yordle
BandleCity;À Bandle, chaque sensation est décuplée pour les êtres qui ne sont pas des yordles. Les couleurs sont incroyablement vives, la nourriture et les boissons enivrent les sens pendant des années et, quand on y a goûté une fois, on n'en oublie plus jamais la saveur. La lumière du soleil est incroyablement dorée, l'eau y est claire comme du cristal et chaque récolte est abondante. Peut-être certaines de ces affirmations sont-elles vraies, peut-être aucune : aucun conteur ne semble d'accord avec les autres sur ce qu'il a vu.;In Bandle City, it is said that every sensation is heightened for non-yordles. Colors are brighter. Food and drink intoxicates the senses for years and, once tasted, will never be forgotten. The sunlight is eternally golden, the waters crystal clear, and every harvest brings a fruitful bounty. Perhaps some of these claims are true, or maybe none—for no two taletellers ever seem to agree on what they actually saw.;Bandle, Yordle
BandleCity;La seule chose que l'on sache de façon certaine, c'est que Bandle et ses habitants vivent hors du temps. Cela explique peut-être pourquoi les mortels qui parviennent à revenir semblent avoir terriblement vieilli... et pourquoi la plupart ne reviennent jamais.;Only one thing is known for certain, and that is the timeless quality of Bandle City and its inhabitants. This might explain why those mortals who find their way back often appear to have aged tremendously, while many more never return at all.;Bandle
BandleCity;Pour la plupart des peuples de Runeterra, les yordles ne sont généralement pas à craindre. On dit que leur foyer fabuleux de Bandle City est un lieu mystérieux et spirituel, rempli de bibelots et de souvenirs étranges recueillis à travers le domaine matériel. Bien que ces créatures curieuses partent souvent habiter parmi les races mortelles pendant un certain temps, elles reviennent généralement avec de nouvelles histoires et de nouvelles expériences à raconter.;For most of the peoples of Runeterra, yordles are not typically something to be feared. Their fabled home of Bandle City is said to be a mysterious, spiritual place, filled with odd trinkets and keepsakes gathered from across the material realm. While these curious creatures often leave to dwell among mortal races for a time, they generally return with fresh tales and new experiences to recount.;Bandle, Yordle
BandleCity;Au cours des premières périodes de la ville de Bandle, les Yordles qui résidaient dans ce royaume spirituel ont commencé à construire un système complexe de passerelles qui leur permettrait de voyager vers le royaume matériel de Runeterra. Au cours des siècles, les civilisations de Runeterra se sont développées et sont tombées, mais le système de passerelle est devenu de plus en plus complexe, relié les uns aux autres par des lignes de sites magiques qui se croisaient entre les royaumes spirituel et matériel.;During the early periods of Bandle City, Yordles that resided in this spiritual realm started constructing intricate system of gateways which would enable them to travel to the material realm of Runeterra. During the centuries, Runeterran civilizations rose and fallen, but the gateway system became ever more complex, connected with each other through magical leylines that crossed between the spiritual and material realms.;Bandle, Yordle
BandleCity;Le temps passe normalement pour la plupart, mais pas pour Gnar. Un yordle né il y a des millénaires, Gnar était piégé dans de la glace pure, gelé - littéralement - dans le temps. Les civilisations se sont formées et sont tombées sous le regard vide du yordle préhistorique, mais rien – pas même la vraie glace – ne pouvait confiner Gnar pour toujours. Après s'être libéré, il a erré sur Runeterra jusqu'à ce qu'il se retrouve pris en charge par ses descendants yordles. Mais, comme ils allaient bientôt le découvrir, il y a une bête derrière le garçon.;Time marches on for most, but not Gnar. A yordle born millennia ago, Gnar was trapped in true ice, frozen - quite literally - in time. Civilizations formed and fell as the prehistoric yordle vacantly stared on, but nothing – not even true ice – could confine Gnar forever. After breaking free, he wandered Runeterra until he found himself taken in by his yordle descendants. But, as they would soon discover, there's a beast behind the boy.;Bandle, Yordle, Gnar, TrueIce
BandleCity;"Bandle City est comme une poche autonome dans le domaine spirituel, sans ""miroir"" direct avec le domaine matériel. Selon l’histoire de Lulu, ses origines probables viennent de la Clairière. L'arbre de Bandle reliant la ville de Bandle au royaume matériel semble être devenu Runeterra depuis la clairière.";"Bandle City is a self-contained pocket within the spirit realm, with no direct ""mirror"" in the material realm. According to Lulu's lore, its likely origins are in The Glade. The Bandle Tree connecting Bandle City to the material realm appears to have grown into Runeterra from the Glade.";Bandle, Glade, Lulu
BandleCity;Runeterra est liée à un lieu enchanté dans le royaume des esprits connu sous le nom de Bandle City. Les passages sont rarement vus par les mortels, car ils ne s'ouvrent que dans des circonstances particulières, ou pour ceux qui ont la capacité de lire et d'interpréter la langue des yordles. Certains portails ne peuvent être ouverts qu'avec une série de gestes spécifiques, souvent définis par des symboles particuliers inscrits à proximité. Certains portails s'ouvrent sur une caverne profonde, lorsque la marée basse révèle un motif de cercles runiques, remplissant les indentations d'eau de mer.\n\nBien qu'il existe des portails dont les positions peuvent changer avec le temps, il y en a beaucoup qui restent ancrés à un seul endroit. La magie du royaume des esprits reflue parfois d'avant en arrière autour de ces endroits, connus sous le nom de forêts de Bandle, et affecte la flore et la faune locales de manière étrange et imprévisible.\n\nLes portes entre les royaumes sont capricieuses et rarement ouvertes, même à des créatures aussi adroites comme des chats tel que Yuumi. Les yordles doivent parfois attendre des jours pour que l'étoile orientale s'aligne sur une arche de pierre particulière, ou pataugent avec impatience entre les lys des marais, cherchant une fleur argentée épanouie dans la boue - alors seulement un chemin apparaîtrait.;Runeterra is linked to an enchanted place in the spirit realm known as Bandle City. The pathways are rarely seen by mortals, for they only open under particular circumstances, or for those with the ability to read and interpret the language of the yordles. Certain portals can only be opened with a series of specific gestures, often defined by peculiar symbols inscribed nearby. Some portals open to a deep cavern, when the low tide reveals a pattern of runic circles, filling the indentations with sea water.\n\nWhile there are portals whose positions can shift over time, there are many that stay rooted in a single location. The magic of the spirit realm occasionally ebbs back and forth around such places—known as bandlewoods—and affects the local flora and fauna in strange, unpredictable ways.\n\nThe doorways between realms are finicky and seldom open, even to creatures as dexterous as cats such as Yuumi. Yordles would have to wait for days for the eastern star to align with a particular stone archway, or waded impatiently between marsh-lilies, seeking a silver blossom blooming from the mud—only then would a pathway appear.;Bandle, Yordle, Yuumi
BandleCity;On ne sait pas grand-chose de Bandle City ou du système d'écriture Yordle en général. Leurs symboles forment des motifs de vagues élégantes et des formes géométriques qui se connectent les unes aux autres dans ce qui ressemble presque à des motifs aléatoires. Une telle écriture peut être vue sur certaines passerelles reliant à Bandle City, ainsi que dans le Livre des Seuils.;Not much is known about Bandle City, or Yordle writing system in general. Their symbols form elegant wave patterns and geometric shapes that connect with each other in what almost looks like random patterns. Such writing can be seen on certain gateways connecting to Bandle City, as well as in the Book of Thresholds.;Bandle, Yordle
BandleCity;Le Livre des Seuils est un puissant artefact vivant de Bandle City qui permet à l'utilisateur de voyager instantanément presque partout représenté dans ses pages via le système de passerelle yordle. Le Livre des Seuils a été créé il y a longtemps par un anthropologue yordle qui voulait étudier le fonctionnement de la magie yordle et plus particulièrement comment les yordles voyagent entre les royaumes. Il a été complété au fil des ans par diverses enchanteresses et sorciers avec des notes marginales et des dessins. De nature magique, le livre illustre comment utiliser les passerelles, où elles se trouvent, ainsi que les lignes telluriques magiques qui traversent les royaumes matériels et spirituels. Bien qu'il soit principalement utilisé pour voyager entre Bandle City et Runeterra, ses milliers de pages contiennent également des données archivées pour tous les emplacements runeterran auxquels le système de passerelle était connecté (passés et présents). Yuumi, son détenteur actuel, garde également des traces des meilleurs endroits pour attraper du poisson autour des îles Serpent, ainsi que des motifs inhabituels de lignes de force autour de la faille vide d'Icathia à la recherche du propriétaire original des livres, la Yordle Enchantress Norra. Avec ce livre, il est possible pour n'importe qui d'accéder facilement à Bandle City ou à n'importe quel endroit sur Runeterra connecté via un système de passerelle sans le processus méticuleux d'ouverture d'une passerelle. L'utilisateur spécifiait simplement où il voulait aller, puis après que l'emplacement ait été illustré sur les pages du livre, l'utilisateur plongeait alors dans son papier incandescent et arrivait à destination, rejoint un instant plus tard par le livre. L'un de ses anciens propriétaires a donné vie au livre afin de se protéger de ceux qui utiliseraient ses pouvoirs pour le mal.;The Book of Thresholds is a powerful sentient artifact from Bandle City which allows the user to instantly travel almost anywhere depicted in its pages via the yordle gateway system. Book of Thresholds was created by a yordle anthropologist long ago who wanted to study how yordle magic works and specifically how yordles travel between realms. It's been added to over the years by various enchantresses and sorcerers with marginalia and drawings. Magical in nature, the book illustrates how to use gateways, where they are located, as well as the magical leylines that crossed the material and spirit realms. While primarily used for travel between Bandle City and Runeterra, its thousand of pages also have archived data for all the runeterran locations the gateway system was connected to (both past and present). Yuumi, its current holder, also keeps tracks of the best locations for catching fish around the Serpent Isles, as well as the unusual leyline patterns around the Void rift of Icathia in search for the books original owner, the Yordle Enchantress Norra. With this book, it is possible for anyone to easily access Bandle City or any location on Runeterra connected via gateway system without the meticulous process of opening a gateway. The user would simply specify where they want to go, then after the location was illustrated on the books pages the user would then dive into its glowing paper and arrive at their destination, joined a moment later by the book. The book was given sentience by one of its previous owners in order to protect itself from those who would use its powers for evil.;Bandle, Yordle, Yuumi
