Name;Text;OriginalText;Tags
Bilgewater;Nichée dans l'archipel des Îles de la Flamme bleue, Bilgewater est une ville portuaire semblable à nulle autre : elle abrite les pêcheurs de serpents de mer, les gangs des docks et tous les contrebandiers du monde. Ici, les fortunes se font et les ambitions meurent en une fraction de seconde. Pour ceux qui fuient la justice, l'endettement ou la persécution, Bilgewater peut être le lieu d'un nouveau départ, car nul ici ne vous questionne sur votre passé. Pourtant, chaque matin, on retrouve dans les eaux du port des cadavres de voyageurs, la bourse vide et la gorge tranchée…;;Bilgewater
Bilgewater;Bien que Bilgewater soit une cité dangereuse, elle regorge d'opportunités pour les aventuriers sans scrupule que limitent d'ordinaire les lois et les régulations commerciales. Si vous avez de l'argent, vous pouvez acheter n'importe quoi ici, des technologies Hextech illégales aux faveurs des seigneurs du crime organisé.;;Bilgewater
Bilgewater;Le dernier roi des pillards de Bilgewater ayant été récemment renversé, la cité est entrée dans une période de transition, alors que les capitaines les plus éminents tentent de se mettre d'accord sur son avenir. Néanmoins, tant qu'il y aura des navires en état de naviguer et des équipages pour les manœuvrer, Bilgewater demeurera certainement l'un des endroits de Runeterra les plus animés et les mieux connectés au reste du monde.;;Bilgewater
Bilgewater;Au fil du temps, Bilgewater est devenu une escale vitale pour les navires de commerce voyageant près des îles du Serpent. Presque tout peut être acheté ici, de la technologie Hextech interdite jusqu’à la faveur des seigneurs du crime locaux. Il n'y a pas de meilleur endroit pour rechercher la gloire et la fortune, bien que la mort se cache dans toutes les ruelles et que la loi soit presque inexistante.;Over time, Bilgewater is becoming a vital stop for trade ships traveling near the Serpent Isles. Almost anything can be purchased here, from outlawed hextech to the favor of local crime lords. There is no better place to seek fame and fortune, though death lurks in every alleyway, and the law is almost non-existent.;Bilgewater
Bilgewater;Entourée de détroits traîtres et d'imposantes falaises, la baie de Bilgewater est aussi dangereuse que ceux qui l'habitent. Les visiteurs sont souvent séduits par des opportunités apparemment illimitées et deviennent des résidents permanents, réalisant que plus ils restent longtemps, plus ils peuvent exploiter les autres pour le pouvoir et la richesse.;Surrounded by treacherous straits and towering cliffs, Bilgewater Bay is as dangerous as those who call it home. Visitors are often seduced by seemingly limitless opportunity, and become permanent residents—realizing that the longer they stay, the more they can exploit others for power and wealth.;Bilgewater
Bilgewater;Les Grottes du Marché Noir sont situées dans les parties les plus basses de la baie de Bilgewater, ces emplacements sont le principal emplacement du marché noir de Bilgewater. Les habitants les plus modestes de Bilgewater habitent dans un labyrinthe de canaux sinueux et de criques cachées, sans séparation entre les maisons qu'ils construisent et la mer où ils exercent leur métier.;The Black Market Grottos is situated in the lowest parts of Bilgewater Bay, these locations are the primary location of Bilgewater's black market. Bilgewater's lowliest inhabitants dwell in a labyrinth of meandering canals and hidden inlets, with no separation between the homes they build and the sea where they ply their trade.;Bilgewater
Bilgewater;Un marché prospère entouré d'habitations oscillantes construites sur une large place sur l'un des quais flottants, le Cutpurse Square peut être vu de presque tout Bilgewater. Miss Fortune, Rafen et trente autres hommes de son équipage ont combattu la Brume Noire ici jusqu'à ce qu'ils soient sauvés d'Hecarim par Lucian.;A thriving marketplace surrounded by swaying dwellings built in a wide square on one of the floating wharf-shanties, the Cutpurse Square can be seen from almost all of Bilgewater. Miss Fortune, Rafen and thirty more men of her crew fought the Mist here until they were saved from Hecarim by Lucian.;Bilgewater, MissFortune, Hecarim, DarkMist, Lucian
Bilgewater;Le Grey Harbour est un port de Bilgewater perdu il y a des années face à la Brume. Avant sa chute, il contenait un magnifique temple Buhru. Il a depuis été envahi par les marcheurs de brume. ;The Grey Harbor is a Bilgewater port lost years ago to the Mist. Before its fall it contained a magnificient Buhru temple. It has since been overrun by mistwalkers. Captain Malik reunited the Jagged Hooks and was somehow able to dwell in the Black Mist covering the Harbor.;Bilgewater, Buhru
Bilgewater;Bilgewater Bay est l'entrée principale de la plus grande colonie de Bilgewater, Rat Town. Le Pont du Boucher, qui est situé en amont et au-dessus des Quais d'Abattage, agit comme une porte d'entrée et de sortie de l'île sur laquelle la ville est construite. Fleet Street compte plusieurs pubs et tavernes et propose le meilleur rhum de l'île.;Bilgewater Bay is the main entrance to the largest settlement of Bilgewater, Rat Town. Butcher's Bridge, which is located upstream and above the Slaughter Docks, acts as a gate to the in and out of the island the city is built on. Fleet Street has various pubs and taverns and boasts the island's finest rum.;Bilgewater
Bilgewater;Surplombant le port principal de Bilgewater se dresse le Pont du Boucher, un ancien viaduc en pierre construit dans les falaises, reliant les quais animées aux célèbres bidonvilles au-delà. La plupart se rassemblent ici pour se battre en duel ou échanger leurs marchandises illicites.;Looming over the main harbor of Bilgewater is Butcher's Bridge, an ancient stone overpass built into the cliffs, connecting the bustling piers with the notorious slums beyond. Most gather here to fight duels or exchange their illicit wares.;Bilgewater
