Name;Text;OriginalText;Tags
Camavor;Le royaume de Camavor est un ancien royaume situé sur un continent oriental de Runeterra, actuellement absent de la carte. Le royaume a été une fois attaqué par un Darkin qui a asservi Vladimir. Il s'est effondré après que Viego ait commencé à négliger ses devoirs de roi.;The Kingdom of Camavor is a former kingdom on an eastern continent of Runeterra, not currently shown on the map. The kingdom was once attacked by a Darkin who enslaved Vladimir. It collapsed after Viego began neglecting his duties as king.;Camavor, Viego, Vladimir
Camavor;Camavor a été fondée par les jumeaux Camor et Avora. Camor était un chef de guerre qui a conquis ses voisins pour étendre son royaume. Lorsque Camor a été transpercé au cœur par la flèche noire d'Astora, sa sœur, Avora, a utilisé le calice de Mikael pour le guérir d'une mort imminente. L'épée de Camor, Sanctity, serait transmise à ses héritiers et utilisée pour représenter le dirigeant légitime de Camavor.;Camavor was founded by the twins, Camor and Avora. Camor was a warlord who conquered their neighbors to expand their kingdown. When Camor was pierced through the heart by the Black Arrow of Astora, his sister, Avora, used Mikael's Chalice to heal him from near-death. Camor's sword, Sanctity, would be passed down to his heirs and used to represent the rightful ruler of Camavor.;Camavor
Camavor;La légende parlait autrefois d'un prince (Vladimir) dans un royaume menacé par les tristement célèbres Darkins, alors que leur grande guerre se répandait dans le reste de Valoran. Avec la couronne de son père en jeu et de nombreux autres héritiers devant lui dans la lignée de succession, le malheureux jeune prince a été échangé aux dieux-guerriers déchus en tant qu'otage. Si le roi rompait la foi avec son nouveau maître, Vladimir serait tué. Mais comme toutes les promesses de son père, un mensonge s’y cachait. Il ne se souciait pas de son propre fils et rompit son serment dans l'année.\n\nMais au lieu de tuer Vladimir, son maître Darkin avait quelque chose de tout à fait plus amusant en tête. Il a offert à Vladimir la chance de diriger ses armées contre le royaume de son père, une offre que Vladimir a acceptée avec plaisir. Il détruisit la ville de son père et présenta sa tête à son maître. Se croyant au-dessus des autres vassaux mortels, et donc digne de la puissante magie du sang, Vladimir fut le premier de son espèce autorisé à étudier cette magie terrifiante. Son dévouement lui a valu une place de choix dans l'armée de guerre de son patron, et le droit de pratiquer l'hémomancie et d'imposer la volonté du darkin aux êtres inférieurs. Au fil du temps, le dieu-guerrier regarda avec amusement Vladimir en venir à gouverner ses sujets avec aussi peu de pitié que les ténèbres en eux-mêmes.;Legend once told of a prince (Vladimir) in a kingdom threatened by the infamous Darkins, as their great war spilled into the rest of Valoran. With his father’s crown at stake, and many more heirs ahead of him in the line of succession, the unfortunate youth was traded to the fallen god-warriors as a hostage. Should he break faith with his new master, Vladimir would be slain. But like all his father’s promises, it was empty. He cared nothing for his own son, and broke his oath within the year.\n\nBut instead of killing him, his Darkin master had something altogether more amusing in mind. Amusing for him, at any rate. He offered Vladimir the chance to lead his armies against his father’s kingdom, an offer Vladimir gladly accepted. He destroyed his father’s city and presented his head to his master. Believing himself above other mortal vassals, and therefore worthy of the powerful blood magic, Vladimir was the first of his kind permitted to study this terrifying magic. His devotion earned him a place of favor in his patron’s warhost, and the right to practice hemomancy and enforce the darkin’s will on lesser beings. Over time, the god-warrior watched with amusement as Vladimir came to govern his subjects with as little mercy as the darkin themselves.;Camavor, Darkin, Vladimir
Camavor;**La ruine 1/2** :\n\nIncapable de s'intéresser à la gouvernance et tombé amoureux, la nation commence à se désagréger sous la direction douteuse de Viego. Certains des alliés de Viego complotent en secret pour mettre fin au règne de leur nouveau roi. Les ennemis de sa nation voient une opportunité de frapper et envoient un assassin. Lors d'une tentative d'assassinat, Kalista sauva la vie du roi mais la lame empoisonna la reine Isolde à la place. Les plus grands soigneurs du royaume étant incapables d'éliminer le poison, le roi envoie Kalista à la recherche d'un remède. Kalista consulte plusieurs érudits, ermites et mystiques tout au long de son voyage, mais aucun n'a pu sauver la reine. Elle découvre finalement l'existence des îles bénies et la rumeur selon laquelle elles pourraient détenir le secret de la vie éternelle. Les habitants de l'île acceptent la demande de Kalista et lui demandent d'amener la reine sur l'île pour la purifier. Ils lui donnent un talisman spécial qui lui permettrait d'écarter les brumes de l'île mais lui demandent de le garder secret.\n\nPendant que Kalista était absente, la paranoïa du roi grandit et il envoie Hecarim et ses chevaliers pour réprimer la dissidence au sein du royaume. Des centaines de personnes sont tuées et de nombreux villages détruits. Finalement, la reine meurt et Viego sombre dans la folie, s'enfermant dans sa tour avec le cadavre de la reine. Hecarim manipule le chagrin du roi pour envahir des terres étrangères sous le couvert de la reine vengeresse Isolde. Mais alors qu'ils se préparent à mettre les voiles, Kalista revient de sa quête. En voyant l'état mental du roi et en se souvenant de la promesse qu'elle a faite aux habitants des îles bénies, Kalista refuse de révéler ce qu'elle a découvert et est emprisonnée comme traître. Finalement, à la demande manipulative d'Hecarim, elle révèle ce qu'elle a découvert et accepte de les conduire dans les îles.;La ruine 1/2 : \n\nUnable to interest himself in governance and having fallen in love, the nation begins to unravel under Viego's questionable leadership. Some of Viego's allies plot in secret to end their new king’s reign. His nation’s enemies also see an opportunity to strike and send an assassin to slay him. During an assassination attempt, general Kalista saved the king's life but the assassin's blade poisons queen Isolde instead. With the kingdom's greatest priests and surgeons unable to remove the poison, the king dispatches Kalista to search for a cure and the Iron Order remain by the king's side in her absence. Kalista consults with multiple scholars, hermits and mystics throughout her journey but none could save the queen. She eventually discovers the existence of the Blessed Isles and the rumor that they may hold the secret to eternal life. The island's inhabitants accept Kalista's request and asked her to bring the queen to the island, where they would cleanse her. They give her a special talisman that would allow her to part the island's mists but ask her to keep their secret.\n\nWhile Kalista was away, the king's paranoia grows and he sends Hecarim and his knights to quell dissent within the kingdom. Hundreds are killed and many villages are destroyed. Eventually the queen dies and Viego descends into madness, locking himself in his tower with the queen's corpse. Hecarim manipulates the king's grief to invade foreign lands under the guise of avenging queen Isolde. But as they prepare to set sail, Kalista returns from her quest. Upon seeing the king's mental state and remembering the promise she made with the people of the Blessed Isles, Kalista refuses to reveal what she has discovered and is imprisoned as a traitor. Eventually, at Hecarim's behest, she reveals what she has discovered and agrees to lead them to the isles.;Camavor, ShadowIsle, Viego, Hecarim, Kalista
Camavor;**La ruine 2/2** :\n\nLe roi et son armée naviguent vers les îles bénies et demandent aux maîtres de l'île de ressusciter la reine. Lorsque les gardiens ont refusé, le roi s'est mis en colère. Il ordonne à Kalista de tuer tous ceux qui s'opposent à eux et de saccager la ville d'Hélia pour trouver le remède. Kalista refuse l'ordre et est poignardée par Hecarim. Un gardien connu plus tard sous le nom de Thresh guide Viego vers les eaux de la vie tandis qu'Hecarim et ses chevaliers pillent la ville. Le rituel fut à moitié réussi, ressuscitant la reine en tant que spectre.\n\nIsolde, dans sa douleur, sa colère et sa confusion, prend la lame enchantée de Viego et la lui enfonce dans le cœur. La magie des eaux et l'ancienne épée s'affrontent, et l'énergie de la chambre éclate, déchirant les îles. Hecarim et ses chevaliers fusionnent avec leurs montures, devenant des spectres, alors qu'ils tentent de fuir vers leurs navires. La barrière entre les royaumes matériel et spirituel étant brisée, les âmes des morts ont été piégées dans un tourment éternel dans la brume noire enroulée, et les îles de l'Ombre nouvellement surnommées ont été abandonnées par tous les mortels sensés.;__La ruine 2/2__ : \n\nThe king and his army sail to the Blessed Isles and ask the island's masters to resurrect the queen. When the guardians refused, the king flew into a rage. He orders Kalista to kill anyone who opposes them and to ransack the city of Helia to find the cure. Kalista refuses the order and is stabbed by Hecarim before her forces clash with the Iron Order. A custodian later known as Thresh guides Viego to the waters of life while Hecarim and his knights pillage the city. The ritual was half-successful, resurrecting the queen as a wraith.\n\nIsolde, in her pain, anger and confusion, takes Viego's enchanted blade and thrusts it through his heart. The magic of the waters and the ancient sword clash, and the chamber’s energy erupted, tearing across the Isles. Hecarim and his knights fuse with their steeds, becoming wraiths, as they try to flee to their ships. With the barrier between the material and spirit realms shattered, the souls of the dead were trapped in eternal torment within the coiling Black Mist, and the newly dubbed Shadow Isles was abandoned by all right-thinking mortals.;Camavor, ShadowIsle, Viego, Thresh, Hecarim, Kalista
Camavor;On ne sait pas comment la civilisation du royaume de Camavor s'est comportée après la mort de son roi. Les archives de son existence ont été détruites pendant les guerres runiques et, tout comme de nombreuses autres nations à l'époque, on pense que le pays est tombée en ruine.;It is unknown how the civilization of the Kingdom of Camavor fared after the death of its king. Records of its existence were destroyed during the Rune Wars and, just like many other nations at the time, it is believed to have fallen into ruin.;Camavor
Camavor;Les dragons camavoriens, longs et d'apparence serpentine avec de nombreuses extrémités de queue, ont été ruinés par la brume noire pour servir Viego. Grand-mère Viper, est considérée dans le mythe comme l'ancêtre invincible de tous les dragons camavoriens. Le Darkin Taarosh attirerait l'un des dragons qui s'attardaient sur les îles obscures pour qu'il devienne son hôte.;The Camavoran dragons, long and serpent-like in appearance with many tail ends have had their individuals be ruined by the Black mist to serve Viego. Grandmother Viper, is considered in myth to be the invincible progenitor of all Camavoran dragons. The Darkin Taarosh would lure one of the dragons lingering on the Shadow Isles to become to his host.;Camavor, Viego, Darkin, Dragon
Camavor;Sanctity, la lame du roi, est une arme royale et magique qui a la capacité de faire appel aux âmes des rois pour les ramener s'ils sont blessés. Il a d'abord été utilisé par Camor, le premier roi de Camavor. L'épée est considérée comme le véritable symbole du trône de Camavor car Sanctity est utilisée pour déterminer son prochain dirigeant. Les héritiers du trône tenteront de lier leur âme à la lame et s'ils survivent au rituel de liaison, alors seulement ils seront couronnés souverains de Camavor. La lame a depuis été corrompue lorsque sa magie est entrée en collision avec les eaux de la vie sous le règne du dernier roi de Camavor, Viego.;Sanctity, the Blade of the King, is a royal, magical weapon which has the ability to call upon the souls of kings to bring them back if wounded. It was first wielded by Camor, the first king of Camavor. The sword is considered the true symbol of the throne of Camavor as Sanctity is used to determine its next ruler. Heirs to the throne will attempt to bind their soul to the blade and if they survive the binding ritual, only then will they be crowned the ruler of Camavor. After being bound, the ruler of Camavor can manifest Sanctity at will. The blade has since been corrupted when its magic collided with the Waters of Life during the reign of Camavor's last king, Viego.;Camavor, Viego
Camavor;L'armée de camavore était l'une des plus féroces de son temps, capable de mener des guerres au-delà de leurs terres. L'armée de Camavor se compose de l'hôte et des nombreux ordres de chevalerie. L'hôte est l'armée principale de Camavor, tandis que les ordres de chevalerie ont fourni un soutien militaire supplémentaire. L'hôte est principalement composé de citoyens de basse naissance et a un statut inférieur par rapport aux ordres de chevalerie. Les citoyens de haute naissance ont préféré rejoindre les ordres de chevalerie en raison de leur plus grande richesse et de leur prestige. Les ordres de chevalerie ont une forte culture de quête et aiment piller leurs ennemis pour remplir leurs coffres. Les ordres de chevalerie promettent souvent leur service chaque fois qu'un nouveau monarque est couronné, en signe de foi en leur nouveau dirigeant, mais divers ordres ont renié leur promesse ou ont refusé de s'engager au fil des ans. L'armure qu'ils portaient était ornée d'accents plumeux et draconiques dans leurs créations.;The Camavoran military was one of the fierces of its time, being able to wage wars beyond their lands. The military of Camavor consists of the Host and the many Knightly Orders. The Host is the primary army of Camavor, while the Knightly Orders provided additional military support. The Host is mostly comprised of lowborn citizens and has a lower status compared to the Knightly Orders. Highborn citizens preferred to join the Knightly Orders due to their greater wealth and prestige. The Knightly Orders have a strong questing culture and enjoy looting their enemies to fill their coffers. The Knightly Orders often pledge their service whenever a new monarch is corronated, as a sign of faith in their new ruler, but various orders have reneged on their promise or refused to pledge their service over the years. The armor they wore was ornate with feathery and draconic accents in their designs.;Camavor
Camavor;L'un des ordres de chevalerie les plus importants, l'Ordre de fer était un groupe d'élite de soldats chargés de protéger le roi. Ils étaient l'ordre chevaleresque le plus puissant, en termes de poids politique et de force militaire, sous le règne du dernier roi de Camavor. Dirigés par le chevalier-commandant Hecarim, ce sont les soldats qui ont mis les voiles avec le roi vers les îles bénies. Après la ruine, ils ont fusionné avec leurs propres chevaux de selle pour devenir de grotesques abominations spectrales.;One of the most prominent knightly orders, the Iron Order was an elite group of soldiers tasked with protecting the King. They were the most powerful knightly order, in terms of political weight and military strength, during the reign of Camavor's last king. Lead by Knight-Commander Hecarim they were the soldiers that set sail with the King to the Blessed Isles. After the Ruination, they fused with their own riding horses becoming grotesque wraith abominations.;Camavor, Hecarim
