Name;Text;OriginalText;Tags
Demacia;Demacia est un royaume fort, fondé sur des lois strictes et riche d'un passé militaire prestigieux. Ses habitants ont toujours attaché une grande importance aux idéaux de justice, d'honneur et de devoir, et ils sont très fiers de leur héritage culturel. Mais malgré ses valeurs très nobles, cette nation parfaitement autosuffisante est devenue de plus en plus insulaire et isolationniste au cours de ces derniers siècles.\n\nAujourd'hui, le royaume de Demacia traverse une période trouble.;;Demacia
Demacia;La capitale, la Grande cité de Demacia, a été fondée pour servir de refuge contre la sorcellerie après le cauchemar des Guerres runiques et a été bâtie sur le mystère de la pétricite, une étrange pierre blanche pouvant saper l'énergie magique. C'est de là que la famille royale a toujours veillé à la défense des villes et villages alentours, ainsi que des terres agricoles, des forêts et des montagnes riches en ressources minérales qui constituent le royaume.\n\nCependant, après le décès soudain du roi Jarvan III, les autres familles nobles n'ont toujours pas approuvé la succession au trône de son unique héritier, le jeune prince Jarvan.;;Demacia
Demacia;Tous ceux qui vivent au-delà des frontières bien gardées du royaume de Demacia sont perçus avec une suspicion grandissante, et en ces temps de doute, beaucoup d'anciens alliés se tournent vers de nouvelles sources de protection. Certains osent murmurer que l'âge d'or de Demacia est révolu et que si son peuple ne parvient pas à s'adapter à un monde en constante évolution, ce dont beaucoup le jugent incapable, le déclin du royaume est inévitable.\n\nEt toute la pétricite du monde ne pourra protéger Demacia de lui-même.;;Demacia
Demacia;L'histoire de Demacia et de sa culture découlent du cataclysme des guerres runiques. Là où les survivants qui avaient fui le conflit s'étaient aventurés à l'ouest de Valoran dans l'espoir d'établir la sécurité loin du chaos. Certains disent que c'est alors qu'un culte de mages noirs terrorisait ces survivants déplacés, qu'ils se sont cachés dans une forêt ancienne et pétrifiée où les sorciers qui les poursuivaient ont soudainement découvert que leur magie était rendue inefficace par les bois étranges. Décidant de profiter de la puissance unique de cet environnement, ces vagabonds s'installèrent de façon permanente.\n\nFinalement, la connaissance de ce nouveau royaume curieux a atteint d'autres réfugiés, qui sont venus chercher asile et solidarité avec la magie qui ravageait le reste de Runeterra. En peu de temps, les colons unis s'étaient construits une communauté importante, alliée au sein d'une nouvelle nation qu'ils allaient appeler Demacia.;The history of Demacia and its culture stems from the cataclysm of the Rune Wars. Where survivors who fled from the conflict had ventured into the west of Valoran with the hope of establishing safety away from the chaos. Some say it was while a cult of dark mages terrorized these displaced survivors, that they hid in an ancient and petrified forest where the sorcerers that chased suddenly found their magic was made ineffective by the strange woods. Deciding to take advantage of the unique power from this environment, these vagabonds set up a permanent residence.\n\nEventually, knowledge of this curious new realm reached other refugees, who came seeking asylum and solidarity from the magic that was ravaging the rest of Runeterra. Within a short time, the united settlers had built themselves a sizable community, allied under a new nation they would come to call Demacia.;Demacia
Demacia;De nombreux réfugiés ont fui les horreurs des guerres runiques. L'un de ces réfugiés était Kilam, accompagné de ses filles jumelles Kayle et Morgana. Originaire du Mont Targon, leur père a cherché une vie plus sûre pour ses filles, après que leur mère Mihira soit devenue l'hôte de l'Aspect de la Justice. Plusieurs années se sont écoulées, et les guerres runiques stoppèrent. Un jour, les sœurs reçurent du ciel la Lame de feu stellaire de leur mère, avec laquelle elles débloquèrent leurs pouvoirs célestes, devenant des hôtes transfigurés supplémentaires pour les aspects de la justice. Ensemble, ils ont juré de protéger leur nouvelle maison : Demacia.;Many refugees fled the horrors of the Rune Wars. One such refugeee were Kilam and his twin daughters Kayle and Morgana. Hailing from Mount Targon their father sought a safer life for his daughters, after their mother Mihira became and ascended host of the Aspect of Justice. Several years have past and the conclusion of the Rune Wars, one day the sisters have received their mother's Starfire Spellblade from the sky and with which they unlocked their celestial powers, becoming additional ascended hosts for the Aspects of Justice. Together, they vowed to protected their new home of Demacia.;Demacia, Kayle, Morgana, Ascended
Demacia;Lors de la bataille de Zeffira, Kayle et Morgana ont volé pour aider les habitants de Zeffira. Alors que Kayle était occupée à faire face à l'attaque de première ligne, Morgana appris qu'une vague cachée d'ennemis attaquait la ville et quitta les lignes de front pour aider les citoyens. Après la bataille, Kayle perdu confiance en sa sœur pour l'avoir laissée sur le champ de bataille.;Kayle and Morgana flew to aid the people of Zeffira. While Kayle was busy dealing with the frontline attack, Morgana learned of a hidden wave of enemies attacking the city and left the frontlines to aid the citizens. After the battle Kayle lost trust in her sister for leaving her on the battlefield.;Demacia, Kayle, Morgana
Demacia;Les habitants de Demacia découvrirent rapidement que leur patrie était riche en ressources naturelles, ce qui engendra le développement des infrastructures pour les nouvelles villes et les terres agricoles a augmenté de façon exponentielle. Mais avec le progrès et la richesse sont venus des adversaires de ce royaume naissant, faisant en sorte que Demacia soit constamment en désaccord avec des conquérants ambitieux.;Demacia’s inhabitants were quick to discover their homeland was rich in natural resources, the development of infrastructure for new cities and farmlands grew exponentially. But with progress and wealth came adversaries to the fledgling kingdom, ensuring that Demacia was at constant odds with ambitious conquerors.;Demacia
Demacia;Il n'y aurait aucune crainte que des envahisseurs se battent en profitant d’artillerie magique, et ainsi la petite infanterie d'élite de Demacia aurait toujours l'avantage lorsque des menaces surviendraient dans leur patrie. Mais toutes les batailles n'ont pas eu lieu à l'intérieur des frontières protectrices du royaume, car les ennemis les plus rusés tentaient d'attirer l'armée de Demacia où ils seraient beaucoup plus sensibles aux attaques des arcanes. Cherchant un moyen de protection plus avancé, les dirigeants de Demacia enrôlèrent Durand, le plus grand artisan de l'époque, pour sculpter un instrument mobile qui pourrait être utile dans les guerres à l'étranger. Dévoilé plus tard pour être une statue de titan, il avait la forme de moitié homme et moitié rapace, comme le natif de Silverwing dans les hautes terres. Éprouvé difficile à transférer dans et hors de Demacia mais incontestablement efficace une fois sur le champ de bataille, le Colosse a été utilisé dès que nécessaire depuis.;Yet there would be no fear of invaders capitalizing on magical warfare, and so Demacia's small but elite infantry would always have the advantage when threats took place in their homeland. But not every battle took place within the kingdom's protective boundaries, as the most cunning enemies would attempt to draw out Demacia's army where they would be far more susceptible to arcane attacks. Seeking out a means for more advanced protection, the leaders of Demacia enlisted Durand, the greatest artisan of the time, to sculpt a mobile instrument that could be useful in wars set abroad. Later unveiled to be a statue titan, shaped in the form of half man and half raptor- like the Silverwing's native to the highlands. Proven difficult to transfer in and out of Demacia but unquestionably effective once it was out on the battlefield, the Colossus has been used when necessary ever since.;Demacia
Demacia;Il y a plus d'un siècle, l'expansion de Noxus rapprocha dangereusement les forces du royaume des terres protégées par Demacia. Lors du premier et légendaire affrontement de leurs nations, le roi Jarvan I est entré en guerre avec Noxus pour les terres du sud.\n\nMais Noxus ne s'incline pas, le héros de guerre Sion chargea les demaciens, avec pour seul objectif de tuer leur roi. Les gardes royaux de Jarvan pensaient pouvoir arrêter sa charge. Ils avaient tord. Il les abattus, un par un, jusqu'à ce qu'il ne reste plus que lui et le roi. Battue et fatiguée, Sion continua le combat contre le roi. Il combattu Jarvan au-delà du point de rupture et a finalement été surpassé... mais pas battu. Avec son dernier souffle, il referma ses doigts autour de la gorge du roi et brisa la volonté d'une nation. Le roi demacien, Jarvan Ier, était mort.;More than a century ago, Noxus expansion brought the empire forces dangerously close to the lands protected by Demacia. On their nations' first and legendary clash, the King Jarvan I went at war with Noxus for the southern lands.\n\nBut Noxus wouldn't bow, the war hero Sion Sion charged against the demacians, with the only true focus of killing their king. Jarvan's royal guardsmen believed they could halt his charge. They were wrong. He cut them down, one by one, until only he he and the king remained. Battered and fatigued, Sion continued the fight the king. He battled Jarvan beyond the point of breaking and was finally bested... but not beaten. With his dying breath, he locked his fingers around the king's throat and broke the will of a nation. The Demacian King, Jarvan I, was dead.;Demacia, Sion, Jarvan
Demacia;Malgré le fait que Demacia soit un royaume cherchant à se protéger de la magie, plusieurs de ses habitants possèdent des pouvoirs arcaniques, connus ou non de la société. C’est par exemple le cas de Sylas, qui a été emprisonné pour ne pas contrôler sa magie et avoir tué plusieurs personnes, ou de Luxanna Crownguard, qui contrôle la lumière mais qui a du garder son pouvoir secret pour protéger le status de noblesse de sa famille.;;Demacia, Sylas, Lux
