Name;Text;OriginalText;Tags
Ionia;Ionia, dans la nomenclature originale de Vastayen : Les Premières Terres, est une terre d'une beauté intacte et d'une magie naturelle. Ses habitants, vivant dans des colonies dispersées à travers cet archipel massif, sont un peuple spirituel qui cherche à vivre en harmonie et en équilibre avec le monde. Il existe de nombreux ordres et sectes à travers l'Ionia, chacun suivant ses propres chemins et idéaux (souvent contradictoires). Autosuffisante et isolationniste, Ionia est restée largement neutre dans les guerres qui ont ravagé Valoran au cours des siècles - jusqu'à ce qu'elle soit envahie par Noxus. Ce conflit brutal et cette occupation ont forcé Ionia à réévaluer sa place dans le monde. La façon dont il réagit et la voie future que suivra Ionia sont encore indéterminées, cependant, l'animosité contre Noxus a conduit à la militarisation et au vigilantisme. La soif des arts sombres est en hausse.;Ionia, in original Vastayan nomenclature: The First Lands, is a land of unspoiled beauty and natural magic. Its inhabitants, living in scattered settlements across this massive archipelago, are a spiritual people who seek to live in harmony and balance with the world. There are many orders and sects across Ionia, each following their own (often conflicting) paths and ideals. Self-sufficient and isolationist, Ionia has remained largely neutral in the wars that have ravaged Valoran over the centuries - until it was invaded by Noxus. This brutal conflict and occupation has forced Ionia to reassess its place in the world. How it reacts and the future path Ionia will follow is as of yet undetermined, however, animosity against Noxus has led to militarization and vigilantism. Thirst for the dark arts is on the rise.;Ionia, Noxus
Ionia;Entourée de mers capricieuses, Ionia est composée de plusieurs provinces alliées réparties à travers un gigantesque archipel appelé les Terres premières. La culture ionienne s'est développée dans le but de maintenir l'équilibre universel, et par conséquent, la frontière entre le monde matériel et le monde spirituel y est plus perméable, particulièrement dans les montagnes et les forêts sauvages.;;Ionia
Ionia;Bien que la magie de ces terres soit imprévisible et que les créatures y soient dangereuses et féeriques, la plupart des Ioniens ont vécu dans la paix et la prospérité pendant des siècles. Les moines guerriers, les milices provinciales et Ionia elle-même ont suffi à les protéger.\n\nMais tout a basculé il y a douze ans, lorsque Noxus a attaqué les Terres premières. Les assauts incessants des forces impériales ravagèrent Ionia pendant de nombreuses années avant d'être vaincues, et le prix de la victoire fut terrible.;;Ionia
Ionia;Désormais, une paix fragile règne à Ionia. La guerre a provoqué différentes réactions et a divisé la région. Certains groupes, comme les moines de Shojin ou le Kinkou, souhaitent renouer avec leurs valeurs traditionnelles : l'isolement et le pacifisme. D'autres factions, comme la Fraternité Navori ou l'Ordre de l'ombre, sont plus radicales et demandent la militarisation de la magie de leurs terres afin de créer une nation puissante, unie et capable de se venger de Noxus.;;Ionia
Ionia;Les origines des Vastayas remontent à un coin caché d'Ionia. Les mortels vivaient en harmonie avec la nature jusqu'à ce qu'une race de Titans débarque du ciel et leur fasse la guerre. La plupart des mortels illuminés ont pris le pouvoir du royaume des esprits en eux-mêmes, devenant les Vastayashai'rei pour vaincre les Titans. Les générations initiales de Vastayashai'rei étaient immortelles et détenaient un immense pouvoir magique. Décidant de vivre parmi leurs parents mortels, leurs futurs descendants commenceraient à se mélanger avec des parents mortels et seraient connus sous le nom de Vastaya - une classification générale pour un certain nombre d'espèces de créatures chimériques. Au fil du temps, les rejetons variés ont commencé à s'installer dans différentes régions et ont naturellement adopté différentes formes - simien, aviaire, même aquatique - selon les créatures qui incarnaient le plus leurs caractéristiques les plus fortes.\nDe nombreux Vastayas ont ensuite migré vers des terres lointaines en dehors de leur foyer d'origine, l'Ionie.;The Vastaya's origins can be traced back to a hidden corner of Ionia. The mortals lived in harmony with nature until a race of Titans came from the skies and waged war against them. Most enlightened mortals taken the power of the spirit realm into themselves, becoming the Vastayashai'rei to defeat the Titans. Initial generations of Vastayashai'rei were deathless and held immense magical power. Deciding to live among their mortal kin, their future descendants would start mixing with mortal kin and be known as the Vastaya - a blanket classification for any number of species of chimeric creatures. Over time, the varied offshoots began to settle in different regions and naturally adopted different forms - simian, avian, even piscine - according to the creatures which most embodied their strongest characteristics.\nMany Vastaya later migrated to faraway lands outside of their original home of Ionia.;Ionia, Vastaya
Ionia;"Certains des Vastayashai'rei résidaient dans le bosquet sacré d'Omikayalan, le ""Cœur du Monde"". En son centre se tenait le Dieu-Saule. Cet arbre massif, dégoulinant de longues feuilles gazeuses qui scintillaient d'une lumière vert doré, était d'une immense importance pour les Ioniens humains et le peuple Vastayen du continent, qui protégeait l'arbre de quiconque souhaitait lui faire du mal. Malheureusement, l'arbre a été détruit par un groupe de guerriers envahisseurs de Freljord, son chef transformé par son énergie naturelle en l'être connu sous le nom d'Ivern Bramblefoot, le Père-Vert.";"Some of the Vastayashai'rei resided in the sacred grove of Omikayalan, the ""Heart of the World"". In its center stood the God-Willow. This massive tree, dripping with long gossamer leaves that shimmered with golden-green light, was of immense importance to both human Ionians and the Vastayan people of the continent, who guarded the tree from anyone who wished it harm. Unfortunately, the tree was destroyed by an invading war party from the Freljord, its leader transformed by its natural energy into the being known as Ivern Bramblefoot, the Green-Father.";Ionia, SpiritTree, Ivern
Ionia;En guerre entre eux-même, les Darkin détruisirent tous ceux qui s'opposaient à eux. Avec son arc cristallin, Varus a assassiné des commandants et des champions ennemis, aidant les Darkin à vaincre des armées mortelles entières avec toujours plus de facilité.\n\nFinalement, Varus a été acculé par des traqueurs lunaires Vastaya et des mages humains au service d'une reine guerrière à l'armure dorée de Valoran. Ils le lièrent à son arc, le laissant hurler de rage impuissante. À ce moment-là, l'influence brutale et corruptrice des Darkin était connue, et pourtant la reine a choisi de manier l'arme mortelle dans les derniers jours de la guerre, se sacrifiant volontiers pour une plus grande victoire.\n\nDans les mois qui ont suivi, la reine transporta Varus vers les Premières Terres - celles qui seraient plus tard connues sous le nom d'Ionia. Maintenant rendue monstrueuse par le pouvoir de l'arc, son dernier acte fut d'ordonner à ses partisans de l'enterrer vivante dans un puits sans lumière, enfoncé profondément sous un temple de montagne surplombant le village de Pallas.\n\nEt là, Varus fut emprisonné, à la fois par la magie naturelle d'Ionia et les soins rituels des gardiens du temple.\n\nL'arc est resté caché pendant des siècles, inconnu, intact et presque oublié.;Warring among themselves, the Darkin destroyed any who stood against them. With his crystalline bow, Varus assassinated enemy commanders and champions, helping the Darkin defeat entire mortal armies with ever greater ease.\n\nEventually, Varus was cornered by Vastaya moon-stalkers and human mages in service of a golden-armored warrior queen of Valoran. They bound him within his bow, leaving him to howl in impotent rage. By then, the raw, corrupting influence of the Darkin was known, and yet still the queen chose to wield the deadly weapon in the final days of the war, gladly sacrificing herself for a greater victory.\n\nIn the months that followed, the queen carried Varus to the First Lands — those that would later be known as Ionia. Now made monstrous by the bow's power, her last act was to command her followers to bury her alive in a lightless well, sunk deep beneath a mountain temple overlooking the village of Pallas.\n\nAnd there Varus was imprisoned, both by the natural magic of Ionia, and the ritual ministrations of the temple guardians.\n\nThe bow remained hidden for centuries, unknown, untouched, and all but forgotten.;Ionia, Varus, Darkin
Ionia;"Pendant des années, les montagnes du sud d'Ionia ont été en proie au tristement célèbre ""Démon Doré"". Dans toute la province de Zhyun, un monstre a massacré des dizaines de voyageurs et parfois des fermes entières, laissant derrière lui des étalages tordus de cadavres. Des milices armées ont fouillé les forêts, les villes ont engagé des chasseurs de démons - mais rien n'a ralenti le travail macabre de la bête.";For years, Ionia's southern mountains were plagued by the infamous “Golden Demon.” Throughout the province of Zhyun, a monster slaughtered scores of travelers and sometimes whole farmsteads, leaving behind twisted displays of corpses. Armed militias searched the forests, towns hired demon hunters - but nothing slowed the beast's grisly work.;Zhyun, Jhin, Ionia
Ionia;"Dès sa formation, les habitants d'Ionia ont préféré poursuivre l'illumination personnelle au lieu de mener des batailles constantes avec d'autres nations. La nation militariste de Noxus a vu sa ""faiblesse"" comme une opportunité. Les espions noxiens ont commencé à commercer de manière agressive avec les Ioniens, voyageant à travers les provinces pour étudier ses faiblesses et identifier les cibles critiques.\n\nPeu de temps après, les hôtes de guerre ont mis le cap sur Ionia dans le cadre de l'invasion noxienne planifiée de longue date.\n\nEtant la province centrale d'Ionia, l'invasion a commencé à Navori. De nombreux villages et colonies sont tombés, des milliers d'Ioniens sont morts alors que leurs artefacts magiques étaient volés pour prolonger la vie de leur empereur fou.\n\nCette agression a forcé le chef religieux Karma, connu pour ses enseignements pacifiques, à riposter. Partout à Navori, des voix dissidentes ont commencé à s'unir. Une résistance se formait, une résistance qui ne s'arrêterait pas tant qu'Ionia ne serait pas de nouveau libre.";"From its formation, the residents of Ionia preferred to pursue personal enlightenment instead of waging constant battles with other nations. The militaristic nation of Noxus saw their ""weakness"" as an opportunity. Noxian spies began to trade aggressively with the Ionians, traveling through provinces to study its weaknesses and identify critical targets.\n\nNot long after, the warhosts set sail for Ionia as part of the long-planned Noxian invasion.\n\nAs the central province of Ionia, the invasion began in Navori, many villages and settlements fell, thousands of Ionians died as their magical artifacts were stolen to extend the life of their crazy emperor.\n\nThis aggression forced the religious leader Karma, known for her peaceful teachings, to fight back. Across Navori, dissenting voices began to band together. A resistance was forming, one that would not rest until Ionia was free once more.";Ionia, Noxus, Karma
Ionia;Lors de l’invasion Noxienne à Ionia, deux chasseurs de bêtes - Valmar et sa lumière de cœur, Kai - se sont battus contre la première vague au Temple de Pallas. Bien que leur courage ait été formidable et qu'ils aient chassé les assaillants, Kai a été mortellement blessé, et Val, accablé de chagrin, l'a porté à l'intérieur du temple, croyant que la magie interdite du puits pourrait le restaurer.\n\nMais le temple ne contenait que la damnation, et les deux chasseurs furent consommé par la puissance déchaînée du Darkin en son sein. La matière même de leurs corps a été démêlée et liée à nouveau pour créer un nouveau corps, un corps apte à libérer Varus de son emprisonnement. Ce qui émergea du puits était une créature pâle et d'une beauté inhumaine, en partie humaine et en partie Darkin. Après plus de mille ans, Varus renaît.;Two beast hunters— Valmar and his heartlight, Kai —fought against the first wave at the Temple of Pallas. Though their courage was great and they drove off the attackers, Kai was mortally wounded, and a grief-stricken Val carried him inside, believing the well's forbidden magic could restore him.\n\nBut the temple held only damnation, and both hunters were consumed by the unleashed power of the Darkin within it. The very matter of their bodies was unraveled and bound together again to craft a new body, a body fit to free Varus from his imprisonment. What emerged from the well was a gestalt creature, pale and inhumanly beautiful, part human and part Darkin. After more than a thousand years, Varus was reborn.;Ionia, Pallas, Darkin, Varus
Ionia;Pendant l’invasion de Ionia par Noxus, les troupes noxiennes ont tenté de capturer la montagne de Bard et d'obtenir un précieux artefact magique conservé par les habitants. Pendant la bataille, le sage du village a été chargé d'apporter l'artefact à l'un des sanctuaires célestes au sommet de la montagne. Les Noxiens le blessèrent mortellement avec des flèches avant qu'il ne puisse atteindre le sanctuaire. Mais comme dernier acte de défi, il a utilisé l'artefact pour frapper son tueur potentiel, l'anéantissant et coupant en deux un pic voisin. Cette mauvaise utilisation du pouvoir de l'artefact avait attiré l'attention d'un être céleste, qui est rapidement intervenu dans l'événement. Il récupéra l'artefact et l'éloigna du plan mortel avant que les Noxiens et les Ioniens ne puissent utiliser son pouvoir pour la guerre.;Noxian troops tried to capture Bard Mountain and obtain a valuable magical artifact kept by the locals. During the battle, the village sage was tasked with taking the artifact to one of the Celestial shrines on the top of the mountain. The Noxians mortally wounded him with arrows before he could reach the shrine. But as his last act of defiance, he used the artifact to strike his would-be-killer, obliterating him and slicing a nearby peak in half. This misuse of the artifact's power had drawn the attention of a Celestial being, who promptly intervened in the event. He retrieved the artifact and took it away from the mortal plane before the Noxians and Ionians could use its power for war.;Ionia, Noxus, Bard
Ionia;Bataille du Placidium 1/5\n\nÀ l'un des moments les plus importants de la guerre, une armée dirigée par Jericho Swain, captura le Placidium et prit ses défenseurs en otage, espérant attirer les inévitables renforts dans un piège, mais une fillette de 14 ans nommée Irelia libéra le pouvoir des danses anciennes d'Ionia et, à travers lui, le pouvoir d'Ionia lui-même au travers des Noxiens. Une douzaine de vétérans de Swain sont tombés, semant le chaos dans leurs rangs alors que les autres captifs la rejoignaient avant qu'elle n'abatte le général lui-même - la vue de cette fille rebelle levant son bras coupé au-dessus de sa tête serait le tournant de la guerre.;Battle of the Placidium 1/5\n\nAt one of the most important points of the war, a warhost lead by Jericho Swain, captured the Placidium and took its defenders hostage, hoping to lure the inevitable reinforcements into a trap, but a 14-year-old girl named Irelia unleashed the power of Ionia ancient dances, and though it, the power of Ionia itself at the Noxians. A dozen of Swain's veterans fell, sowing chaos in their ranks as the other captives joined her before she struck down the general himself—the sight of this rebellious girl hefting his severed arm over her head would be the turning point of the war.;Swain, Irelia, Placidium, Ionia
