Name;Text;OriginalText;Tags
Ixtal;Célèbre pour sa maîtrise de la magie élémentaire, Ixtal fut l'une des premières nations indépendantes à se joindre à l'empire de Shurima. En vérité, la culture d'Ixtal est bien plus ancienne que ça. Elle appartient à la grande diaspora de l'ouest qui a donné naissance à de nombreuses civilisations, parmi lesquelles Buhru, la magnifique Helia et Targon l'ascétique. Elle a probablement joué un rôle significatif dans la création des premiers Transfigurés.;;Ixtal
Ixtal;Les mages d'Ixtal survécurent au Néant, et plus tard aux Darkin, en prenant leurs distances avec leurs voisins. Ils se retranchèrent dans la nature sauvage comme derrière une forteresse. Dans le chaos, ils avaient beaucoup perdu, mais ils avaient la ferme intention de préserver ce qui restait…;;Ixtal
Ixtal;Aujourd'hui, la cité arcologique d'Ixaocan, perdue dans la jungle depuis des millénaires, perdure sans influence extérieure. Ayant assisté de loin à la ruine des Îles bénies et aux Guerres runiques, les Ixtali voient toutes les autres factions de Runeterra comme des parvenus et ils utilisent leur puissante magie pour éloigner les intrus.;;Ixtal
Ixtal;De l'arrière-pays de Kalduga à la beauté sans âge de la côte amarante, les jungles shurimanes au-delà du désert restent entourées de mystère. Faisant autrefois partie du vaste empire de Shurima, ces forêts verdoyantes abritent de nombreuses créatures étranges et terrifiantes.;From the hinterlands of Kalduga to the ageless beauty of the Amarantine Coast, the Shuriman jungles beyond the desert remain shrouded in mystery. Once part of Shurima's vast empire, these verdant forests are home to many strange and terrifying creatures.;Ixtal
Ixtal;Il y a 3500 ans, Icathia tomba, ouvrant la voie au Néant. Le peuple ixtalien, qui faisait alors partie de l'empire shuriman, faisait maintenant face à un ennemi qui pouvait mettre à bas son grand empire. La corruption s'est propagée rapidement depuis les ruines d'Icathia, avant que ses vrilles hideuses n'atteignent les jungles les plus au sud d'Ixtal. Ne'Zuk de l'Armée des Transfigurés était un mage élémentaire Ixtali d'une puissance colossale. Il s'est engagé à créer une arme suffisamment puissante pour mener le combat face au Néant et l'éradiquer à la source de son éruption d'origine.\n\nAprès des mois de travail inhumain, Ne'Zuk a révélé le Monolithe - une forteresse flottante de pierre vivante, entretenue par les plus grands mages élémentaires, et ses remparts habités par ses compagnons dieux guerriers Ixtali. De la taille d'une ville elle-même, le Monolithe glissa vers Icathia pour affronter le Néant et les hordes de néantins qu'il avait créé.\n\nLa bataille a duré des semaines. C'était une violence d'une ampleur et d'une intensité jamais vues à Runeterra. Une sorcellerie suffisante pour raser des civilisations entières, ou réduire des continents entiers à rien d'autre qu'un souvenir, s'est déchaînée sur le Néant.\n\nAlors que Ne'Zuk se battait pour rallier ses frères Transfigurés pour une dernière charge désespérée, le Monolithe s'écrasa sur terre. Une grande partie de la forteresse était perdue dans cette gueule béante, disparaissant dans le néant au-delà. Le reste pleuvait comme de grandes ruines. Seul Ne'Zuk a survécu, fuyant pour sauver sa vie.\n\nCependant, un seul fragment est resté. Enfouie profondément sous la surface, oubliée même par ceux qui vivaient dans les abysses, elle s'est lentement renforcée. Il s’éveilla enfin après d'innombrables siècles pour se rendre compte qu'il était seul. Au travers des prochains siècles depuis ce jour sombre, le dernier fragment du Monolithe deviendrait Malphite.;3500 years ago, Icathia fell, opening the way for the Void. The Ixtalan people, at the time part of the Shuriman empire, now faced an enemy that could lay their grand empire low. The corruption spread rapidly from Icathia's ruins, before its hideous tendrils reached the southernmost jungles of Ixtal. Ne'Zuk of the Ascended Host was an Ixtali elemental mage of colossal power. He pledged to create a weapon powerful enough to take the fight to the Void, and eradicate it at the source of its original eruption.\n\nAfter months of inhuman labor, Ne'Zuk revealed the Monolith—a floating fortress of living stone, maintained by the greatest elemental mages, and its ramparts manned by his fellow Ixtali god-warriors. The size of a city itself, the Monolith glided towards Icathia to face the Void and the hordes of Voidborn it had created.\n\nThe battle dragged into weeks. It was violence of a scale and intensity never before witnessed in Runeterra. Sorcery enough to raze entire civilizations, or render whole continents into naught but a memory, was unleashed upon the Void.\n\nAs Ne'Zuk fought to rally his Ascended brethren for one last, desperate charge, the Monolith crashed down to earth. Much of the fortress was lost within that gaping maw, vanishing into the nothingness beyond. The rest rained down as great ruins. Only Ne'Zuk survived, fleeing for his life.\n\nHowever, a single shard remained. Buried deep beneath the surface, forgotten even by those that dwelt in the abyss, it slowly gathered in strength. It lived, until at last it awakened after uncounted centuries, and realized it was alone. In all the centuries since that dark day, the last shard of the Monolith would become Malphite.;Ixtal, Void, Ascended, Malphite
Ixtal;Au plus profond de la jungle au sud de Kumungu, entre les rivières qui divisent l'est de Shurima se trouvaient les Jardins de Zyr. La magie élémentaire trouvée dans le sol a permis la croissance de plantes féroces et carnivores qui se nourrissaient de toutes les créatures à portée. Au milieu des guerres runiques, une petite compagnie de soldats dirigée par une ambitieuse sorcière est entrée sur ces terres à la recherche d'un trésor perdu depuis longtemps. Une bataille s'ensuivit entre la flore vicieuse des Jardins et les soldats, forçant la sorcière à rassembler son pouvoir et à déclencher un puissant sort runique, créant une explosion d'énergie. À cet instant cependant, une étincelle enflamma les gaz dans les marais et a provoqua une explosion, détruisant tous les êtres vivants à des kilomètres à la ronde, ne laissant aucun survivant pour compter le sort des Jardins de Zyr.;Deep in jungles south of Kumungu, between the rivers that divide eastern Shurima were the Gardens of Zyr. Elemental magics found in the soil allowed the growth of fierce, carnivorous plants that preyed on all creatures within reach. In the midst of the Rune Wars, a small company of soldiers lead by an ambitious sorceress entered these lands in search of a long-lost prize. A battle ensued between the vicious flora of the Gardens and the soldiers, forcing the sorceress to gather her power and unleash a mighty runic spell, creating a blast of energy. In that instant however, a rogue spark ignited the gasses throughout the swamps and caused an explosion, destroying all living things for miles around, leaving no survivors to tell the fate of the Gardens of Zyr.;Ixtal
Ixtal;Les jungles de Shurima sont une frontière que les généraux Noxiens les plus ambitieux aimeraient ardemment revendiquer. Après avoir adressé une pétition au haut commandement Noxien pas moins de sept fois, l'officier de la flotte Tomyri est finalement convoqué dans la capitale pour recevoir sa propre commission. Tomyri supervise les derniers préparatifs de son navire, avant d'apprendre que l'expédition doit être rejointe par le célèbre chasseur de bêtes Reckoning, Niander Ordylon. Après plusieurs jours de mer, l'Ardentius entre dans le delta serpentin. C'est le premier véritable aperçu de Tomyri sur la nature sauvage qui l'attend, ainsi que son équipage. La jungle ne traite pas gentiment les envahisseurs étrangers. Incapables de trouver leurs repères, ou toute carrière pour les chasseurs de bêtes, le moral et la discipline des Noxiens commencent à faiblir.;The jungles of Shurima are a frontier that the most ambitious generals would dearly love to claim for Noxus. Having petitioned Noxian high command no fewer than seven times, fleet officer Tomyri is finally summoned to the capital to receive a commission of her own. Tomyri oversees her vessel's final preparations, before learning that the expedition is to be joined by the renowned Reckoning beast hunter, Niander Ordylon. After many days at sea, the Ardentius enters the Serpentine Delta. This is Tomyri's first real glimpse of the wilderness that awaits her, and her crew. The jungle does not treat foreign invaders kindly. Unable to find their bearings, or any quarry for the beast hunters, the Noxians' morale and discipline begins to falter.;Ixtal
Ixtal;Ixtal est situé dans la partie orientale du continent de Shurima et entouré par la jungle de Shurima (les frontières d'Ixtal s'étendaient autrefois sur l'intégralité de la région de la jungle).;Ixtal is located in the eastern part of Shuriman Continent, and surrounded by the Shuriman Jungle (Ixtals borders once stretched the entirety of the jungle region).;Ixtal
Ixtal;En vérité, Ixtal n'est pas une région sauvage inhabitée et entièrement naturelle que beaucoup imaginent. Loin des regards indiscrets et des mains avides, les étendues arcologies des habitants restent cachées en toute sécurité par les forêts tropicales les plus profondes.;In truth, Ixtal is not the uninhabited wilderness many imagine. Far from prying eyes and greedy hands, the sprawling arcologies of Ixaocan remain safely hidden by the deepest rainforests.;Ixtal
Ixtal;Arcologie cardinale : Les arcologies sont reliées par des lignes de pouvoir qui se croisent, et chacune représente une forme ou une discipline spécifique de magie élémentaire. Les plus grands abritent des dizaines de milliers de pratiquants Ixtali. L’arcologie cardinale, siège de la caste dirigeante Yun Tal, s'est tenu bien avant que les anciens Shurimans n'élèvent leur premier disque solaire. Ses grandes arcologies ne sont ni entièrement des habitats ni des collèges de magie, mais quelque chose entre les deux.\n\n     - Vidalion : Au sein de l'arcologie cardinale d'Ixaocan se trouve une grande salle, délibérément positionnée au centre même d'Ixtal (et même au centre de l'ensemble de Runeterra, en ce qui concerne les Ixtali). Au-dessus de cette chambre est suspendu le Vidalion, un ancien artefact qui peut transformer la magie en une forme matérielle.\n\n     - Magma Arcologie : Haut dans les montagnes, les mages de cette arcologie relativement petite combinent leurs connaissances du feu, de la roche et du magnétisme pour extraire les métaux précieux de la terre, les transformant en formes exquises d'un simple geste.\n\n     - Arcologie de l'eau : Situés à côté de l'un des nombreux confluents de la rivière Serpentine, les mages de cette arcologie combinent leurs connaissances de l'eau, de la glace et de la vapeur pour remodeler la terre qui les entoure.;Cardinal Arcology: The arcologies are connected by intersecting lines of power, and each represents a specific form or discipline of elemental magic. The largest are home to tens of thousands of Ixtali practitioners. The Cardinal Arcology, seat of the ruling Yun Tal caste, has stood since before the ancient Shurimans raised their first Sun Disc. Its great arcologies are neither wholly habitats nor colleges of magic, but something in between.\n\n    - Vidalion: Within the cardinal arcology of Ixaocan is a grand chamber, deliberately positioned at the very center of Ixtal, and indeed the whole of Runeterra, as far as the Ixtali are concerned. Above this chamber hangs the Vidalion, an ancient artifact that can weave magic into material form.\n\n    - Magma Arcology: High in the mountains, the mages of this relatively small arcology combine their understandings of fire, rock, and magnetism to draw precious metals from the earth, crafting them into exquisite shapes with the merest gesture.\n\n    - Water Arcology: Located next to one of the many river confluences of the Serpentine River, the mages of this arcology combine their understandings of water, ice, and steam to reshape the land around them.;Ixtal
