Name;Text;OriginalText;Tags
Noxus;Noxus est un puissant empire à la réputation terrifiante. Pour les étrangers qui vivent hors de ses frontières, il s'agit d'un pays brutal, expansionniste et agressif, mais ceux qui observent au-delà de cette façade belliqueuse découvrent une société ouverte, où la force et les talents du peuple sont valorisés et cultivés.\n\nLes Noxiis formaient autrefois un groupe de redoutables tribus barbares, jusqu'à ce qu'ils prennent d'assaut et s'installent dans l'ancienne cité qui constitue aujourd'hui le cœur de leur empire. Menacés de toutes parts, ils sont allés au-devant de leurs ennemis pour combattre, repoussant leurs frontières plus loin chaque année. Cette lutte pour la survie a fait des Noxiens modernes un peuple fier pour qui la force prime sur tout le reste, bien que cette force puisse s'exprimer de différentes façons.\n\nN'importe quelle personne peut s'élever à une position de pouvoir et de respect à Noxus, indépendamment de son statut social, de ses antécédents, de son lieu d'origine ou de sa richesse, du moment qu'elle fait montre des aptitudes nécessaires. Ceux qui sont capables de manipuler la magie sont tenus en haute estime et activement recherchés, dans l'espoir que leurs talents uniques puissent être affinés et mis au service de l'empire.\n\nPourtant, malgré cet idéal méritocratique, les vieilles maisons nobles conservent un pouvoir considérable... et certains craignent que la plus grande menace qui pèse sur Noxus ne vienne pas de ses ennemis, mais bien de l'intérieur.;;Noxus
Noxus;Après que la Grande Guerre des Darkin ait laissé le monde en ruine il y a plusieurs siècles, un clan de sorciers s'est formé, uni par les murmures d'une âme morte depuis longtemps qui a promis de donner sa force à quiconque le ramènerait. Il les a incités à le rendre plus fort que n'importe quel mortel, liant sa forme spirituelle dans des plaques de métal sombre façonnées à la ressemblance de son ancienne armure.\n\nCes sorciers avides de pouvoir avaient espéré l'utiliser comme arme dans leurs guerres. Au lieu de cela, l'esprit les tua dès sa résurrection, leurs armes et leur magie inutiles contre lui. En désespoir de cause, ils ont tentés de crier son nom pour le lier, mais en vain, car Sahn-Uzal n'était plus. Avec un grondement éthéré, il prononça son nom spirituel en Ochnun : Mordekaiser.\n\nÀ partir des âmes craintives et dissipatrices des sorciers, Mordekaiser forgea sa masse brutale, Nightfall et prit le contrôle de l'armée qu'il avait levé. Mordekaiser et ses armées ont balayé les terres, écrasant et asservissant tous ceux qui s'opposeraient à son règne. Pour ses ennemis, il semblait qu'il ne se souciait que du massacre et de la destruction. ;After the Great Darkin War left the world in ruin many centuries ago, a coven of sorcerers was formed, united by the whispers of a long dead soul that promised giving his strength to any who brought him back. He spurred them to make him stronger than any mortal, binding his spirit-form in dark metal plates wrought in the likeness of his old armor.\n\nThese power-hungry sorcerers had hoped to use him as a weapon in their wars. Instead, the reborn spirit slew them where they stood, their weapons and magic useless against him. In desperation, they screamed out his name to bind him—but to no avail, for Sahn-Uzal was no more. With an ethereal rumble, he spoke his spirit-name in Ochnun: Mordekaiser.\n\nFrom the fearful, dissipating souls of the sorcerers, Mordekaiser forged his brutal mace, Nightfall and seized control of the army they had raised. Mordekaiser and his armies swept across the lands, crushing and enslaving any who would oppose his rule. To his foes, it seemed he cared only for massacre and destruction. Entire generations perished under his relentless campaigns.;Noxus, Mordekaiser
Noxus;Mordekaiser a élevé le Bastion Immortel au centre de son empire, dans les territoires Noxii dans lesquels ses premières campagnes avaient eu lieu, secrètement cet endroit était la source de son pouvoir et détenait d'innombrables secrets arcaniques rassemblés pendant des siècles alors que Mordekaiser avait soif de toutes les connaissances interdites des esprits et de la mort, et une véritable compréhension des royaumes au-delà. Pour l'aider dans ses objectifs, le tyran a créé la Rose Noire, son cercle restreint de mages qui étaient parmi les rares à connaître les secrets qu'il avait rassemblés.\n\nUne telle tyrannie ne pouvait que lui attirer des ennemis. Le revenant de fer fut vaincu, étonnamment, par une alliance des tribus Noxii et par la trahison de son propre cercle intérieur, maintenant dirigé par LeBlanc qui s'est alliée à Vladimir. La Rose Noire a neutralisé la source de son pouvoir, le Bastion Immortel, et a réussi à séparer les ancres de son âme de son armure, scellant la coquille de fer vide dans un endroit secret.\n\nEt donc, Mordekaiser a été chassé du domaine matériel. Cependant, à l'insu de quiconque, il avait prévu cela - en effet, c'était une partie essentielle de sa conception. Pour l'instant, il avait tout le pouvoir et les connaissances nécessaires pour construire un royaume au-delà de la mort et de la vie - avant de revenir.;Mordekaiser raised the Immortal Bastion at the center of his empire, in the Noxii territories in which his first campaigns had taken place, secretly that place was the source of his power and held countless arcane secrets gathered for centuries as Mordekaiser hungered for all the forbidden knowledge of spirits and death, and a true understanding of the realms beyond. To help him in his goals, the tyrant created the Black Rose, his inner circle of mages which were some of the few who came to know the secrets he had gathered.\n\nSuch tyranny could only bring him enemies. The Iron Revenant was defeated, surprisingly, by an alliance of the Noxii tribes, and betrayal from within his own inner circle, now lead by LeBlanc who allied herself with Vladimir. The Black Rose neutralized the source of his power, the Immortal Bastion, and managed to sever the anchors of his soul from his armor, sealing the empty iron shell away in a secret place.\n\nAnd so, Mordekaiser was cast out of the material realm. However, unbeknownst to anyone, he had planned for this—indeed, it was a pivotal part of his design. For now he had all the power and knowledge to build a kingdom beyond death and life - and eventually return.;Noxus, Mordekaiser, Leblanc, Vladimir
Noxus;La puissance de l'empire était à un sommet jamais vu depuis des centaines d'années et donc les généraux du haut commandement ont été pris par surprise lorsque Demacia a d'abord résisté à leurs invasions occidentales, puis a commencé à repousser leur avance constante. Ces Demaciens repoussèrent les bandes noxiennes vers l'est, les repoussant derrière les murs de Hvardis.\n\nSion arriva à Demacia en voyant les habitants à l'horizon se préparer à rentrer chez eux. Sion prépara ses troupes, mais le commandant noxien à Hvardis avait déjà subi plusieurs défaites face à l'ennemi et se contenta de laisser ses troupes rentrer chez eux. Indignée, Sion a jeté le commandant des murs de la ville et a ordonné l'attaque.\n\nMais tandis que la bande de Sion le chargeait, ceux qui s'étaient recroquevillés à Hvardis se retirèrent dans la ville, laissant Sion et ses quelques fidèles encerclés.\nUn par un, ils tombèrent, mais Sion réussi à atteindre Jarvan et ils se battirent brutalement. Avec un dernier sursaut de force, Sion a serré une main autour de la gorge du roi, étant poignardé encore et encore par les gardes de Jarvan, mais ce n'est que lorsque le roi ennemi a été tué que Sion a permis à la mort de le réclamer.\n\nSon corps a été récupéré - avec la couronne du roi demacien - et ramené au Bastion immortel en l'honneur. Noxus a pleuré le décès de Sion et son cadavre a été enterré dans un monument imposant construit pour l'honorer à jamais.\n\nLes terres au-delà des Montagnes d'Argent seraient depuis contestées par Noxus, créant une frontière presque anarchique pleine de saccageurs étrangers et de tribus belligérantes, ce qui conduirait à une plus grande action de Demacia défendant leurs alliés et à l'établissement d'une rivalité entre eux et Noxus qui durera pendant des siècles.;The empire's might was at a peak not seen for hundreds of years and so it took the generals of high command by surprise when Demacia first resisted their western invasions, then began pushing back their steady advance. These Demacians drove the Noxian warbands eastward, harrying them back behind the walls of Hvardis. Sion, who had been campaigning in the Argent Mountains, turned south.\n\nHe arrived at the city to find the Demacians on the horizon preparing to return home. Sion readied his troops, but the Noxian commander at Hvardis, had already suffered several defeats to the enemy, and was content to let them return home. Outraged, Sion hurled the commander from the city walls, and ordered the attack.\n\nBut while Sion warband charged with him, the ones who had been cowering in Hvardis retreated back to the city, leaving Sion and his trusted few surrounded.\nOne by one, they fell, but Sion reached to Jarvan and fought brutally. With a final burst of strength, Sion clamped one hand around the King's throat, being stabbed by Jarvan's guards again and again, but only when the enemy king was slain did Sion allow death to claim him.\n\nHis body was recovered—along with the Demacian king's crown—and borne back to the Immortal Bastion in honor. Noxus mourned Sion's passing, and his corpse was interred within a towering monument constructed to honor him for all time.\n\nThe lands beyond the Argent Mountains would since be contested by Noxus, creating an almost lawless frontier full of foreign reavers and warring tribes, which would lead to a greater action of Demacia defending their allies and the establishment of a rivalry between them and Noxus that would last for centuries.;Noxus, Demacia, Sion, Jarvan
Noxus;"**Invasion ionienne de Noxus 1/2**\n\nDès sa formation, les habitants d'Ionia ont préféré poursuivre l'illumination personnelle au lieu de mener des batailles constantes avec d'autres nations. La nation militariste de Noxus a vu sa ""faiblesse"" comme une opportunité. Les espions noxiens ont commencé à commercer de manière agressive avec les Ioniens, voyageant à travers les provinces pour étudier ses faiblesses et identifier des cibles critiques.\n\nPeu de temps après, les hôtes de guerre ont mis le cap sur Ionia dans le cadre d'une invasion noxienne planifiée de longue date. L'invasion a commencé à Navori, la province centrale d'Ionia. Cette agression a forcé la dirigeante religieuse Karma, connu pour ses enseignements pacifiques, à riposter. Partout à Navori, des voix dissidentes ont commencé à s'unir. Une résistance se formait, une résistance qui ne s'arrêterait pas tant qu'Ionia ne serait pas de nouveau libre.\n\nÀ l'un des moments les plus importants de la guerre, un hôte de guerre dirigé par Jericho Swain a capturé le Placidium et pris ses défenseurs en otage, dans l'espoir d'attirer les inévitables renforts dans un piège, mais une jeune fille de 14 ans nommée Irelia a libéré le pouvoir des anciennes danses ioniennes sur les Noxiens. Une douzaine de vétérans de Swain sont tombés, semant le chaos dans leurs rangs alors que les autres captifs la rejoignaient, avant qu'Irelia n'abatte le général lui-même. La vue de cette fille rebelle levant le bras coupé de l’ennemi au-dessus de sa tête serait le tournant de la guerre.";"**Ionia invasion of Noxus 1/2**\n\nFrom its formation, the residents of Ionia preferred to pursue personal enlightenment instead of waging constant battles with other nations. The militaristic nation of Noxus saw their ""weakness"" as an opportunity. Noxian spies began to trade aggressively with the Ionians, traveling through provinces to study its weaknesses and identify critical targets.\n\nNot long after, the warhosts set sail for Ionia as part of the long-planned Noxian invasion.The invasion began in Navori, the central province of Ionia. This aggression forced the religious leader Karma, known for her peaceful teachings, to fight back. Across Navori, dissenting voices began to band together. A resistance was forming, one that would not rest until Ionia was free once more.\n\nAt one of the most important points of the war, a warhost led by Jericho Swain captured the Placidium and took its defenders hostage, hoping to lure the inevitable reinforcements into a trap, but a 14-year-old girl named Irelia unleashed the power of ancient Ionian dances, and through it, the power of Ionia itself upon the Noxians. A dozen of Swain's veterans fell, sowing chaos in their ranks as the other captives joined her, before Irelia struck down the general himself. The sight of this rebellious girl hefting his severed arm over her head would be the turning point of the war.";Noxus, Ionia, Swain, Irelia
Noxus;**Invasion ionienne de Noxus 2/2**\n\nLa résistance croissante a été menée par Irelia pendant près de 3 ans de guerre, mais comme Ionia s'est unie dans la résistance, Noxus a doublé ses efforts de guerre - des enfants ont été envoyés comme fantassins, essayant d'exploiter la pitié ionienne, et des bombes Chemtech achetées à un infâme alchimiste Zaunien (Singed) ont bombardé à la fois les Ioniens et les Noxiens.\n\nCes bombes chimiques ont eu des effets horribles sur les terres. L'endroit où ces conséquences sont peut-être les plus notables est le village de Wuju, où les rumeurs d'une armée composée d'un seul homme (Maître Yi) ont attiré l'attention des Noxiens. En une seule nuit, tout le village a été détruit, ses habitants et sa culture anéantis par le feu chimique. Même maintenant, des années après la fin de la guerre, rien ne peut pousser sur cette terre et les âmes de ceux qui sont morts lors de cette horrible nuit sont piégées par la magie corrompue de leur propre terre.\n\nLa guerre a pris fin lorsque Swain, avec la puissance d'un démon corbeau et de nombreux alliés (dont Draven) a tué l’empereur de Noxus nommé Darkwill et a établi le Trifarix. Il a retiré les chefs de guerre des campagnes, mettant fin à la guerre avec Ionia. Cependant, la présence noxienne demeure, car de nombreuses régions ioniennes sont toujours sous la domination noxienne.;**Ionia invasion of Noxus 2/2**\n\nThe growing resistance was led by Irelia for almost 3 years of war, but as Ionia united in resistance, Noxus doubled their war efforts--children were sent in as foot soldiers, trying to exploit Ionian mercy, and Chemtech bombs bought from an infamous Zaunite alchemist (Singed) bombarded both Ionians and Noxians.\n\nThose Chem bombs had gruesome effects on the lands. Perhaps the place where those consequences are most notable is the Wuju village, where rumors of an one-man army (Master Yi) caught Noxian attention. In a single night, the entire village was destroyed, its people and culture obliterated by chemical fire. Even now, years after the end of the war, nothing can grow on this land and the souls of those who died on that horrible night lay trapped by the corrupted magics of their own land.\nThe war was ended when Swain, with the might of a raven demon and many allies, (including Draven) killed Darkwill and established the Trifarix. He pulled back the warhosts from Darkwill's unwinnable campaigns, ending the war with Ionia. However, Noxian presence remains, as many Ionian regions are still under Noxian rule.;Noxus, Irelia, Singed, MasterYi, Swain, Draven
Noxus;Les troupes noxiennes ont tenté de capturer la montagne de Bard et d'obtenir un précieux artefact magique conservé par les habitants. Pendant la bataille, le sage du village a été chargé d'apporter l'artefact à l'un des sanctuaires célestes au sommet de la montagne. Les Noxiens le blessèrent mortellement avec des flèches avant qu'il ne puisse atteindre le sanctuaire. Mais comme dernier acte de défi, il a utilisé l'artefact pour attaquer son ennemi, l'anéantissant et coupant en deux le pic d’une montagne voisine. Cette mauvaise utilisation du pouvoir de l'artefact avait attiré l'attention d'un être céleste, qui est rapidement intervenu dans l'événement. Il récupéra l'artefact et l'éloigna du monde des mortels avant que les Noxiens et les Ioniens ne puissent utiliser son pouvoir pour la guerre.;Noxian troops tried to capture Bard Mountain and obtain a valuable magical artifact kept by the locals. During the battle, the village sage was tasked to take the artifact to one of the Celestial shrines on the top of the mountain. The Noxians mortally wounded him with arrows before he could reach the shrine. But as his last act of defiance, he used the artifact to strike his enemy, obliterating him and slicing a nearby peak in half. This misuse of the artifact's power had drawn the attention of a celestial being celestial being, who promptly intervened in the event. He retrieved the artifact and took it away from the mortal plane before the Noxians and Ionians could use its power for war.;Noxus, Ionia, Bard
Noxus;Après la libération de Swain après la bataille du Placidium, il a appris que la Rose noire opérait toujours et manipulait les actions de Darkwill, le trahissant à mort sur les champs de bataille d'Ionia. Après de nombreuses années de préparation et la réunion de nombreux alliés, tels que Draven et le général Du Couteau, Swain a réussi à tuer l'empereur de Noxus en une seule nuit, avec le nouveau pouvoir d'un ancien démon se trouvant dans le Bastion immortel.\n\nAtteignant la capitale, Darius se trouva dans une position difficile. En tant que Main de Noxus, de nombreuses maisons nobles s'attendraient à ce que Darius venge Darkwill, mais il avait connu et grandement respecté le général en disgrâce Swain, et s'était prononcé en défaveur de Darkwill après une offensive bâclée à Ionia trois ans plus tôt. Les serments de la Main étaient à Noxus, pas à un dirigeant en particulier, et Swain était un homme qui parlait honnêtement de sa nouvelle vision de l'empire. Darius s'est rendu compte que c'était un leader qu'il était prêt à suivre... mais Swain avait d'autres idées.\n\nAvec l'établissement du Trifarix, trois individus dirigeraient Noxus ensemble, chacun incarnant un principe de force : la Vision (Swain), la Puissance (Darius) et la Ruse (connu sous le nom de Faceless, sa véritable identité est inconnue). Darius accepta sa place au sein de ce conseil et s'engagea à lever une nouvelle force d'élite - la Légion trifarienne, les guerriers les plus loyaux et les plus prestigieux que l'empire puisse produire - et à mener les armées de Noxus dans une nouvelle ère glorieuse de conquête.;After Swain's discharge following the Battle of the Placidium, he came to know the Black Rose was still operating and puppeting the actions of Darkwill, betraying him to death in the battlefields of Ionia. After many years of preparation and the reunion of many allies, such as Draven and General Du Couteau, Swain managed to kill the Emperor of Noxus in a single night, with the newfound power of an ancient demon lying within the Immortal Bastion.\n\nReaching the capital, Darius found himself in a difficult position. As Hand, many of the noble houses would expect Darius to avenge Darkwill, but he had known and greatly respected the disgraced general Swain, and had spoken against his discharge after the botched offensive in Ionia three years earlier. The oaths of the Hand were to Noxus, not any particular ruler, and Swain was a man who spoke honestly of his new vision for the empire. Darius realized this was a leader he was prepared to follow... but Swain had other ideas.\n\nWith the establishment of the Trifarix, three individuals would rule Noxus together, each embodying one principle of strength: Vision (Swain), Might (Darius), and Guile (known as Faceless, true identity unknown). Darius gladly accepted his place on this council, and pledged to raise a new, elite force—the Trifarian Legion, the most loyal and prestigious warriors the empire could produce—and lead the armies of Noxus into a glorious new age of conquest.;Noxus, Swain, Darius
Noxus;Indignée par la trahison de son mari et craignant pour la Rose Noire, Soreana envoya Cassiopée chercher leur but ultime à Shurima : le pouvoir divin qui avait été la clé de la suprématie de l'empire Shurima.\n\nEn déterrant le tombeau des empereurs, Cassiopeia savait que c'était le seuil du pouvoir qu'elle recherchait et avait l'intention de tuer tous les témoins de son expédition avant de le revendiquer. La guide Sivir a été le premier à tomber sous la lame de Cassiopeia. Mais ensuite un ancien gardien de tombe en pierre s'est dressé et a enfoui ses crocs dans sa chair.\n\nSubmergée par ces toxines arcaniques, elle a été ramenée à travers le désert par ses soldats engagés, hurlant alors que son corps se tordait en quelque chose de nouveau et d'innommable...\nÀ son retour du désert, Cassiopée se cacha dans la crypte de sa famille, craignant sa transformation maudite. Elle resta seule dans le caveau pendant des semaines, remplie de dégoût pour son corps serpentin et pleurant la perte de sa vie aristocratique.\n\nFinalement, un désir croissant de chasser l'a submergée et elle s'est aventurée dans la nuit pour tuer ceux qui méritaient la mort à ses yeux.\nCassiopeia savait qu'elle avait déterré la magie des dieux shurimans morts et qu'elle la tournerait vers les plans de la Rose noire comme elle et sa mère l'avaient prévu.;Outraged by her husband's betrayal, and fearing for the Black Rose, Soreana dispatched Cassiopeia to seek out their ultimate goal in Shurima: the godlike power that had been the key to the Shuriman empire's supremacy.\n\nUpon unearthing the Tomb of the Emperors, Cassiopeia knew this was the threshold to the power she sought, and intended to kill all witnesses from her expedition before claiming it. The guide Sivir was the first to fall to Cassiopeia's blade, but then an ancient stone tomb guardian reared up, and buried its fangs into her flesh.\n\nOvercome by its arcane toxins, she was carried back through the desert by her hired soldiers, screaming as her body twisted into something new and unspeakable...\nUpon her return from the desert, Cassiopeia had hidden in her family's crypt, fearful of her cursed transformation. She remained alone in the vault for weeks, filled with disgust for her serpentine body and mourning the loss of her aristocratic life.\n\nEventually, a growing desire to hunt overwhelmed her, and she ventured out into the night as the household slumbered to kill those who deserved death in her eyes.\nCassiopeia knew she had unearthed the magic of dead Shuriman gods and she would turn it to the schemes of the Black Rose just as she and her mother had planned.;Noxus, Cassiopeia
Noxus;Le vétéran de la guerre Quilleta Varn, intendant de Baslich à l'époque, s'est rebellé contre Noxus, forçant la Main de Noxus (Darius, l'ami d'enfance et ex-amant de Quilleta) lui-même à venir dans la ville, avec Draven et le Warmason Tamara. Contre l'avis de Tamara, Draven dirige une force contre la ville, qui est repoussée par des archers et une bombe à poudre.\n\nAprès la défaite, Darius se rend à Blackrock Mere, un lac qui lui rappelle son temps avec Quilleta, il l'a fait en sachant qu'un assassin serait prêt à le tuer, et a donc amené Draven caché avec lui.\n\nDe retour à Basilich avec la tête de l'assassin, Darius et Draven affrontèrent Quilleta et son commandant en second Invetia Varn. Il est révélé que Decius, le fils de Quilleta, est mort dans la campagne contre Freljord par l'appel aux armes de Darius. Une discussion surgit sur la façon dont Noxus doit conquérir alors qu’aucune ville ne puisse se rebeller sans en payer le prix.\n\nSoudain, des navires de Vindor sont vus au loin, Quilleta affirme que l'intendant Amenesce se tient à ses côtés et amène ses guerriers pour l'aider, mais en raison des forces des légions trifariennes sur Vindor, Amenesce a trahi Quilleta et venait en fait aider Darius. À court d'options, Quilleta essaie de dire à Darius que Decius était aussi le fils de Darius. Invetia Varn, sa propre fille (et laissé entendre qu'elle est la fille de Darius par l'interaction de Swain), la tue avant qu'elle n'ait fini, devenant l'intendante de Basilich et mettant fin à la rébellion.;The war veteran Quilleta Varn, steward of Baslich at the time, rebelled against Noxus, forcing the Might of Noxus (Darius, Quilleta's childhood friend and ex-lover) himself to come to the city, together with Draven and the Warmason Tamara. Against Tamara's advice Draven leads a force against the city, which is held back by archers and a gunpowder bomb.\n\nAfter the defeat Darius goes to Blackrock Mere, a lake that reminded him of his time with Quilleta, he did so knowing an assassin would be ready to kill him, and so brought Draven hidden with him.\n\nGoing back to Basilich with the assassin's head, Darius and Draven faced Quilleta and her second-in-command Invetia Varn. It is revealed that Decius, Quilleta's son, died in the campaign against Freljord by Darius's call to arms. A discussion arises about how Noxus must conquer and no city can rebel without paying the price.\n\nSuddenly ships from Vindor are seen in the distance, Quilleta affirms that Steward Amenesce stands at her side and is bringing his warriors to help her, but due to Trifarian Legions forces on Vindor, Amenesce betrayed Quilleta and was actually coming to help Darius. Running out of options, Quilleta tries to tell Darius that Decius was not only her son, but also Darius'. Invetia Varn, her own daughter (and hinted to also be Darius' by Swain's interaction), kills her before she finishes, becoming steward of Basilich and ending the rebellion.;Noxus, Darius, Draven
