Name;Text;OriginalText;Tags
Piltover;Piltover est une cité florissante animée par le progrès, dont la puissance et l'influence ne cessent de croître. C'est le centre culturel de Valoran, où l'art, l'artisanat, le commerce et l'innovation avancent main dans la main. Sa puissance ne repose pas sur sa force militaire, mais sur les rouages bien huilés du libre-échange et de la pensée progressiste. Située sur les falaises qui surplombent le district de Zaun et l'océan, cette ville est le point de convergence de flottes entières de vaisseaux, qui traversent ses titanesques portails marins pour y acheminer des marchandises venues de toutes parts. L'opulence dont profite la cité a conduit à un développement urbain spectaculaire et sans précédent. Piltover est parvenue - et parvient toujours ! - à se réinventer constamment, pour devenir une ville où quiconque peut faire fortune et vivre pleinement ses rêves. De jeunes guildes de marchands y financent les entreprises les plus folles : des projets artistiques extravagants et grandioses, des recherches ésotériques sur la technologie Hextech, ou encore des monuments architecturaux qui rendent hommage à leur puissance. Grâce à l'afflux toujours grandissant d'inventeurs venus explorer les possibilités du domaine Hextech, Piltover est aujourd'hui un centre névralgique qui attire les meilleurs artisans du monde entier.;;Piltover
Piltover;"La famille Ferros a acquis l'essentiel de sa richesse grâce à un cristal rare récolté sur une créature originaire des sables d'une vallée lointaine. Ces premiers cristaux hexagonaux, ou « premiers cristaux », contenaient un pouvoir normalement réservé à ceux qui sont nés avec une capacité magique innée. L'arrière-grande tante Elicia de Camille a perdu un bras, et presque la vie, au cours d'une de ces premières expéditions. Son sacrifice a été célébré, et il a créé une attente qui se reflète encore aujourd'hui dans la devise de la famille Ferros, ""Pour la famille, vais-je donner"".\n\nLes créatures trouvées par Elicia Ferros, les Brackern, n'étaient pas une ressource inépuisable, et la famille de Camille a dû chercher des moyens d'augmenter les cristaux qu'ils avaient accumulés. Utilisant certains investissements fantômes dans la chemtech et l'alchimie runique, la famille Ferros a mis sur le marché des cristaux hexagonaux synthétiques moins puissants, mais plus faciles à se procurer. Un tel pouvoir a souvent des conséquences, et la production de cristaux synthétiques est censée être un gros contributeur au Zaun Grey.";The Ferros family gained most of its wealth through a rare crystal harvested from a creature native to the sands of a distant valley. These first hex-crystals, or “first crystals,” contained power normally reserved to those born with innate magical ability. Camille's Great-Great Aunt Elicia lost an arm, and nearly her life, during one such early expedition. Her sacrifice was celebrated, and it set an expectation that is still reflected in the Ferros family motto today, “For family, will I give.”\n\nThe creatures Elicia Ferros found, the Brackern, were not an unending resource, and Camille's family had to look for ways to augment the crystals they had accumulated. Utilizing certain shadow investments in chemtech and runic alchemy, the Ferros family brought to market the less powerful, but easier to procure, synthetic hex-crystals. Such power often comes with consequences, and the production of synthetic crystals is rumored to be a heavy contributor to the Zaun Gray.;Piltover, Camille, Brackern
Piltover;"Piltover est connue comme la ville du progrès pour les innombrables avancées technologiques qu'elle a réalisées, mais Jinx a trouvé un moyen d'arrêter complètement le progrès pendant un certain temps : l'anarchie ! Le chaos, les bâtiments qui s'effondrent, les gens qui meurent, les animaux peints qui sévissent et la ville sous les coups de feu constants... c'était le rêve de Jinx. Les meilleurs de Piltover, Caitlyn et Vi, ont tenté de la retrouver en vain.\n\nAlors que le déchaînement de Jinx s'intensifiait, Caitlyn déclara la chasse à l'homme à l'échelle de la ville. Jinx répondu à cela en ajoutant un défi à Vi, disant qu'elle attaquerait l'endroit à l'heure et à la date qu'elle y avait écrites. Le moment venu, elle s'est montrée et a commencé à faire des ravages comme d'habitude. Vi a commencé à la poursuivre, brisant tous les murs le long du chemin. Finalement, Jinx a été acculée, mais elle a lâché un barrage de roquettes, détruisant le bâtiment. Lorsque les officiers se réveillèrent, tout l'or était encore présent et Jinx avait épelé quelque chose dans le ciel en utilisant les lumières de la ville : ""VOUS NE M'AUREZ JAMAIS !"".";"Piltover has been known as the City of Progress for the countless technological advancements it has made, but Jinx found a way to halt progress entirely for some time: anarchy! Chaos, buildings crumbling, people dying, painted animals running rampant, and the city in constant gunfire... it was Jinx's dream. Piltover's Finest, Caitlyn and Vi, attempted to track her down to no avail.\n\nAs Jinx's rampage escalated, Caitlyn declared her a city-wide manhunt. Jinx responded to this by marking the treasury with a challenge to Vi, saying that she would attack the place at the time and date she had written there. When the time came, she showed up and began to wreak havoc as usual. Vi began chasing her, smashing through every wall along the way. Eventually Jinx was cornered, but she let loose a barrage of rockets, destroying the building. When the officers had awoke, all the gold was intact still remained and Jinx had spelled out something in the sky using the city's lights: ""YOU'LL NEVER CATCH ME!"".";Piltover, Caitlyn, Vi, Jinx
Piltover;Trois espions noxiens, Gysbert, Tamara et Colette, infiltrèrent Piltover pendant plusieurs mois dans l'espoir de placer un agent au sein du clan Medarda. Ils ont profité de la journée annuelle du progrès pour montrer leurs compétences techniques aux maîtres et apprentis du clan.\n\nTamara Lautari a présenté son invention Hextech. Cela a fonctionné en exploitant les propriétés d'un cristal et en augmentant de façon exponentielle la sortie produite du dispositif. Cependant, l'invention elle-même s'est avérée dangereuse car elle a presque détruit toute la salle en raison de sa construction défectueuse - qui était intentionnel et visait à saboter la procédure des prochains concurrents.\n\nPlus tard, après avoir quitté le manoir Medarda, Tamara a été appréhendée par Caitlyn, qui avait découvert sa véritable identité et son but dans la ville. Elle a ensuite été bannie et renvoyée à Noxus.\n\nTamara et Gysbert ont échoué à devenir des apprentis de Medarda, mais Colette réussi. Quelque temps après, Colette obtiendrait une carte commerciale de Medarda, qu'elle transmettrait aux services secrets de Noxian.;Three Noxian spies, Gysbert, Tamara, and Colette, infiltrated Piltover for many months in hopes of placing an agent inside Clan Medarda. They used the annual Progress Day to showcase their technical skills to the clan's masters and apprenta.\n\nTamara Lautari showcased her Hex-Armillary Amplifier invention. It worked by harnessing the properties of a crystal and exponentially increasing its output. However, the invention itself proved to be dangerous as it almost destroyed the entire hall due to its faulty construction - which was intended to sabotage the proceedings.\n\nLater on, after leaving the Medarda mansion, Tamara was apprehended by Caitlyn, who had discovered her true identity and purpose in the city. She was subsequently banished and sent back to Noxus.\n\nBoth Tamara and Gysbert failed to become Medarda apprenta, but Colette succeeded. Some time after, Colette would obtain a Medarda trading map, which she would relay to Noxian intelligence.;Piltover, Noxus, Caitlyn
Piltover;"__Locations iconiques au nord de Piltover 1/2__ :\n\n     - __Bluewind Court__ : Les individus les plus influents de Piltover vivent à Bluewind Court, situé dans le nord de Piltover. Le nord de la ville est l'endroit où la majeure partie des clans ont leurs manoirs et des ateliers fortement gardés, tels que les manoirs des clans Arvino, Cadwalder, Ferros, Giopara, Holloran, Kozari, Medarda, Morichi et Torek.\n\n         - __Laboratoire de Jayce__ : Faisant partie du manoir Giopara, le laboratoire est la zone de travail du célèbre gardien de la ville, Jayce. C'est l'endroit où il a lui-même fabriqué son célèbre Mercury Hammer, qui a ensuite été utilisé contre Viktor.\n\n         - __Atelier de l'Institut d'Horlogerie__ : Les ateliers des chercheurs hextech sont de magnifiques exemples de ce qu'un riche mécène peut faire pour un inventeur.\n\n     - __La Ménagerie du Comte Mei__ : Un type de zoo, financé par le Comte Mei, qui abritait un large assortiment de flore et de faune de tout Runeterra. Il a été récemment vandalisé par Jinx.\n\n     - __Drawsmith Arcade__ : Une structure voûtée de colonnes de verre coloré et de ferronnerie contenant plusieurs théâtres.\n\n     - __Les provisions pyrotechniques de Heimerdinger__ : L'atelier de l'inventeur du yordle ; Les nombreuses inventions de Cecil B. Heimerdinger ont été imaginées, créées, testées et vendues dans cet établissement.\n\n     - __Mainspring Crescent__ : la promenade à la mode des cafés, des bistros et des clubs de souper. La Drawsmith Arcade contient de petits théâtres.\n\n     - __Maison Reveck__ : Résidence de Corin Reveck, le célèbre inventeur de l'horlogerie de la ville. Il y vivait en vendant une collection de figurines d'horlogerie laissées par sa fille, Orianna.";"__Locations iconiques au nord de Piltover 1/2__ :\n\n    - __Bluewind Court__: The most influential individuals of Piltover live in Bluewind Court, located in northern Piltover. The north of the city is where the bulk of the clans have their mansions and heavily guarded workshop compounds, such as the mansions of clans Arvino, Cadwalder, Ferros, Giopara, Holloran, Kozari, Medarda, Morichi and Torek.\n\n        - __Jayce's Laboratory__: As part of the Giopara Mansion, the lab the work area of the city's famous guardian, Jayce. It is the place where he himself made his famous Mercury Hammer, which was later used against Viktor.\n\n        - __Workshop of The Horological Institute__: Workshops of hextech researchers are magnificent examples of what a wealthy patron can do for an inventor.\n\n    - __Count Mei's Menagerie__: A type of Zoo, funded by Count Mei, that housed a large assortment of flora and fauna from across Runeterra. It was recently vandalized by Jinx.\n\n    - __Drawsmith Arcade__: A vaulted structure of colored glass and ironwork columns containing several theatres.\n\n    - __Heimerdinger's Pyrotechnic Provisions__: The workshop of the yordle inventor; Cecil B. Heimerdinger's many inventions have been imagined, created, tested, and sold in this establishment.\n\n    - __Mainspring Crescent__: The fashionable promenade of cafes, bistros, and supper clubs. The Drawsmith Arcade contains small theatres.\n\n    - __Reveck House__: Residence of Corin Reveck, the city's famous clockwork inventor. He lived there by selling a collection of clockwork figurines left behind by his daughter, Orianna, before she gave into the sickness for the benefit of others and was replaced with hextech.";Piltover, Jayce, Viktor, Jinx, Heimerdinger, Orianna
Piltover;__Locations iconiques au nord de Piltover 2/2__ :\n\n     - __Sidereal Avenue__ : On raconte que les rues de Piltover seraient pavées d'or, mais à la déception de nombreux voyageurs pleins d'espoir, ce n'est qu'une métaphore. Cependant, les structures et les paysages de rue les plus merveilleux de la ville sont financés par les clans marchands, qui affichent leur richesse autant que possible. Cet endroit est l'avenue Sidereal, qui abrite le Trésor de Piltover.\n\n         - __Les Ecliptic Vaults__ : Situés sur Sidereal Avenue, ils étaient autrefois considérés comme la banque la plus sûre de Piltover, avant que Jinx ne perce leurs murs fortement renforcés.\n\n         - __Clockwork Vault__ : situé dans la partie sud de la ville. Cette banque était également considérée comme sûre, avant d’être également cambriolée par Twisted Fate et Graves.\n\n         - __Incognium Runeterra de Zindelo__ : L’Incognium Runeterra de Zidelo est situé sur la place Incognia, reliée à l'avenue Sidereal dans le sud de Piltover. Œuvre de toute une vie de Valentina Zindelo, l'Incognium Runeterra est un appareil qui, selon elle, serait capable de localiser n'importe quel individu dans le monde. Depuis la mort mystérieuse de Zindelo, beaucoup pensent que ses formules alchimiques ont été volées. L'engin est laissé inutilisable.\n\n     - __La maison de la guilde des explorateurs__ : la maison de la guilde officielle de Piltover pour les explorateurs, ils sont chargés de financer, de surveiller et d'acquérir des artefacts archéologiques auprès des membres de la guilde de Runeterra. Ces artefacts sont ensuite utilisés pour la recherche ou placés dans l'un des nombreux musées de Piltover.;__Locations iconiques au nord de Piltover 2/2__ :\n\n    - __Sidereal Avenue__: The streets of Piltover are rumored to be paved with gold, but to the disappointment of many a hopeful traveler, that is simply a metaphor. However, the city's most wondrous structures and streetscapes are funded by the merchant clans, who flaunt their wealth as much as possible. Such place is the Sidereal Avenue, home to the Piltover Treasury.\n\n        - __The Ecliptic Vaults__: Located in Sidereal Avenue, were once considered to be Piltover's most secure bank, before Jinx breached their heavily reinforced walls.\n\n        - __Clockwork Vault__: Located at the Southern part of the city. This bank was considered secure as well, only to also be broken into, this time by Twisted Fate and Graves.\n\n        - __Zindelo's Incognium Runeterra__: Zidelo's Incognium Runeterra is located in the Incognia Plaza, connected to the Sidereal Avenue in southern Piltover. The lifetime's work of Valentina Zindelo, the Incognium Runeterra is a device she claimed was able to locate any individual in the world. Since Zindelo's mysterious death, many believe her alchemical formulae to have been stolen. The contraption is left inoperable.\n\n    - __The Explorers Guild House__: The House of the Official Piltover Guild for explorers, they are tasked at funding, monitoring, and acquiring archaeological artifacts from its guild members from across Runeterra. These artifacts are later used for research or placed in one of many Piltover museums.;Piltover, Jinx, TwistedFate, Graves
Piltover;__Locations iconiques au sud de Piltover__ :\n\n     - __Maison d'Ezreal__ : L'une des résidences les plus célèbres de la ville, la maison abrite un large assortiment d'artefacts trouvés par l'explorateur lui-même.\n\n     - __Sapphilite Row__ : Une rue où se trouve Zalie. Nommé d'après la substance récoltée à partir de Jaull-fish.\n\n         - __Zalie's Expeditionary Outfitters & Mercerie__ : Inscrite par Ezreal comme l'une des meilleures pourvoiries de Piltover, la boutique est équipée d'une large gamme de vêtements pour tous les besoins.\n\n     - __Les Fissures__ : Les gouffres géants qui s'étendent au sud de Piltover. Ils ont été créés lors d'un tremblement de terre résultant de la création du canal pour les Portes du Soleil. La ville de Zaun est située dans ces fissures, ainsi que d'autres bâtiments de surface utilisés comme convoyeurs vers la ville souterraine.;__Locations iconiques au sud de Piltover__ :\n\n    - __Ezreal's House__: One of the cities most famous residence, the house houses a large assortment of artifacts found by the explorer himself.\n\n    - __Sapphilite Row__: A street where Zalie's is located in. Named after the substance harvested from Jaull-fish.\n\n        - __Zalie's Expeditionary Outfitters & Haberdashery__: Subscribed by Ezreal Ezreal as one one of the best outfitters in Piltover, the shop is outfitted with a wide range of clothing for every need.\n\n    - __The Fissures__: The giant chasms stretching across the south of Piltover. They were created in an earthquake resulted by the creation of the canal for the Sun Gates. The city of Zaun is located within these fissures, along with some other surface buildings used as conveyors to the undercity.;Piltover, Ezreal
Piltover;__Points marquants autours de la falaise__ :\n\n     - __Boundary Markets__ : Les niveaux où la division entre Zaun et Piltover s'estompe abritent des marchés florissants et des Commercia Halls. Les zones de Boundary Markets sont les plus cosmopolites de la ville, où des personnes de tous les horizons et de tous les niveaux de la société peuvent se trouver pour l'achat et la vente de marchandises.\n\n         - __Premier Assemblage des Glorieux Evolués__ : Situé à l'extrémité des Marchés de la frontière dans le sud de Piltover, l'Église est le lieu principal où les adorateurs des Glorieux Evolués de Piltover et de Zaun viennent adorer leur divinité, la Dame Grise. C'est aussi un lieu où les démunis viennent se réfugier, et où les estropiés viennent faire des miracles techmaturgiques.\n\n     - __Les Portes du Soleil__ : L'un des endroits les plus importants de tout Piltover, la construction de ces immenses voies d'accès a fait de Piltover une plaque tournante du commerce commercial entre Valoran et Shurima. Ils ont été nommés « les portes du soleil » pour honorer l'héritage shurimien de la région. Malheureusement, un accident lors de leur construction a coulé de gros morceaux de Zaun dans la mer. À Piltover, le Jour du progrès marque l'anniversaire du jour où les Portes du Soleil se sont ouvertes pour la première fois, permettant au commerce de traverser facilement la ville, apportant une richesse inimaginable aux dirigeants de la ville. À Zaun, c'est une journée pour se souvenir de ceux qui ont été perdus dans le bouleversement géologique qui a créé le passage est-ouest et submergé des quartiers entiers sous l'eau. Il a permis l'expansion rapide de l'empire noxien le long de la côte, bien que Piltover facture des taux de risque vraiment stupéfiants pour le transport de tous les actifs militaires.;The cliff is the most important location of all of Zaun and Piltover, it was the epicenter of a massive man made geological disaster that sunk most of old Zaun. Currently, it is the location of massive spires jutting upwards towards Piltover as an arrogant testimony to Zaun's resolve to survive. One such building is the College of Techmaturgy. The Sun Gates are built above The Cliff.\n\n    - __Boundary Markets__: The levels where division between Zaun and Piltover blurs are home to thriving markets and Commercia Halls. Boundary Markets areas are the most cosmopolitan of the city, where people from all walks of life and levels of society can be found for the purchase and sale of goods.\n\n        - __First Assemblage of the Glorious Evolved__: Located at the end of the Boundary Markets in southern Piltover, the Church is the main location where worshipers of the Glorious Evolved from both Piltover and Zaun come to worship their deity, the Gray Lady. Its is also a place where the disenfranchised come to seek refuge, and where the crippled come for techmaturgical miracles.\n\n    - __The Sun Gates__: One of the most important locations in all of Piltover, the construction of these huge accessways made Piltover a hub of mercantile trade between Valoran and Shurima. They were named 'The Sun Gates' to honor the region's Shuriman heritage. They were constructed as a necessity of the city, but unfortunately, an accident during their construction sank large chunks of Zaun into the sea. In Piltover, Progress Day marks the anniversary of the day the Sun Gates opened for the first time, allowing trade to pass easily through the city, bringing unimaginable wealth to the city's rulers. In Zaun, it is a day to remember those lost in the geological upheaval that created the east–west passage and submerged entire districts underwater. It enabled the rapid expansion of the Noxian empire along the coast, although Piltover charges truly staggering hazard rates for the transport of all military assets.\n\n        - __Wharfside Docks__: Located at the lower end of the Sun Gates, the quaysides of Piltover are always busy, with ships from every major port passing through the Sun Gates every day.;Piltover, Zaun
Piltover;Piltover, comme le montre l'univers d'Arcane, a une origine considérablement différente, tout comme la disposition de la ville. Les Hexgates remplacent les Portes du Soleil, qui sont la caractéristique principale de la ville ainsi que le point focal de la suprématie commerciale de Piltover. Le canal qui relie les mers est et ouest est plus naturel dans sa courbure, au lieu d'être une ligne droite entièrement artificielle à travers la masse continentale d'origine. La ville s'étend du nord au sud, au lieu de s'étendre principalement du côté est du canal. Les fissures où se trouve Zaun ne sont dispersées que du côté sud de la ville, alors qu'elles occupent la majorité du côté est du canal (sous les portes du soleil) dans l'univers principal. \n\n     - __Le Pont du Progrès__ : L'un des principaux ponts reliant les parties nord et sud de la ville. C'est le lieu principal où de nombreuses rébellions souterraines se sont produites, ainsi qu'un attentat à la bombe de Jinx.\n\n     - __Les Hexgates__ : L'un des endroits les plus importants de Piltover. L'énorme tour rétractable, construite à partir des plans de Viktor et Jayce, est un dispositif hextech utilisé pour téléporter les véhicules et les marchandises vers la destination souhaitée à travers Runeterra. Le parcours est choisit en utilisant un globe rotatif de Runeterra au sommet de la tour. Chaque saut nécessite le remplacement des piles hextech. En raison de son élévation, seuls les dirigeables peuvent l'utiliser.\n\n     - __Le fort de Stillwater__ : Une prison située sur une île à l'extérieur de la partie est de la ville. Il détient plusieurs criminels capturés à Piltover et Zaun. Le fort s'élève sur au moins 40 étages et dispose de cellules d'isolement. Les prisonniers se voient également confier des tâches, telles que nettoyer le toit, autour de la prison et ont du temps alloué pour l'exercice obligatoire.;Piltover as shown in the Arcane universe has a considerably different origin as well as city layout. The Sun Gates do not exist, instead the Hexgates are the prominent feature of the city as well as focal point of Piltover trade supremacy. The canal that connects east and west seas is more natural in its curvature, instead of being an entirely artificial straight through the original landmass. The city stretches from north to south, instead of predominantly taking space on the east side of the canal. The fissures where Zaun is located are only scattered on the southern side of the city, where as they take up the majority of the east side of the canal (under the Sun Gates) in the main canon. While the scale of Piltover is smaller than in the main canon, its buildings still retain the same distinct visual aesthetics.\n\n    - __The Bridge of Progress__: One of the main bridges connecting northern and southern parts of the city. It is the primary location where numerous undercity rebellions occurred, as well as a bombing attack from Jinx that resulted in the deaths of many wardens during city wide lockdowns.\n\n    - __The Fissures__: Located in the southern parts of the city, these fissures are represent the entirety of the undercity of Zaun.\n\n    - __The Hexgates__: One of the most important locations in Piltover. The massive retractable tower, constructed from the plans made by Viktor and Jayce, is a hextech device used for realm warping people, vehicles, and cargo to their desired destinations across Runeterra. It charts its course by using a rotatable globe of Runeterra at the top of the tower. Each jump requires hexite batteries to be replaced. Due to its elevation, only airships can utilize it.\n\n    - __The University of Piltover__: Located in Mid Piltover near the Hexgates, it is also the primary location where most Clan Council meetings take place in.\n\n    - __Stillwater Hold__: A prison located on an island outside the eastern part of the city. It holds several criminals captured in Piltover and Zaun. The fort goes up to at least 40 floors, and has cells for solitary confinement. The prisoners are also given tasks, such as cleaning the roof, around the prison and have time allotted for mandatory exercise. Somehow, prisoners are able to get tattoos and piercings inside.;Piltover, Zaun
Piltover;À Valoran, les chats sont une race de félins ressemblant aux chats de notre monde qui résident à la fois sur Runeterra et à Bandle City. Bien qu'ils aient l'apparence physique de chats domestiques ordinaires du monde réel, ils possèdent une intelligence humaine ou supérieure à celle de l'homme, capables de penser à des idées et des inventions complexes. Le professeur von Yipp est un chat capable de créer des mecas et des sous-marins géants, tandis que Yuumi possède des capacités magiques avec l'aide de Grimoire.;In Valoran, cats are a feline race resembling Felis catus that reside both on Runeterra as well as Bandle City. While they have the physical appearance of regular real world house cats, they possess human or above human intelligence, being able to think of complex ideas and inventions. Professor von Yipp is a cat that is able to create giant mechs and submarines, while Yuumi possesses magical abilities with the help of Book.;Piltover, Cats, Yuumi
