Name;Text;OriginalText;Tags
ShadowIsles;Cette terre maudite était autrefois une civilisation noble et éclairée, connue auprès de ses alliés et de ses émissaires sous le nom d'Îles bénies. Cependant, il y a plus d'un millier d'années, un cataclysme magique sans précédent réduisit en lambeaux la frontière entre le monde physique et le royaume spirituel, entraînant leur fusion... et condamnant instantanément tous les êtres vivants.\n\nAujourd'hui, la Brume noire recouvre en permanence les îles, et la terre elle-même est souillée par la magie noire. Les mortels qui osent s'aventurer sur ces côtes sinistres voient leur énergie vitale peu à peu drainée de leur corps, ce qui attire progressivement les esprits des morts, voraces et insatiables.\n\nCeux qui périssent au cœur de la Brume noire sont condamnés à hanter ces îles tourmentées pour toute l'éternité. Pire encore, le pouvoir des Îles obscures devient de plus en plus puissant chaque année, ce qui permet aux spectres d'étendre leur influence toujours plus loin dans tout Runeterra.;;ShadowIsles
ShadowIsles;Bien avant la ruine, une chaîne d'îles qui s'appellaient les îles bénies a éclaté des profondeurs de l'océan. Avec sa création, l'esprit de la nature Maokai est né, prenant la forme d'un tréant.\n\nMaokai a parcouru les îles à la recherche de la vie, jusqu'à ce que sur une île vallonnée couverte d'un sol doux et riche, Maokai ait senti une magie illimitée au plus profond du sol. Il a plongé ses racines dans une source d'eau magique et vivifiante et a bu abondamment. À partir de ces eaux de vie, il a fait pousser des centaines de jeunes arbres et les a plantés à travers les îles. Bientôt, la terre fut couverte d'une flore merveilleuse, toute imprégnée d'une magie merveilleuse. Les esprits de la nature étaient attirés par la végétation luxuriante et les animaux se délectaient de la verdure fertile.\n\nLorsque les humains d'une ancienne culture s'étendant vers l'ouest sont finalement arrivés dans les îles, ils ont formé une société éclairée et riche d'érudits dévoués à l'étude des mystères du monde. Bien que Maokai se méfie de leur présence, il a vu leur respect pour la magie profonde dans les bois et s'est parfois révélé directement à ceux en qui il avait confiance et les a bénis avec la connaissance des îles verdoyantes, révélant même les eaux de la vie à certains.\n\nFinalement, les érudits Vesani d'Ionia arriveraient sur les îles bénies, intrigués par la brume sacrée protégeant l'île. Les Vesani recherchaient l'effet de la brume sur les souvenirs et pouvaient utiliser son pouvoir pour enchanter les golems. Pendant leur séjour sur l'île, ils se lieraient d'amitié avec Maokai.;Long before the Ruination, a chain of islands that would one day be called the Blessed Isles erupted from deep beneath the ocean. With its creation, the nature spirit Maokai was born, taking the form of a treant.\n\nMaokai wandered the isles in search of life, until on a hilly isle covered in soft, rich soil, Maokai sensed boundless magic deep beneath the ground. He plunged his roots into a spring of magical, life-giving water and drank deeply. From these Waters of Life, he grew hundreds of saplings and planted them across the islands. Soon the land was covered with wonderous flora, all steeped in wondrous magic. Nature spirits were drawn to the lavish vegetation, and animals reveled in the fertile greenery.\n\nWhen humans from an ancient culture expanding westward eventually came to the islands, they formed an enlightened and rich society of scholars devoted to studying the world's mysteries. Though Maokai was wary of their presence, he saw their respect for the deep magic within the woods and occasionally revealed himself directly to those he trusted and blessed them with knowledge of the verdant isles, even revealing the Waters of Life to some.\n\nEventually Vesani scholars from Ionia would arrive on the Blessed Isles, intrigued by the Hallowed Mist protecting the island. Seeking to research the mist, the residents allowed them to stay and aided in constructing their vault. The Vesani would research the effect the mist had on memories and were able to use its power to enchant golems. During their time on the island, they would befriend Maokai and be spied on by a connving warden (Thresh).;ShadowIsles, Maokai
ShadowIsles;**Du Deuil à la Ruine 1/3** :\n\nDans un empire dont personne ne se souvient aujourd'hui résidait Kalista, général et nièce du roi (Viego). Elle a vécu selon un code d'honneur strict, servant le trône avec la plus grande loyauté. Lorsque les ennemis du roi envoyèrent un assassin pour le tuer, Kalista lui sauva la vie - mais ce faisant, elle envoya par inadvertance la lame empoisonnée sur la reine. Les plus grands prêtres et chirurgiens ont été convoqués, mais aucun n'a pu tirer le poison de son corps. Le roi envoya Kalista à la recherche d'un remède. Hecarim, qui était récemment devenu le commandant de l'Ordre de Fer à la suite d'une horrible trahison connue de lui seul, prit la place de Kalista en son absence.\n\nKalista a voyagé loin, consultant des savants, des ermites et des mystiques... mais en vain. Enfin, elle apprit l'existence des îles bénies et partit pour un dernier voyage d'espoir.\n\nLes gardiens d’Helia, la capitale, ont vu la pureté de l'intention de Kalista et ont écarté les brumes protectrices des îles pour lui permettre de traverser en toute sécurité. Elle les pria de guérir la reine et réussit à rallier les maîtres de la ville à sa cause. Tant que la reine restait en vie, elle pouvait être guérie dans les eaux de la vie. Kalista a reçu un talisman qui lui permettrait de retourner à Helia sans aide, mais a été mise en garde contre le partage de ces connaissances avec qui que ce soit.\n\nPendant ce temps, alors que le royaume commençait à décliner en raison des dépenses et de l'isolement du roi, ses habitants ont commencé à protester contre son obsession. Fou de chagrin, Viego fit rage contre ceux qu'il croyait essayer de le séparer de sa femme mourante, envoyant Hecarim pour réprimer la dissidence dans tout le royaume. L'Ordre du Fer brûla villes et villages. Des centaines de villageois passèrent au fil de l'épée.;From Grief to Ruin 1/3 :\n\nIn an empire that none now recall, resided Kalista, a general and niece of the king (Viego). She lived by a strict code of honor, serving the throne with utmost loyalty. When the king's enemies sent an assassin to slay him, Kalista saved his life - but in doing so inadvertently sent the venom-coated dagger at the queen. The greatest priests and surgeons were summoned, but none could draw the poison from her body. The king dispatched Kalista in search of a cure. Hecarim, who had recently become the commander of the Iron Order through a gruesome betrayal known only to himself, took Kalista's place in her absence.\n\nKalista traveled far, consulting learned scholars, hermits and mystics... but to no avail. Finally, she learned of the Blessed Isles and set sail on one last voyage of hope.\n\nThe guardians of the capital city, Helia, saw the purity of Kalista's intent, and parted the Isles' protective mists to allow her safe passage through. She begged them to heal the queen and managed to sway the masters of the city to her cause. While the queen lived, she could be healed in the Waters of Life. Kalista was given a talisman that would allow her to return to Helia unaided, but was warned against sharing this knowledge with any other.\n\nMeanwhile, as the kingdom began to decline due to the king's spending and seclusion, its inhabitants began to protest his obsession. Mad with grief, Viego raged at those he believed were trying to separate him from his dying wife, dispatching Hecarim to quell dissent throughout the kingdom. The Iron Order burned towns and villages. Hundreds were put to the sword.;ShadowIsles, Viego, Kalista, Hecarim
ShadowIsles;**Du Deuil à la Ruine 2/3** :\n\nLorsque la reine mourut, le roi s'enferma avec son cadavre, sombrant plus profondément dans la folie. Hecarim choisi d'aigrir le chagrin du roi en haine, cherchant à conduire l'Ordre de Fer dans des terres étrangères. Il vengerait sa mort, tout en acquérant encore plus de sombre renommée pour lui-même.\n\nMais avant qu'ils ne puissent sortir, Kalista revint. Lorsque le roi a appris cela, il a exigé de savoir ce qu'elle avait trouvé. Elle admit que le remède qu'elle avait trouvé ne serait d'aucune utilité. Viego ne voulait pas le croire et emprisonna Kalista comme traître à la couronne.\n\nIntrigué par ce qu'il avait entendu, Hecarim visita sa cellule, et ils parlèrent des brumes pâles qui protégeaient les îles de tout envahisseur... et aussi de l'immense richesse des habitants, dont les légendaires Eaux de Vie.\n\nSachant que seule Kalista pouvait les y conduire, Hecarim la persuada finalement de guider la flotte du roi à travers le voile qui cachait les îles bénies, profitant de son amour pour son oncle en arguant que s'ils voyageaient vers les îles, Viego pourrait enfin trouver la paix. Avec hésitation, Kalista accepta.\n\nEt ainsi le roi partit avec une flotte de ses navires les plus rapides, contournant les brumes dans son désespoir. Cependant, lorsqu'ils ont été accueillis par les maîtres d'Helia, ils n'ont pas été autorisés à passer. La mort, insistaient-ils, était définitive. Le tromper serait rompre l'ordre naturel du monde.\n\nViego entra dans une rage fébrile et ordonna à Kalista de tuer les gardiens. Elle refusa et demanda à Hecarim de se tenir à ses côtés... mais à la place, il enfonca sa lance dans son dos blindé.;From Grief to Ruin 2/3 :\n\nWhen the queen died, the king locked himself away with her corpse, falling deeper into madness. Hecarim chose to sour the king's grief into hatred, seeking to lead the Iron Order into foreign lands. He would avenge her death, while earning yet more dark renown for himself.\n\nBut before they could ride out, Kalista returned. When the king learned of this, he demanded to know what she had found. She admitted that the cure she had found would be of no use. Viego would not believe this, and imprisoned Kalista as a traitor to the crown.\n\nIntrigued by what he had heard, Hecarim visited her cell, and they spoke of the pale mists that protected the islands from all invaders... and also of the inhabitants' immense wealth, including the legendary Waters of Life.\n\nKnowing only Kalista could lead them there, Hecarim eventually persuaded her to guide the king's fleet through the veil that concealed the Blessed Isles, taking advantage of her love for her uncle by arguing that if they traveled to the Isles, Viego could finally find peace. Hesitantly, Kalista agreed.\n\nAnd so the king set out with a fleet of his fastest ships, bypassing the mists in his desperation. However, when they were met by Helia's masters, they were not allowed pass. Death, they insisted, was final. To cheat it would be to break the natural order of the world.\n\nViego flew into a fevered rage, and commanded Kalista to slay the guardians. She refused, and called on Hecarim to stand with her... but instead he drove his spear through her armored back.;ShadowIsles, Viego, Hecarim, Kalista
ShadowIsles;**Du Deuil à la Ruine 3/3** :\n\nL'Ordre de Fer le rejoignit, perçant le corps de Kalista une douzaine de fois de plus alors qu'elle tombait. Une mêlée brutale éclata, avec ceux qui étaient dévoués à Kalista combattant les chevaliers d'Hecarim, mais leur nombre était trop faible. Alors qu'elle regardait ses guerriers mourir, Kalista jura de se venger dans son dernier souffle.\n\nHecarim ordonna alors à ses chevaliers de saccager la ville, pillant ses voûtes de trésors arcaniques. Au milieu du chaos, un humble gardien (Thresh) accepta d'accorder au roi l'accès aux Eaux de la Vie, mais même cela n'a pas distrait Hecarim des réjouissances de l'effusion de sang.\n\nLe roi emmena le cadavre de sa femme dans les eaux sacrées. Fidèles à leur nature, ils ont ramené Isolde à la vie... mais elle est apparue comme un horrible spectre d'ombre et de rage, et dans sa douleur, sa colère, sa confusion d'avoir été arrachée à la mort, elle prit la lame enchantée de Viego et la poussa à travers le cœur de son roi.\n\nLa magie des eaux et l'ancienne épée se sont affrontées, et l'énergie de la chambre a éclaté. Une explosion de force magique a traversé Helia, brisant jusqu'au dernier bâtiment et laissant les fragments suspendus dans une non-lumière brûlante. La brûme noire apparue, un ouragan gonflé qui entraîna chaque créature vivante qu'il a touchée dans son étreinte hurlante et agitée. Hecarim essaya de rallier l'Ordre de Fer, espérant revenir à leurs navires, mais la brume les a réclamés un par un alors qu'ils s'enfuyaient.\n\nQuand Hecarim fut emporté par la brume, lui et sa puissante monture fusionnèrent en une monstrueuse abomination spectrale qui reflétait les ténèbres dans le cœur d'Hecarim - une créature effrontée de fureur et de dépit, comme une avec la Brume noire et pourtant totalement asservie par elle.;From Grief to Ruin 3/3 :\n\nThe Iron Order joined him, piercing Kalista's body a dozen times more as she fell. A brutal melee erupted, with those devoted to Kalista fighting against Hecarim's knights, but their numbers were too few. As she watched her warriors die, Kalista swore vengeance with her final breath.\n\nHecarim then ordered his knights to ransack the city, looting its vaults of arcane treasures. Amid the chaos, a lowly custodian (Thresh) agreed to grant the king access to the Waters of Life—but not even this distracted Hecarim from the revelry of bloodshed, and so the Ruination of the Blessed Isles would take him almost completely by surprise.\n\nThe King brought the corpse of his wife to the sacred waters. True to their nature, they brought Isolde back to life...but she arose as a horrifying wraith of shadow and rage, and in her pain, her anger, her confusion at being ripped from death, she took Viego’s own enchanted blade and thrust it through his heart.\n\nThe magic of the waters and the ancient sword clashed, and the chamber’s energy erupted. A blastwave of magical force tore across Helia, shattering every last building and leaving the fragments suspended in searing un-light. In its wake came the Black Mist, a billowing hurricane that dragged every living creature it touched into its shrieking, roiling embrace. Hecarim tried to rally the Iron Order, hoping to make it back to their ships, but the mist claimed them one by one as they fled.\n\nWhen Hecarim was taken by the mist, he and his mighty steed were fused into a monstrous, spectral abomination that reflected the darkness in Hecarim's heart—a brazen creature of fury and spite, as one with the Black Mist and yet utterly enslaved by it.;ShadowIsles, Viego, Kalista, Hecarim, Thresh
ShadowIsles;"Thresh a été parmi les premiers à être revendiqué par la Brume noire, mais tandis que d'autres hurlaient d'angoisse face à leur sort, il s'en délectait. Il est né de la Ruine comme une monstruosité spectrale, savourant la chance de tourmenter les autres sans crainte de représailles et sans entrave par les limites de la mortalité.\n\nAu cours des siècles qui ont suivi, son apparence surnaturelle a lentement changé pour correspondre à sa méchanceté et sa cruauté. Thresh en vint à réaliser que la plupart des autres esprits piégés dans la Brume noire ne conservaient que des fragments d'eux-mêmes - même les plus puissants des envahisseurs étrangers, tels que Hecarim ou Ledros - tandis que son pouvoir continuait de croître.\n\nMême Kalista elle-même n'a pas été épargnée par la non-mort. Lorsque Kalista ouvrit ensuite les yeux, ils étaient remplis du pouvoir obscur de la magie contre nature. Elle n'avait aucune idée de ce qui s'était passé et essaya de s'accrocher à ces souvenirs fragmentés de la monstrueuse trahison d'Hecarim ; ils se sont lentement estompés au cours des siècles qui ont suivi, et il ne reste plus qu'une soif de vengeance brûlant dans la poitrine en ruine de Kalista. Elle est devenue un spectre, une figure du folklore macabre, souvent invoquée par ceux qui ont subi des trahisons similaires.\n\nCes esprits misérables sont subsumés dans le sien, pour payer le prix ultime : ne faire qu'un avec la Lance de Vengeance.";"Thresh was among the first to be claimed by the Black Mist, but while others screamed in anguish at their fate, he reveled in it. He arose from The Ruination as a spectral monstrosity, relishing the chance to torment others without fear of reprisal, and unfettered by the limits of mortality.\n\nOver the centuries that followed, his supernatural appearance slowly changed to match his malice and cruelty. Thresh came to realize most other spirits trapped within the Black Mist retained only fragments of their former selves—even the strongest of the foreign invaders, such as Hecarim or Ledros—while his power continued to grow.\n\nEven Kalista herself was not spared from undeath. When next Kalista opened her eyes, they were filled with the dark power of unnatural magic. She had no idea what had transpired and tried to cling to those fragmented memories of Hecarim's monstrous betrayal; they have slowly faded in all the centuries since, and all that now remains is a thirst for revenge burning in Kalista's ruined chest. She has become a specter, a figure of macabre folklore, often invoked by those who have suffered similar treacheries.\n\nThese wretched spirits are subsumed into hers, to pay the ultimate price—becoming one with the Spear of Vengeance.";ShadowIsles, Thresh, Kalista, Hecarim
ShadowIsles;"Lorsque la ruine a frappé, Maokai plongea ses racines profondément dans le sol et bu les eaux de la vie. Avant que l'eau maudite ne l'atteigne, Maokai retira ses racines. Il hurla de rage alors que le réservoir sacré qu'il avait confié aux hommes fut corrompu - les bobines en spirale tournant sous l'eau jusqu'à ce qu'il ne reste plus rien de pur.\n\nLa fureur de Maokai grandit ; la grande beauté qu'il avait cultivée à partir de minuscules jeunes arbres tomba en ruine en un instant sous la main négligente de l'homme.\n\nLa brume noire s'enroula autour de Maokai. Son corps frissonna et se tordit en une masse de racines noueuses et de branches emmêlées alors que la brume lui retirait la vie. Mais le bois au cœur de Maokai était saturé des eaux précieuses de la vie, le sauvant du terrible destin de la ruine.\n\nDe nos jours, Maokai se bat avec une vengeance furieuse contre les Déchus. Certains jours, Maokai subjugue la brume et ses esprits immortels, brisant leur emprise sur les arbres et les petits bosquets. Bien qu'une nouvelle vie n'ait pas fleuri dans un sol aussi maudit depuis un certain temps, Maokai s'efforce de se tailler des refuges, aussi temporaires soient-ils, exempts de regret et de délabrement.\n\nIl fut tenté une fois d'essayer d'échapper au cauchemar des îles. Mais il savait qu'il ne pouvait pas partir, car tant que Maokai continue de se battre, l'espoir demeure. Car imprégnées de son bois de cœur se trouvent les eaux non corrompues de la vie, la dernière chance restante de restaurer les îles. Si la terre revient à son état joyeux, Maokai, lui aussi, se débarrassera de sa forme tordue. L'esprit de la nature a donné vie à ces îles il y a longtemps, et il refuse de se reposer jusqu'à ce que les îles fleurissent à nouveau.";"When the ruination struck, Maokai plunged his roots deep into the ground and drank of the Waters of Life. Before the cursed water reached him, Maokai withdrew his roots. He howled in rage as the sacred reservoir he had entrusted to men was fully corrupted – the spiraling coils churning underwater until nothing pure remained.\n\nMoments later, Maokai watched in helpless agony as all he knew twisted into wretched shades. His fury grew; the great beauty he had cultivated from tiny saplings fell to ruin in an instant at the careless hand of man.\n\nThe Black Mist coiled around Maokai. His body shuddered and contorted into a mass of gnarled roots and tangled branches as the mist leached life from him. But Maokai's heartwood was saturated with the precious waters of life, saving him from the terrible fate of undeath.\n\nMaokai realized the force of his blows could shatter the cursed spirit to dust. He flew at the breathless shapes in a frenzy, but hundreds more overwhelmed him, and eventually he was forced to retreat.\n\nNow Maokai fights with furious vengeance against the Fallen. Some days, Maokai subdues the mist and its deathless spirits, breaking their hold on a grove of trees or a small thicket. Though new life has not bloomed in such cursed soil for an age, Maokai strives to carve havens, however temporary, free from regret and decay.\n\nHe was once tempted to try and escape the nightmare of the isles. But he knew he couldn't leave the Isles, for as long as Maokai continues to fight, hope remains. For steeped within his heartwood are the uncorrupted waters of life, the last remaining chance of restoring the isles. If the land returns to its joyous state, Maokai, too, will shed his twisted form. The nature spirit brought life to these isles long ago, and he refuses to rest until the isles bloom once more.";ShadowIsles, Maokai
ShadowIsles;"Depuis qu'il était un petit enfant, a toujours pu communier avec les esprits et les fantômes. Cette capacité lui donnerait une meilleure compréhension et un meilleur respect de la vie après la mort.\n\nLes récits des visions de Yorick se sont rapidement répandus au-delà de son village et ont attiré l'attention d'un petit ordre de moines qui habitaient au cœur des îles bénies. Ses envoyés se sont rendus sur l'île de Yorick, croyant qu'il pourrait devenir un atout pour leur foi.\n\nLorsque la ruine a traversé les îles bénies, Yorick a vu son ordre être entièrement avalé par la magie destructrice de la brume noire qui dévorait la terre. Ses frères - les moines avec lesquels il avait grandi - ont été contraints, comme sous le contrôle d'un être inconnu, d'enlever les fioles sacrées autour de leur cou et de se laisser à la merci de la Brume, qui les a tués et consumés là où ils se trouvaient. Et bien que la voix de la brume l'ait appelé et lui ait ordonné de faire de même, il a refusé - déversant jusqu'au dernier morceau de sa retenue pour se maintenir en vie alors que la mort dansait autour de lui.\n\nLa Brume s'accrocha à lui, et quand il se réveilla après que le Cataclysme ait résidé, Yorick découvrit les Îles Bénies comme un désert de décadence, de désespoir et de pourriture. Il cherchait des survivants alors que la Brume le retenait, bien que l'eau bénite dans la fiole autour de son cou l'empêchait de le dévorer. Réalisant qu'il était le seul survivant de la destruction, Yorick sentit l'horreur s'emparer de lui. Il a essayé de communiquer avec les esprits autour de lui, sortant des corps des morts, et a découvert qu'il avait le contrôle sur eux. Bien que n'étant rien d'autre que les enveloppes creuses d'êtres qu'il appelait autrefois sa famille et ses amis, Yorick a pris sa résolution : vaincre la Brume Noire ; il l'utiliserait à sa guise et détruirait la malédiction avec son propre pouvoir.";"Since he was a small child, Yorick was always able to commune with spirits and ghosts. This ability would give him a better understanding and respect for life after death.\n\nTales of Yorick's visions soon spread beyond his village, and drew the attention of a small order of monks who dwelled at the heart of the Blessed Isles. Its envoys traveled to Yorick's island, believing he could become an asset to their faith.\n\nWhen the Ruination ran across the Blessed Isles, Yorick watched as his order was swallowed whole by the destructive magic of the Black Mist that was consuming the land. His brothers - the monks he had grown up with - were compelled, as if under control of an unknown being, to remove the holy vials around their necks and leave themselves to the mercy of the Mist, which killed and consumed them where they stood. And though the voice of the mist voice of the mist called to him and commanded he do the same, he refused - pouring every last bit of his self-restraint in keeping himself alive as death danced around him.\n\nThe Mist clung to him, and when he awoke after the Cataclysm had resided, Yorick discovered the Blessed Isles as a wasteland of decay, despair and rot. He searched for survivals as the Mist held on to him, though the holy water in the vial around his neck kept it from devouring him. Realizing he was the only survivor of the destruction, Yorick felt horror draw upon him. He tried to communicate with the spirits around him, rising from the bodies of the dead, and discovered he had control control over them. Though nothing but the hollow husks of beings he once called family and friends, Yorick made his resolve - to defeat the Black Mist; he would use it to his own whim, and destroy the curse with its own power.";ShadowIsles, Yorick
ShadowIsles;Avec la libération de Senna, Viego a été réveillé par Thresh et Gangplank. Les deux ont comploté pour utiliser le pouvoir du roi déchu pour subjuguer Bilgewater, mais des intrus ont interrompu leur plan. Viego a submergé Gangplank et a possédé le pirate, le lâchant contre Ahri, Braum, Illaoi, Miss Fortune, Pyke et Yasuo, alors qu'il se dirigeait vers Bilgewater pour rechercher sa reine. Les champions de Bilgewater ont utilisé les propres souvenirs de Viego contre lui et l'ont enfermé dans un artefact de Buhru, caché par Illaoi. Viego finira par se libérer de sa prison et reprendra ses recherches. Un fragment de l'âme d'Isolde était piégé dans Senna et il est déterminé à la retrouver coûte que coûte. Il a commencé une série de nuits de l’effroi à sa recherche. Viego a finalement rencontré Lucian et Senna sur une île isolée et a déclenché des nuites de l’effroi à Demacia, Ionia et Noxus. Viego a partiellement retiré le fragment de l'âme d'Isolde dans Senna et a tenté de la tuer avant qu'ils ne s'échappent.;With the liberation of Senna, Viego was awakened by Thresh and Gangplank. The two plotted to use the Ruined King's power to subjugate Bilgewater, but interlopers interrupted their plan. Viego overwhelmed Gangplank and possessed the pirate, unleashing him against Ahri, Braum, Illaoi, Miss Fortune, Pyke and Yasuo, while he headed to Bilgewater to search for his queen. The champions of Bilgewater used Viego's own memories against him and sealed him within a Buhru artifact, hidden by Illaoi. Viego would eventually break free from his prison and resume his search. A fragment of Isolde's soul was trapped within Senna and he was determined to reunite with her no matter the cost. He began a series of Harrowings in search of her. Viego eventually encountered Lucian and Senna on a remote island and unleashed Harrowings in Demacia, Ionia and Noxus. Viego partially removed the fragment of Isolde's soul within Senna and attempted to kill her before they escaped.;ShadowIsles, Senna, Viego, Thresh, Gangplank, Ahri, Braum, Illaoi, MissFortune, Pyke, Yasuo, Lucian, Harrowing
ShadowIsles;La brume noire est un linceul épais qui recouvre les îles et le bord de mer environnant. Avant la ruine, la brume blanche n'était qu'un enchantement magique naturel protégeant les îles de quiconque tentait d'y pénétrer. Seuls ses habitants et certains étrangers savaient naviguer dans la brume. Grâce à la brume magique déconcertante qui enveloppait les îles, il n'y avait guère besoin d'une armée permanente.\n\nAprès la ruine, la brume noire est devenue une prison d'âmes, piégeant tout être vivant qu'elle touche au moment de la mort, seules les âmes les plus fortes qui conservent leur personnalité et leurs désirs peuvent échapper à son emprise. Mais les manifestations de ces âmes qui échappent à la Brume peuvent être tuées avec les bons outils ou par d'autres esprits. Ils sont condamnés à retourner dans la brume, y restant parfois des siècles, d'autres fois quelques jours seulement. Les esprits manifestés peuvent utiliser la Brume noire pour voyager partout où elle touche, même si des esprits plus forts peuvent s'aventurer au-delà des îles sans nuit de l’effroi.\n\nLorsqu'une nuit de l’effroi se produit, des esprits plus faibles peuvent se manifester et la Brûme Noire voyage au-delà des îles permettant à des légions d'âmes, la plupart formant la Brûme elle-même, de chasser les vivants. Les nuits de l’effroi peuvent se produire n'importe où, mais ils se produisent le plus souvent sur Bilgewater. Les nuits de l’effroi ont tendance à ne durer qu'une nuit car les âmes des damnés sont également vulnérables au soleil et à la lumière pure. L'un des rares moyens connus pour vraiment libérer une âme de l'emprise de la brûme est le pouvoir de Nagakabouros.;The Black Mist is a thick shroud that covers the Isles and the surrounding seaside. Before the Ruination the White Mist was merely a natural magical enchantment protecting the Isles of anyone trying to trespass on them. Only its denizens and certain outsiders knew how to navigate through the mist. Thanks to the confounding magical mist that shrouded the Isles, there was little need for any standing army.\n\nAfter the Ruination, the Black Mist became a prison of souls, trapping any living being it touches in the moment of death, only the strongest of souls who retain their personality and desires can escape its grasp. But the manifestations of those souls who escape the Mist can be killed with the right tools or by other spirits. They are doomed to return to the mist, sometimes staying there for centuries, other times just some days. Manifested spirits can use the Black Mist to travel anywhere it touches, even though stronger spirits may venture beyond the isles without a Harrowing.\n\nWhen a Harrowing happens, weaker spirits are able to manifest and the Black Mist travels beyond the Isles allowing legions of souls, most forming the Mist itself, to hunt the living. Harrowings can happen anywhere, but they happen most often on Bilgewater. Harrowings tends to last only one night as the souls of the damned are also vulnerable to sunlight and pure light. One of the few known ways to truly free a soul from the grasp of the Black is through the power of Nagakabouros.;ShadowIsles, Harrowing
