Name;Text;OriginalText;Tags
Shurima;L'empire de Shurima était autrefois une civilisation florissante qui s'étendait sur un continent tout entier. Forgé en un temps révolu par les puissants dieux-guerriers de l'Ost des Transfigurés, il scella l'union de tous les peuples disparates du sud et imposa entre eux une paix durable.\n\nRares étaient ceux qui osaient se rebeller. Ceux qui le faisaient, parmi lesquels la nation maudite d'Icathia, étaient broyés sans aucune pitié.\n\nPourtant, après plusieurs millénaires de croissance et de prospérité, la capitale fut transformée en un champ de ruines par l'échec de l'Ascension du dernier empereur de Shurima. Avec le temps, le récit de cette gloire passée devint un simple mythe. De nos jours, la plupart des habitants nomades du désert de Shurima luttent pour leur survie dans un territoire inhospitalier. Certains défendent de petits postes avancés construits autour de quelques oasis, tandis que d'autres s'enfoncent dans ces catacombes oubliées à la recherche des richesses qui y sont sûrement enterrées. D'autres encore acceptent du travail de mercenaire, empochant leur récompense avant de disparaître à nouveau dans les sables sans foi ni loi.\n\nQuelques-uns, pourtant, osent encore rêver d'une réémergence du passé. De fait, les tribus sont depuis peu agitées par un murmure qui provient du cœur du désert : leur empereur Azir serait de retour pour les mener vers un nouvel âge d'or.;;Shurima
Shurima;Au cours des millénaires qui ont suivi la chute de Shurima, les récits de sa glorieuse capitale et de son disque solaire étincelant sont devenus un peu plus que des mythes et de vieilles religions parmi les descendants des survivants de l'empire. La plupart des habitants de Shurima vivent désormais dans de petits avant-postes tribaux regroupés près de l'eau ou construits sur les os d'anciennes villes, vénérant les gloires du passé. Certains chassent les richesses enfouies parmi les ruines de l'empire déchu ou gagnent leur vie en tant que vendeurs d'épées, des guerriers à louer qui se battent pour de riches payeurs avant de disparaître dans les sables. D'autres essaient d'oublier le passé, regardant vers l'avenir et les nations de l'autre côté de l'océan en tant que partenaires commerciaux.\n\nPourtant, les anciens mythes de Shurima perdurent. Les vents murmurants du cœur du désert parlent de villes puissantes s'élevant de la terre, d'un guerrier d'or (Azir) marchant à la tête d'une armée de sable. Des rumeurs se répandent sur la renaissance d'anciens héros, sur une guerre entre dieux qui ébranlera les fondements mêmes du monde.;In the millennia since Shurima's fall, tales of its glorious capital and gleaming sun disc became little more than myths and debased religions among the descendants of the empire's few survivors. Most of Shurima's inhabitants now dwell in small tribal outposts clustered near water or built upon the bones of ancient cities, venerating the glories of the past. Some hunt buried riches among the ruins of the fallen empire or earn a living as sellswords, warriors for hire who fight for rich paymasters before disappearing into the sands. Others try to forget the past, looking to the future and nations across the ocean as partners in trade.\n\nYet the ancient myths of Shurima do not rest easy and are stirring once more. Whispering winds from the heart of the desert speak of mighty cities rising from the earth, of a golden warrior (Azir) marching at the head of an army of sand. Rumors spread of ancient heroes reborn, of a war between gods that will shake the very foundations of the world.;Shurima, Azir
Shurima;Après avoir obtenu la connaissance des Targoniens, les anciens Shurimans construisent un disque solaire à Nerimazeth. Le prototype échoue pour des raisons inconnues, mais, maintenant avec l'aide des mages d'Ixtal, un nouveau disque solaire est construit sur ce qui allait devenir la capitale de l’empire de Shurima. Après sa construction, Setaka devient l'un des premiers Transfigurés et avec le Chalicar, une arme forgée par les forces cosmiques et apportée du royaume céleste, elle conduira les transfigurés à des siècles de conquête à travers le continent, Ixtal étant l'une des premières nations indépendantes à rejoindre l'empire de Shurima.;After being granted knowledge by the Targonians, ancient Shurimans build a Sun Disc in Nerimazeth, the prototype fail for unknown reasons, but, now with the help of Ixtal mages, a new Sun Disc is built on what would turn into the capital of the Shuriman empire. After it's construction Setaka becomes one of the first Ascended and with the Chalicar, a weapon forged by cosmic forces and brought from the celestial realm, she would lead the Ascended host to centuries of conquest across the continent, with Ixtal being one of the first independent nations to join the Shuriman empire.;Shurima
Shurima;"Ta'anari a proposé que le prochain porteur du Chalicar soit Sivunas Alahair, le Porteur de Pluies, l'un des descendants restants d'Azir. Xuuyan n'était pas d'accord et a tenté de prendre le Chalicar par la force; Ta'anari a été forcé de le tuer. Les autres Transfigurés et Darkin présents étaient également en désaccord avec son plan, donc avec l'aide de Myisha (ancien hôte de l'aspect du crépuscule, maintenant Zoe), il utilisa le Chalicar pour canaliser ses propres pouvoirs et ceux de Myisha pour libérer un énorme éclat de clair de lune.\n\nShabaka et Shabake furent vaporisés instantanément, et Syphax, Zigantus et Enakai ont suivi quelques instants plus tard. La propre Ascension de Ta'anari a été annulée et il fut à nouveau humain, bien qu'aveuglé par le processus. Myisha lui coupa ensuite le cœur, le tuant. Naganeka, Valeeva et Cebotaru ont réussi à s'échapper en restant Transfigurés.\n\nLes trois anciennes reines guerrières de Ta'anari - Teushpa, Sulpae et Idri-Mi - furent désormais chargées de faire sceller les Darkin par leurs forgerons d'armes, sous la tutelle de Myisha.";"Ta'anari proposed that the next wielder of the Chalicar would be Sivunas Alahair, the Bringer of Rains, one of Azir's remaining descendants. Xuuyan disagreed and tried to take the Chalicar by force; Ta'anari was forced to kill him. The other Ascended and darkin present also disagreed with his plan, so with the aid of Myisha (previous host of the aspect of twilight, now Zoe), he used the Chalicar to funnel his own and Myisha's powers to release a huge burst of moonlight.\n\nShabaka and Shabake were vaporized instantly, and Syphax, Zigantus and Enakai followed a few moments later. Ta'anari's own Ascension was reverted and he was human once again, though blinded by the process. Myisha later cut his heart out, killing him. Naganeka, Valeeva and Cebotaru managed to escape still as Ascended.\n\nTa'anari's three warrior former-queens - Teushpa, Sulpae and Idri-Mi - were now responsible for having their weaponsmiths seal away the Darkin, under Myisha's tutelage.";Shurima, Darkin, Zoe
Shurima;De retour à Shurima après avoir entendu parler de la restauration de l'empire, Taliyah quitta la ville côtière de Bel'Zhun autour des frontières du Sai, se dirigeant vers Kenethet puis Vekaura lors de son voyage vers la capitale. Sur le chemin, elle trouva Sivir mortellement blessée et l'emmena en lieu sûr à l'intérieur des frontières de la ville. Nasus, qui cherchait les vestiges de la lignée de l'Empereur depuis le retour d'Azir, a également trouvé son chemin vers Vekaura, mais avant qu'il ne puisse rencontrer sa cible, Xerath attaqua la ville avec une force de guerriers contrôlés par l'esprit issus de plusieurs tribus, et sa puissance incroyable.;Having returned to Shurima after hearing word of the empire's restoration, Taliyah made her way from the coastal city of Bel'Zhun around the borders of the Sai, heading to Kenethet and then Vekaura on her journey to the capital. On the way she found a fatally wounded Sivir, and brought her to safety within the city's borders. Nasus, who had been searching for the remnants of the Emperor's lineage since Azir's return, also found his way to Vekaura, but before he could meet his intended target Xerath assaulted the city with a force of mind controlled warriors from scattered tribes, and his own incredible power.;Shurima, Taliyah, Sivir, Nasus, Xerath
Shurima;Shurima est un territoire aride qui couvre la majeure partie du continent sud. De nombreux hommes sont devenus fous sous l'éclat du soleil de Shurima, la source du pouvoir des Transfigurés. C'est également l'emplacement de l'empire de Shurima nouvellement ressuscité, une vaste civilisation qui a fleuri il y a des millénaires et qui est en train de renaître. Quelques-unes des villes de la côte nord sont en territoire noxien.;Shurima is an arid territory that covers most of the southern continent. Many men have gone mad beneath the glare of the Shuriman sun, the source of the power of the Ascended.. It is also the location of the newly resurrected Shuriman Empire, a vast civilization that bloomed millennia ago and is now rising again. A few of the cities on its northern coast are Noxian territory.;Shurima
Shurima;"Façonné sous la direction des Targoniens, le grand disque solaire a apporté la faveur des pouvoirs divins et célestes à Shurima. Une fois terminé, on dit que les eaux de la vie ont coulé à travers les canyons entourant la ville, apportant la vie au désert. Pendant des années, les adorateurs du soleil de Shurima ont dû la prospérité de leur société à l'incroyable puissance du soleil. Grâce au disque prodigieux qui planait au-dessus de la capitale, les anciens Shurimans pouvaient utiliser la magie céleste brute pour rendre leur terre plus abondante. Le Disque Solaire était le centre de toute la culture shurimane ; il a imprégné tous les aspects, de la religion aux icônes en passant par les vêtements, etc.";"Fashioned under the guidance of the Targonians, the great Sun Disc brought the favor of divine, celestial powers to Shurima. Once it was complete, it is said the waters of life flowed through the canyons surrounding the city, bringing life to the desert. For eons, the sun worshippers of Shurima owed their society's prosperity to the incredible power of the sun. Thanks to the prodigious disk that hovered above the capital city, ancient Shurimans could wield raw celestial magic to make their land more bountiful. The Sun Disc was the center of all Shuriman culture; it permeated every aspect, from religion to icons to dress and so on.";Shurima
Shurima;Le disque solaire est tombé en ruines après l'échec de l'Ascension d'Azir, mais s'est ré-élevé depuis que l'empereur a été ressuscité par le sang de Sivir. À son apogée, c'était le centre de la société shurimane. En raison de son immense importance en tant que centre commercial et culturel de l'empire, de nombreux centres culturels et éducatifs et marchés apportant des marchandises de tout l'empire ont vu le jour. Il abritait également des lieux de sépulture spéciaux pour les citoyens les plus influents, comme le tombeau des empereurs.\n\nLa ville est composée de différents quartiers et étages de ville. Les citoyens les plus riches de la ville vivaient dans les anneaux supérieurs de la ville, tandis que les classes moyennes et inférieures (avec des esclaves) vivaient principalement dans des colonies construites sur les flancs des falaises rocheuses des anneaux extérieurs et inférieurs.\n\nLe palais des dix mille piliers, le palais des érudits, le temple du soleil et l'oasis de l'aube sont situés au centre de la ville. La route la plus importante de la ville était la Voie de l'Empereur. La ville a été construite autour de l'ancien Disque Solaire qui flotte au-dessus du Cercle de l'Ascension et de la ville elle-même. La ville possédait également le système d'irrigation le plus avancé de son temps, apparemment inégalé jusqu'à récemment. Des jardins flottants décorés de palmiers et autres flores protégeaient ses nombreuses terrasses du soleil brûlant.;The sun disc fell to ruins after Azir's failed Ascension, but has risen again since the emperor was revived by Sivir's blood. In its prime, it was the center of Shuriman society. Because of its immense importance as the center of trade and culture of the empire, many cultural, educational centers and markets bringing goods from all over the Empire sprung up. It also housed special burial grounds for the most influential of its citizens, such as The Tomb of the Emperors. The city is divided by ringed districts and city levels. The city's wealthiest citizens lived in the top rings of the city, while middle and lower classes (with slaves) lived mostly in settlements built on the rocky cliff sides of the outer and lower rings. The Palace of Ten Thousand Pillars, Scholar's Palace, Temple of the Sun and Oasis of the Dawn are located at the center of the city. The most important road in the city was the Emperor's Way. The city was built around the ancient Sun Disc that floats above The Circle of Ascension and the city itself. The city also had the most advanced irrigation system of its time, seemingly unsurpassed until recently. Floating gardens decorated with palms and other flora protected its many terraces from the burning sun.;Shurima
Shurima;**Lieux notoires autour du disque solaire** :\n\n     - **Cercle de l'Ascension** : Situé en plein centre de la ville, au-dessus du Grand Temple, de l'Oasis de l'Aube et de la Place Impériale, le Cercle de l'Ascension est le principal point focal à partir duquel les privilégiés et les accomplis exploitent les pouvoirs du Disque Solaire et sont devenus des êtres Transfigurés. C'était aussi l'épicentre de la destruction de l'ancienne Shurima et de sa sortie moderne de la tombe. Le cercle est accessible via les Escaliers de l'Ascension et le Chemin de l'Empereur.\n\n     - **Oasis de l'Aube** : Décrite comme la Mère de la Vie, l'oasis est située près du Tombeau des Empereurs et était la principale source d'eau douce de la ville. L'eau est infusée de propriétés magiques inconnues et possède d'immenses pouvoirs de guérison. On dit que toute lame plongée dans cette eau restera plus tranchant et frappera plus juste que n'importe quelle autre épée. Tout s'était presque tari jusqu'à ce qu'Azir, nouvellement ressuscité, amène Sivir mourante dans le peu qu’il restait. Les pouvoirs des eaux guérirent ses blessures mortelles. Cet acte d'altruisme d'Azir l'a rendu digne de l'Ascension, qui a finalement ravivé sa ville brisée.\n\n     - **Tombeau des Empereurs** : Au plus profond de la capitale se trouve le tombeau des empereurs. Au cours du dernier millénaire, il a servi de prison de fortune à Xerath et Renekton. Il est gardé par la statue d'un énorme serpent. Lorsque le tombeau s'est ouvert, le serpent a pris vie, empalant Cassiopée sur ses crocs, son venin la transformant en une terrifiante créature à moitié serpent.;**Notorious locations around the sun disc** : \n\n    - **Circle of Ascension**: Located at the very center of the city, above the Grand Temple, Oasis of the Dawn and the Imperial Place, The Circle of Ascension is the main focal point from which the privileged and accomplished harnessed the powers of the Sun Disc and became Ascended beings. It was also the epicenter of Ancient Shurima's destruction and its modern rise from the grave. The circle is accessible via the Stairs of Ascension and the Emperor's Way.\n\n    - **Oasis of the Dawn**: Described as the Mother of Life, the oasis is located near The Tomb of the Emperors and was the city's main source of fresh water. The water is infused with unknown magical properties and has immense healing powers. It is said that any edge dipped into this pool will stay sharper and strike truer than any other sword. It had almost all dried up until the newly resurrected Azir brought a dying Sivir to what little remained. The waters' powers healed her fatal wounds. This act of selflessness from Azir made him worthy of Ascension, which ultimately revived his broken city.\n\n    - **Tomb of the Emperors**: Deep in the capital city lies the Tomb of the Emperors. For the last millennium it has acted as the makeshift prison of Xerath and Renekton. It is guarded by the statue of a huge serpent. When the tomb opened the serpent came to life, impaling Cassiopeia on its fangs, its venom transforming her into a terrifying half-snake creature.;Shurima, Azir, Sivir, Xerath, Renekton, Cassiopeia
Shurima;"Le Grand Sai est un vaste désert qui s'étend sur la majeure partie de l'est, du sud et de l'ouest de Shurima. Les dunes sont aujourd’hui jonchées de ruines provenant de l’empire déchu.\n\nS'étendant sur des centaines de kilomètres, la plaine sans fin est un désert désolé qui a fait d'innombrables morts au cours des siècles. Peu de ceux qui tentent de le traverser sont revus - si la chaleur incessante et brûlante et le manque d'eau ne les tuent pas, les prédateurs et les pillards sauvages qui émergent sous le couvert de l'obscurité le feront probablement.\n\nUne créature mystérieuse (Rammus) peut être trouvée errant dans le désert. Skarner défend l'entrée d'un royaume profondément enfoui sous les terres désolées de Shurima, sans que personne ne sache ce qu'il protège. Les tombes enterrées détiennent également d'anciens secrets; Amumu est sorti d'une telle tombe, et dans une autre, Ezreal a réclamé un artefact de Transfiguré d'un pouvoir mystique incroyable.";"The Great Sai, or Shuriman Wastes is a large desert spanning most of east, south, and west Shurima. The fallen empire has littered the dunes with ruins.\n\nStretching out for hundreds of miles, the Endless Plain is a desolate wasteland that has claimed countless lives over the centuries. Few who attempt to cross it are ever seen again—if the relentless, burning heat and lack of water doesn't kill them, the predators and savage raiders that emerge under the cover of darkness likely will.\n\nA mysterious creature (Rammus) can be found wandering the desert. Skarner defends the entrance to a realm deep beneath the Shuriman wastes; what he protects, no one knows. Buried tombs also hold ancient secrets; Amumu rose from such a tomb, and in another, Ezreal claimed an Ascended artifact of incredible mystical power.";Shurima, Rammus, Skarner, Amumu, Ezreal
