Name;Text;OriginalText;Tags
Targon;"Du haut de son imposante aiguille de pierres stériles, le Mont Targon est le point culminant de la plus haute chaîne de montagnes de Runeterra. S'élevant aux confins de toute civilisation, il n'est accessible qu'aux explorateurs les plus déterminés. De nombreuses légendes entourent le Mont Targon, et comme tous les lieux mythologiques, il enflamme l'imagination des rêveurs, des fous, de tous ceux qui sont assoiffés d'aventure. Certaines de ces âmes courageuses tentent même de gravir l'insurmontable montagne, à la recherche peut-être de l'illumination ou de la gloire, ou répondant simplement au désir ardent d'en contempler le sommet. L'ascension vers le sommet est pratiquement impossible, et les rares élus qui parviennent à l'atteindre en vie ne parlent presque jamais de ce qu'ils y ont vu. Certains en reviennent avec une expression hantée et vide dans le regard ; d'autres deviennent totalement méconnaissables, imprégnés de la Manifestation d'un pouvoir surhumain venu d'un autre monde, chargés d'un destin que peu de mortels pourraient comprendre.";;Targon
Targon;"Comme tout lieu mythique, le mont Targon est un phare pour les rêveurs, les fous et les aventuriers. Région montagneuse et peu peuplée à l'ouest de Shurima, Targon possède le plus haut sommet de Runeterra. Situé loin de la civilisation, le mont Targon est pratiquement impossible à atteindre, sauf par les pèlerins les plus déterminés, chassant un désir profond d'atteindre son sommet. Les quelques hardis qui survivent au difficile voyage au pied de la montagne titanesque trouvent un ciel scintillant de corps célestes; le soleil et la lune, mais aussi des constellations, des planètes, des comètes enflammées qui zèbrent les ténèbres et des arrangements propices d'étoiles. Ils reviennent hantés et vides, ou changés au-delà de toute reconnaissance. Les habitants de la base de la montagne pensent qu'il s'agit d'aspects d'êtres stellaires disparus depuis longtemps, de créatures puissantes et anciennes à une échelle dépassant l'entendement humain. Cependant, le mont Targon n'est qu'un moyen d'accéder au royaume céleste, et il serait faux d'attribuer une grande partie de la sensibilité, de la morale ou des préoccupations des mortels à ce qui se trouve au-delà de la montagne.";"Like any place of myth, Mount Targon is a beacon to dreamers, madmen and questors of adventure. A mountainous and sparsely inhabited region to the west of Shurima, Targon boasts the tallest peak in Runeterra. Located far from civilization, Mount Targon is all but impossible to reach, save by the most determined pilgrims, chasing some soul-deep yearning to reach its summit. Those hardy few who survive the arduous journey to the foot of the titanic mountain find a sky shimmering with celestial bodies; the sun and moons, but also constellations, planets, fiery comets that streak the darkness, and auspicious arrangements of stars. They return haunted and empty, or changed beyond all recognition. The people living at the mountain's base believe these to be aspects of long-vanished stellar beings, creatures powerful and ancient on a scale beyond human comprehension. However, Mount Targon is simply a way into the celestial realm, and it would be wrong to attribute much in the way of mortal sensibilities, morals or concerns to what lies beyond the mountain.";Targon
Targon;L'être connu sous le nom d'Aurelion Sol est né dans le premier souffle de la création, parcourant le royaume céleste, cherchant à remplir cette toile d'une ampleur incalculable de merveilles qui raviraient tous ceux qui en seraient témoins.\n\nBien plus tard, autour d'une des premières étoiles qu'il avait créées, il découvrit un monde qu'il n'avait pas créé en orbite autour d'elle. Les Aspects, qui semblaient investis de manière inhabituelle, l'implorèrent de se rapprocher. Il y avait de la vie ici, de la magie et des civilisations naissantes qui souhaitaient être guidées. Flatté, Aurelion Sol descendit sous la forme d'un dragon des étoiles. Les Targoniens l'ont nommé pour le soleil qu'il leur avait offert, et les Aspects leur ont ordonné d'offrir quelque chose en retour. Les mortels ont grimpé au sommet de leur plus haute montagne et lui ont présenté une couronne splendide, conçue avec une magie soigneuse et rusée, et gravée des motifs impénétrables du royaume céleste.\n\nEn réalité, ce n'était pas du tout un cadeau. La couronne était trop serrée pour être retirée, et sa connaissance du soleil a commencé à s'écouler à travers elle, pour être examinée par des mortels. Pire encore, il a été renvoyé dans les cieux et empêché de se rapprocher de ce monde. Les aspects de Targon ont incité les mortels à construire un grand disque solaire. Avec cela, ils ont canalisé son pouvoir céleste pour élever des dieux-guerriers immortels, en prévision d’un futur conflit.;The being known as Aurelion Sol was born in the first breath of creation, roaming the celestial realm, seeking to fill this canvas of incalculable breadth with marvels which would delight all who witnessed them.\n\nMuch later, around one of the first stars he had created, he discovered a world not made by him orbiting it. The Aspects, who seemed unusually invested in it, implored him to come closer. There was life here, and magic, and fledgling civilizations that cried out for guidance. Flattered, Aurelion Sol descended in the form of a dragon from the stars. The Targonians named him for the sun he had gifted them, and the Aspects commanded them to offer something in return. The mortals climbed to the peak of their tallest mountain, and presented him with a splendorous crown, crafted with careful and cunning magic, and etched with the inscrutable patterns of the celestial realm.\n\nBut it was no gift at all. The crown clamped in place too tightly to remove, and his knowledge of the sun began to drain through it, to be examined by mortals. Worse still, he was hurled back into the heavens, and prevented from getting any closer to that world. The Aspects of Targon set the mortals to construct a great Sun Disc. With this, they channeled his celestial power to raise up immortal god-warriors, for some future conflict.;Targon, AurelionSol, Aspect
Targon;Depuis sa création, Shurima a eu des liens politiques et sociaux profonds avec le Mont Targon et les entités céleste elles-mêmes. La connaissance de la façon de créer le premier Transfiguré, les plans sur la façon de créer le Disque Solaire et les moyens d'inverser l'ascension, ont été donnés par les Targoniens. À un moment donné, Targon est devenu un État-nation du grand empire. Les Aspects targoniens ont rejoint l'empire dans la guerre contre le Néant après la chute d'Icathia. Quelque temps après la destruction de l'empire, la nation s'est effondrée et Targon s'est de nouveau retiré.;Since its inception, Shurima has had deep political and social ties with both Mount Targon and celestial Targon itself. The knowledge of how to create the first Ascended, the blueprints on how to create the Sun Disc, and the means to revert ascension, was given by Targonians. At one point, Targon became a nation-state of the greater empire. The Targonian Aspects may have joined the empire in the war against the Void after the fall of Icathia. Some time after the empire was destroyed, the nation collapsed, and Targon once more withdrew.;Targon, Shurima
Targon;Myisha, hôte de l'aspect du crépuscule avant Zoé, conduit la panthère Transfiguré Ta'anari à Nasus, qui révèle l'emplacement du Chalicar de Setaka, avec lequel Ta'anari espère arrêter la guerre civile entre Transfigurés. Ta'anari appelle à un rassemblement des Transfigurés. Enakai (tigre), Syphax (caméléon), Zigantus (taureau), Xuuyan (tortue), Shabaka et Shabak (jumeaux corbeaux), Valeeva (inconnu), Cebotaru (loup) et Naganeka (serpent) viennent à ce rassemblement.\n\nTa'anari propose que le prochain porteur du Chalicar soit reconnu comme Sivunas Alahair, l'un des descendants restants d'Azir. Xuuyan n'est pas d'accord et tente de prendre le Chalicar par la force. Ta'anari est forcé de le tuer. L'autre Darkin n'est pas d'accord avec l'union. Ta'anari, avec l'aide de Myisha, utilise le Chalicar pour se soigner et libère une forme puissante de magie céleste qui enlève les formes et le pouvoir du Transfiguré.\n\nShabaka et Shabake sont vaporisés instantanément par la magie, Syphax, Zigantus et Enakai mourant quelques instants plus tard. L'ascension de Ta'anari est également annulée, qui se fait arracher son coeur par Myisha. Naganeka, Valeeva et Cebotaru parviennent à s'échapper vivants. Les trois reines guerrières de Ta'anari - Teushpa, Sulpae et Idri-Mi - sont responsables d'avoir des armes pour sceller le Darkin, sous la tutelle de Myisha.\n\nPlus tard, Myisha donne aux mortels les connaissances nécessaires pour piéger les Darkin restants, tandis que l'Aspect de la guerre nouvellement renaissant unit de nombreuses personnes dans la riposte. Les menaces Darkin sont finalement neutralisées.;Myisha, host of the Aspect of Twilight before Zoe, leads panther Ascended Ta'anari to Nasus, who reveals the location of the Chalicar of Setaka, with which Ta'anari hopes to stop the civil war between Ascended. Ta'anari calls for a gathering of the Ascended. Enakai (Tiger), Syphax (Chameleon), Zigantus (Bull), Xuuyan (Turtle), Shabaka and Shabak (Raven twins), Valeeva (Unknown), Cebotaru (Wolf), and Naganeka (Snake) come to this gathering.\n\nTa'anari proposes that the next wielder of the Chalicar be recognised as Sivunas Alahair, one of Azir's remaining descendants. Xuuyan disagrees and tries to take the Chalicar by force. Ta'anari is forced to slay him by using Riftwalk. The other Darkin disagree with uniting. Ta'anari, with the aid of Myisha, uses the Chalicar to heal himself, and release an empowered form of Moonfalling which takes away the Ascended's forms and power.\n\nShabaka and Shabake arevaporized instantly by the Moonfall, with Syphax, Zigantus and Enakai dying a few moments later. Ta'anari ascension is also reverted. Myisha later removes his heart, killing him. Naganeka, Valeeva and Cebotaru manage to escape alive. Ta'anari's three warrior queens - Teushpa, Sulpae and Idri-Mi - are made responsible for having weapons to seal away the Darkin, with Myisha's tutelage.\n\nLater, Myisha gives the mortals the knowledge to trap the remaining Darkin, while the newly reborn Aspect of War unites many in fighting back. The Darkin threats are eventually neutralised.;Targon, Zoe, Nasus, Azir, Darkin
Targon;Il y a plus d'un millénaire, alors que Zoe des Lunari s'éloigne de ses études pour trouver quelque chose de plus amusant à faire, elle fut remarquée par l'aspect targonien du crépuscule. Il observe alors que la jeune fille se moque des prêtres qui la poursuivent. Une heure plus tard, elle se retrouve coincée par ses professeurs en colère.\n\nL'aspect invoque six objets : un sac de pièces d'or, une épée, un livre d'étude terminé, un tapis de dévotion, une corde de soie et une balle. Cinq de ces objets l'aideraient à résoudre son problème. Zoé choisit la sixième option, bottant le ballon et le faisant rebondir entre les prêtres. Ravi, l'Aspect ouvre un portail vers le sommet du mont Targon. Zoe plonge dedans, fusionnant avec l'Aspect. Suite à cela, Zoe voyage dans des dimensions à la limite du contrôle de Targon, jouant dans des réalités au-delà de la compréhension mortelle.\n\nDe retour chez elle après des millénaires, Zoe a vieilli à peine d'un an. Bien que Runeterra ait peu changé de son point de vue, elle arrive pleine de curiosité adolescente pour les humains et ses autres aspects.;Over a millenia ago, as Zoe of the Lunari skips away from her studies to find something more fun to do, she is noticed by the Targonian Aspect of Twilight. It observes as the young girl mocks the priests chasing her. An hour later, she finds herself cornered by her angry teachers. The Aspect summons six objects: a bag of golden coins, a sword, a completed study book, a devotion rug, a silk rope, and a toy ball. Five of these objects would help her solve her problem. Zoe chooses the sixth option, kicking the ball and making it bounce between the priests. Delighted, the Aspect opens a portal to the apex of Mount Targon. Zoe dives into it, merging with the Aspect. Following this, Zoe travels to dimensions at the edge of Targon's control, playing within realities beyond mortal comprehension.\n\nReturning home after millennia, Zoe has aged barely a year. Though Runeterra has changed little from her perspective, she arrives full of teenage curiosity for humans and her fellow aspects.;Targon, Zoe
Targon;Des conflits éclatent entre les deux organisations religieuses de la région Targon. Les Solari vainquèrent les Lunari et devinrent le groupe dominant tout en condamnant leurs opposants comme hérétiques, en les traquant et en détruisant les preuves de leur existence. Les Lunari s'enfuirent dans la clandestinité.;Conflicts arise between the two religious organisations of the region. The Solari defeat the Lunari and become the dominant group while condemning their opposers as heretics, hunting them down and destroying the evidence of their existence. The Lunari flee into hiding.;Targon, Lunari, Solari
Targon;Diana, une paria parmi les acolytes Solari qui avaient toujours remis en question leur croyance que le Soleil est la seule source de lumière, décide de gravir la montagne. Son amie inquiète Leona suit jusqu'au sommet, où ils sont choisis comme hôtes mortels des Aspects du Soleil (Leona) et de la Lune (Diana). Frustrées par les choix de l'autre sur la façon d'utiliser leur pouvoir, Diana tue presque Leona. Craignant de se perdre au pouvoir de l'Aspect, Diana s'enfuit dans la montagne pour affronter les prêtres Solari. Ils la condamnent comme hérétique, faisant enrager Diana et l'Aspect à l'intérieur, et elle tue de nombreux prêtres et leurs gardiens. Elle s'enfuit alors, espérant trouver son but. Pendant ce temps, Leona jure de retrouver Diana, pour préserver la domination des Solari, mais aussi pour l'aider à garder son Aspect sous contrôle.\n\nQuelques années plus tard, les guerriers Rakkor Atreus et son ami Pylas escaladent le mont Targon après que Leona ait rejeté leurs appels à combattre les envahisseurs barbares. Atreus est le seul à avoir survécu à l'ascension, ne faisant plus qu'un avec l'aspect de la guerre, Panthéon. Cependant, il le juge indigne de remplir ses objectifs et prend le contrôle de son corps, reléguant Atreus au fond de son propre esprit. Finalement, Pantheon a été poussé au combat par le Darkin Aatrox. Contre toute attente, la lame d'Aatrox tue Pantheon d'un coup fracassant, les étoiles dans le ciel s'estompant à mesure qu'il meurt. Atreus se réveille empalé sur la lame d'Aatrox et crache au visage du darkin. Aatrox laisse l'homme mourir. Il est soigné par la veuve de Pylas, Iula, puis se rend compte que c'est Aatrox qui a envoyé les barbares à Targon et que les mortels sont considérés comme de simples pions dans les jeux des puissances supérieures. Atreus jure de s'opposer aux plus grandes puissances qui menacent le monde alors que le Panthéon renaît.;Diana, an outcast among the Solari acolytes who had always questioned their belief that the Sun is the only source of light, decids to ascend the mountain. Her concerned friend Leona follows to the peak, where they are chosen as the mortal hosts of the Aspects of the Sun (Leona) and the Moon (Diana). Frustrated with each other's choices on how to use their power, Diana almost kills Leona. Fearful of losing herself to the Aspect's power, Diana flees down the mountain to confront the Solari priests. They condemn her as a heretic, enraging Diana and the Aspect within, and she kills many priests and their guardians. She then flees, hoping to find her purpose. Meanwhile, Leona swears to find Diana, to preserve the dominance of the Solari, but also to help her keep her Aspect under control.\n\nA few years later, the Rakkor warriors Atreus and his friend Pylas climb Mount Targon after Leona denies their pleas to fight invading barbarians. Atreus is the only one who survives the climb, becoming one with the Aspect of War, Pantheon. However, it judges him unworthy to fulfil its purposes and takes control of his body, relegating Atreus to the back of his own mind. Eventually, Pantheon was goaded into battle by the Darkin Aatrox. Against all expectations, Aatrox's blade kills Pantheon with a shattering blow, stars in the sky fading as it dies. Atreus awakes impaled upon Aatrox's blade, and spits in the darkin's face. Aatrox leaves the man to die. Atreus is nursed back to health by Pylas' widow, Iula. He realises that it was Aatrox who had sent the barbarians into Targon, and that mortals are seen as mere pawns in the games of higher powers. Atreus swears to oppose the greater powers that threaten the world as the Pantheon reborn.;Targon, Solari, Diana, Leona, Pantheon, Aatrox
Targon;"Taric, un exilé demacien, est condamné à gravir le mont Targon, connu de tous comme une condamnation à mort, car peu de mortels avaient survécu à l'ascension. Et tandis que la couronne de pierre était traditionnellement utilisée par les déshonorés pour simplement fuir Demacia et refaire une nouvelle vie en exil, Taric décida de racheter son erreur et se dirigea vers l'imposante flèche du mont Targon. L'ascension faillit le réclamer, corps et âme, à de nombreuses reprises, mais Taric repoussa les épreuves que lui infligea la montagne. Alors qu'il approchait du sommet, Taric a été défié par une myriade apparemment sans fin de réalités contradictoires, chaque existence déformée offrant une nouvelle vision horrifiante, mais il a terminé toutes ses épreuves.\n\n""Le Protecteur"" a été impressionné par la détermination inébranlable de Taric et l'a choisi comme hôte. Le Protecteur parla des vérités que Taric avait connues toute sa vie et du manteau auquel il s'était préparé sans le savoir avec chaque décision qui l'amenait au sommet de la montagne. Alors que les chuchotements du Protecteur s'estompaient, Taric reçut un dernier avertissement : il se présenterait comme le Bouclier de Valoran, car s'écraser contre lui serait une vague de folie hurlante, un océan de grincements de dents déterminé à tout dévorer, une horreur sordide née du Néant. Renaissant avec puissance et détermination, Taric a accepté avec joie le défi apparemment impossible et se consacre maintenant à son devoir - être le gardien inébranlable d'un monde entier.";Taric, a Demacian exile, is sentenced to ascend Mount Targon, known to all as a death sentence, as few mortals had ever survived the climb. And while the Crown of Stone was traditionally used by the dishonored to simply flee Demacia and make a new life in exile, Taric decided to actually atone for his mistake and set out for the towering spire of Mount Targon. The ascent nearly claimed him, body and soul, numerous times, but Taric pushed past the tests inflicted upon him by the mountain. As he approached the summit, Taric was challenged by a seemingly neverending myriad of conflicting realities, each warped existence offering a new, horrifying vision, but he completed all of his trials. 'The Protector' was impressed by Taric's steadfast resolve, and chose him as a host. The Protector spoke of the truths Taric had known his entire life, and of the mantle that he had unknowingly been preparing for with every decision that brought him to the top of the mountain. As the Protector's whispers faded, Taric received a final warning: He would stand as the Shield of Valoran, as crashing against him would be a wave of howling madness, an ocean of gnashing teeth intent on consuming all, a squalid horror born of the Void. Reborn with power and purpose, Taric gladly accepted the seemingly impossible challenge and now dedicates himself to his sworn duty - as the steadfast guardian of an entire world.;Targon, Taric
Targon;Lorsqu'il a été témoin de l'ascension et de la chute des Dieux-Guerriers, Aurelion Sol a lentement accepté son sort. Mais peu de temps après, le monde fut ravagé par une succession de catastrophes de sorcellerie, et Aurelion Sol sut enfin que Targon et les Aspects qu’il détestait tant étaient pratiquement sans défense. Alors qu'il revenait prudemment, il réalisa que la magie qui le liait s'affaiblissait. Des taches d'or ont commencé à tomber de sa couronne, chacune flambant dans le ciel comme une comète.\n\nPoussé par les possibilités alléchantes de la liberté et de la vengeance, Aurelion Sol considère désormais Runeterra avec une fureur éternelle et frémissante. C'est sûrement ici, sur ce monde, que l'équilibre cosmique penchera une fois de plus en sa faveur - et avec lui, l'univers lui-même témoignera du sort de ceux qui osent voler le pouvoir d'un forgeur d'étoiles.;When witnessing the rise and fall of the God-Warriors, Aurelion Sol slowly accepted his fate. But soon after, the world was ravaged by a succession of sorcerous catastrophes, and Aurelion Sol finally knew that Targon and the hated Aspects were all but defenseless. As he cautiously circled back, he realized the magic that bound him was weakening. Flecks of gold began to fall from his crown, each one blazing across the skies like a comet.\n\nDriven by the tantalizing possibilities of freedom and revenge, Aurelion Sol now regards Runeterra with simmering, eternal fury. Surely, it is here, upon this world, that the cosmic balance will tip in his favor once more—and with it, the universe itself shall bear witness to the fate of those who dare steal the power of a star forger.;Targon, AurelionSol
