Name;Text;OriginalText;Tags
Void;Apparu dans un cri assourdissant à la naissance de l'univers, le Néant est une manifestation de la non-existence qui s'étend « au-delà ». Cette force animée d'une faim insatiable attend depuis une éternité que ses maîtres, les mystérieux Veilleurs, sonnent l'heure de la fin des temps.;;Void
Void;Lorsque le Néant touche un mortel, celui-ci reçoit un douloureux aperçu de l'irréalité éternelle, une vision capable de briser l'esprit le plus solide. Les habitants du royaume du Néant sont des créatures disparates à l'intelligence souvent limitée, mais tous partagent le même objectif : détruire Runeterra.;;Void
Void;Les Veilleurs sont originaires du Néant, une vaste toile de vide, dans laquelle le concept de l’existence est un mystère, même pour eux-mêmes. Depuis le moment où les plus courageux d'entre eux sont entrés pour la première fois à Runeterra, les Veilleurs ne possédaient pas de forme matérielle et n'étaient même pas conscients de leur propre conscience. Les Veilleurs ne savaient pas pourquoi eux ou le Néant existaient, seulement que cela les perturbait que quelque chose, ce quelque chose étant notre univers, existait dans la vaste noirceur du néant. Dans leur curieuse et malveillante intention de comprendre l'univers matériel, ils ont remodelé la matière en des extensions conscientes d'eux-mêmes chargées de collecter des informations et des connaissances en leur nom, devenant le prototype du Néantin actuel et moderne.\n\nLes Veilleurs étaient immensément puissants et transformaient les humains de Freljord en immortels Sublimés. Les Sublimés ont reçu de grands cadeaux, de la magie et de l'immortalité en échange de leur loyauté éternelle. Ils ont conquis pour les Veilleurs et leur ont construit une grande civilisation, y compris le pont et la forteresse surplombant l'Abîme Hurlant, qui s'est finalement amassé en un énorme empire, le tout en préparation de la destruction inévitable de toute existence.;The Watchers originated from the Void, a vast canvas of nothingness, in which the concept of its existence is a mystery, even to themselves. From the time the bravest among them first entered Runeterra, the Watchers did not possess material form, nor were they even aware of their own sentience. The Watchers did not know why they or the Void existed, only that it perturbed them that something, that something being our universe, existed in the vast blackness of nothing. In their curious and spiteful intent of understanding the material universe, they reshaped matter within it into conscious extensions of themselves tasked to collect information and knowledge in their behalf, becoming the prototype of the current and modern Voidborn.\n\nThe Watchers were immensely powerful, and transformed humans of the Freljord into the immortal Iceborn. The Iceborn were given great gifts, magic and immortality in return for their eternal loyalty. They conquered for the Watchers and built them a great civilization, including the bridge and fortress looming over the Howling Abyss, which eventually amassed in to an enormous empire, all in preparation for the inevitable destruction of all existence.;Void, Voidborn, Iceborn, Freljord
Void;Avarosa, croyant que leur servitude envers les veilleurs était pire que la mort, a mené la rébellion des sublimés contre les veilleurs. Cela a abouti à une longue bataille sanglante sur le pont connu sous le nom de l’abîme hurlant. D'innombrables sublimés ont été tués, mais ils ont finalement gagné la bataille, avec la sœur d'Avarosa, Lissandra, tissant un sort pour sacrifier des armées de sublimés, y compris peut-être ses sœurs, pour ensevelir les veilleurs dans une prison glaciaire de glace pure sous le pont.;Avarosa, believing that their servitude to the Watchers was worse than death, led the Iceborn rebellion against the Watchers. This culminated in to a long bloody battle across the bridge known as the Howling Abyss. Countless Iceborn were killed, but they eventually won the battle, with Avarosa's sister, Lissandra, weaving a spell to sacrifice armies of Iceborn, possibly including her sisters, to entomb the Watchers in a glacial prison of True Ice underneath the bridge.;Void, Lissandra, TrueIce
Void;Alors que beaucoup pensaient que les veilleurs étaient morts, ils furent simplement emprisonnés dans une stase magique de glace pure sous l'Abîme Hurlant. Cela a coûté la vie à de nombreux sublimés, peut-être Avarosa et Serylda elles-mêmes. Pour dissimuler ses erreurs passées en prêtant allégeance aux Veilleurs, Lissandra a réécrit l'histoire de Freljord, transformant les contes des Veilleurs en mythes et chansons. Elle craint maintenant le jour de leur retour, chaque neuf sceau runique qui retient leur prison s'estompant lentement.;While many believed the Watchers were dead, they are merely imprisoned in a magical stasis of True Ice under the Howling Abyss. This took the lives of many Iceborn, possibly Avarosa and Serylda, themselves. To cover up her past mistakes in pledging allegiance to the Watchers, Lissandra rewrote the history of the Freljord, turning the tales of the Watchers into that of myths and songs. She now fears the day they return, with each nine runic seal that holds their prison slowly fading away.;Void
Void;Dans les ténèbres abyssales, profondément sous terre, on pense que les premières grandes créatures du Vide à avoir parcouru la surface de Runeterra gisent maintenant, endormies et invisibles. Si cela est vrai, alors ils ont attendu patiemment au cours des millénaires, et il doit sûrement être temps pour eux de se relever une fois de plus. Au fil des siècles, de nombreux mortels du monde d'en haut ont répondu à l'appel du Néant ou ont été entraînés contre leur gré. Parmi eux, rares sont ceux qui ont survécu à la rencontre... bien qu'aucun d'entre eux ne soit revenu inchangé.;In the abyssal darkness, deep underground, it is believed that the first great Void creatures to walk the surface of Runeterra now lie, dormant and unseen. If that is true, then they have waited patiently through the millennia, and it must surely now be time for them to rise once more. Over the centuries, many mortals from the world above have answered the Void's call, or been dragged down against their will. There are those among them—few and far between—who have survived the encounter... though not a single one of them returned unchanged.;Void
Void;Seules quelques failles du Néant ont surgi à Freljord, la plupart au moment des premières interactions des veilleurs avec Runeterra. Après leur emprisonnement, seules quelques zones sont restées corrompues par le Néant. Les gardiens du givre veillent sur la prison des Veilleurs.;Only a few Void Rifts have ever sprung up in the Freljord, most at the time of Watchers first interactions with Runeterra. After their imprisonment, only a few areas remained Void corrupted. The Frostguard watch over the Watchers' prison.;Void
Void;L'abîme hurlant sert de gigantesque prison gouffre pour les Veilleurs. Il existe de nombreux ponts enjambant l'abîme, tels que le Pont des Douleurs, le Pont de l'Ombre et le Pont des Perdus. À ses extrémités inférieures se trouvent de la glace pure et ses variantes de glace sombre. L'Abîme hurlant fut le lieu de la dernière bataille qui scella les Veilleurs il y a plusieurs millénaires.\n\n**Le Hall des Neuf** : situé profondément sous l'Abîme hurlant, il a été construit par le Yeti et sert de barrière protectrice qui scelle les Veilleurs. Chaque année, plusieurs guardiens du givre descendent ses parois glacées pour se rendre au Hall des Neuf afin d'inspecter l'état des barrières.;The Howling Abyss serves as the massive chasm prison of the Watchers. There are numerous bridges spanning the abyss, such as the Bridge of Sorrows, Bridge of Shadow, and Bridge of the Lost. At its lower ends True Ice and its variants Dark Ice can be found. The Howling Abyss was the location of the last battle that sealed the Watchers several millennia ago.\n\nThe Hall of the Nine: Located deep below the Howling Abyss, it was constructed by the Yeti and serves as the protective barrier that seals the Watchers. Every year, several Frostguard climb down its icey walls to get to the Hall of the Nine in order to inspect the barriers state.;Void, Freljord
Void;Une grande et terrible bataille fut menée contre le Néant devant les murs de l'antique Icathia. Dans la foulée, les terres tout autour de la ville maudite sont devenues des déserts inhabitables, et son existence même a été rayée des cartes de Shurima. On espérait, peut-être bêtement, que les horreurs qui s'y déchaînaient finiraient par être oubliées...\n\nÀ la périphérie d'Icathia se trouve la Rupture, preuve que le Néant lui-même jaillit des profondeurs du sol, à une époque désormais perdue pour l'histoire. Bien que les audacieux et les curieux aient souvent cherché à en savoir plus, seul l'explorateur le plus téméraire oserait jamais s'aventurer dans les espaces sombres en dessous.;A great and terrible battle was fought against the Void before the walls of ancient Icathia. In the aftermath, the lands all around the damned city became deserted wastes, and its very existence was struck from the maps of Shurima. It was hoped, perhaps foolishly, that the horrors unleashed there would eventually be forgotten...\n\nOn the outskirts of Icathia lies the Rupture—evidence of the Void itself bursting forth from deep beneath the ground, in an age now lost to history. Though the bold and the curious alike have often sought to learn more, only the most foolhardy explorer would ever dare venture into the dark spaces beneath.;Void
Void;Après la chute d'Icathia, les Néantins se sont répandus dans tout Shurima. Malgré le scellement de La Rupture, d'innombrables failles du Néant plus petites se sont ouvertes dans les déserts de Shurima, la plupart près d'Icathia même. À ce jour, la terre est encore jonchée de grottes et de tunnels souterrains corrompus par le Néant. En dessous de ceux-ci, le Prophète (Malzahar) ouvre encore plus de failles du Vide à travers Shurima, l'ouverture de telles failles provoquerait de puissants tremblements de terre ouvrant le socle rocheux de Shurima dans de nouvelles lignes de faille de plusieurs centaines de kilomètres de long. Ils corrompent le sous-sol de Shurima de la même manière que les failles mentionnées ci-dessus. Kai'Sa a survécu aux Néantins dans l'un des emplacements.\n\nRek'Sai est en train de construire une faille du Néant à Sai'Kahleek.\n\nBel'Veth a englouti la ville portuaire de Belveth et une partie de ses mers environnantes pour créer une ville à son image.;After the fall of Icathia, Voidborns spread all across Shurima. Despite the sealing of The Rupture, countless smaller Void Rifts opened across the deserts of Shurima, most near Icathia itself. To this day the land is still littered with underground Void corrupted caves and tunnels. Below those, the Prophet (Malzahar) is opening even more Void rifts across Shurima, the opening of such rifts is said to cause powerful quakes opening up the bedrock of Shurima in new fault lines hundreds of miles long. They corrupt the underground of Shurima in the same way of the rifts mentioned above. Kai'Sa survived the Voidborn in one of the locations.\n\nRek'Sai is building a Void rift in Sai'Kahleek.\n\nBel'Veth has swallowed the port city of Belveth and part of its surrounding seas to create a city in her own image.;Void, Voidborn, Shurima, Icathia, Malzahar, KaiSa, RekSai, BelVeth
