Name;Text;OriginalText;Tags
Zaun;"Zaun est un vaste district relié à Piltover, qui s'étend dans les vallées et les profonds canyons situés en contrebas. Le peu de lumière qui atteint cette « basse-ville », filtré par les épaisses fumées émanant de l'entrelacs de tuyaux rouillés dont elle est parsemée, se reflète sur les vitres crasseuses de ses bâtiments à l'architecture industrielle. Zaun et Piltover constituaient autrefois une seule et même cité ; aujourd'hui, ces deux sociétés sont séparées mais vivent en symbiose. Bien qu'elle soit perpétuellement plongée dans un brouillard néfaste, Zaun est une ville florissante, dont les habitants sont dynamiques et la culture très riche. L'opulence de Piltover a permis à Zaun de se développer avec elle en tandem, comme un reflet sombre de la ville des hauteurs. La plupart des marchandises qui affluent vers la riche cité finissent par se retrouver sur les marchés noirs de sa sœur en contrebas, et les inventeurs Hextech qui jugent les réglementations de Piltover trop restrictives peuvent souvent mener librement leurs expériences, si dangereuses soient-elles, dans les tréfonds de Zaun. Le développement incontrôlé de diverses technologies à risque et l'industrialisation débridée ont transformé d'immenses portions de Zaun en quartiers pollués et mal famés. Des flots de résidus toxiques stagnent dans les bas-fonds de la ville, mais même dans ces secteurs, les habitants parviennent à mener leur vie et à prospérer.";;Zaun
Zaun;Il y a plus de trois mille ans, un port a été fondé dans l'isthme à l'emplacement actuel de Zaun. Il deviendra par la suite une partie de l'ancien empire de Shurima. On ne sait pas si le nom de la ville marchande était Kha'Zhun ou Osha Va'Zaun, mais au fil du temps, le nom a été changé en Zaun.\n\nPendant la Grande Guerre Darkin, Janna a protégé la ville de leurs conflits. À la fin de la guerre, les Targoniens cachèrent Styraatu, la Darkin Harp, au plus profond des cavernes de Zaun.;More than three thousand years ago, a port was founded in the isthmus in the would-be present location of Zaun. It would later become part of the ancient Shurima empire. It is unclear if the name of mercantile city was Kha'Zhun or Osha Va'Zaun, but over time the name was changed to Zaun.\n\nDuring the Great Darkin War, Janna shielded the city from their conflicts. When the war was over, the Targonians hid Styraatu, the Darkin Harp deep within the caverns of Zaun.;Zaun, Janna, Darkin
Zaun;Zaun a finalisé ses plans pour détruire une partie de l'isthme reliant Valoran et le continent sud, permettant un passage maritime sûr entre l'est et l'ouest de Valoran. Le plan impliquait l'utilisation de milliers de bombes chimiques pour ouvrir une zone du terrain afin de créer une caverne, mais les résultats ont été catastrophiques, car dans ce qui semblait être un accident, les bombes ont déclenché une série de tremblements de terre qui ont complètement détruit l'isthme. et a coulé de grands quartiers de Zaun et des milliers de ses citoyens, tout en laissant échapper des gaz toxiques dans les zones survivantes de la ville.\n\nJanna, habilitée par les prières du peuple de Zaun, arriva et a souffla le gaz, sauvant de nombreuses vies et marquant éternellement les esprits des habitants de Zaun, la convertissant d'une déesse de la foi pour les marins à une divinité gardienne pour Zaun. Elle n'a pas encore quitté Zaun après cet événement.\n\nFinalement, Zaun a été reconstruit. Afin de réguler le passage océanique sur lequel elles ont été construites, les Portes du Soleil furent construites, obligeant tout transport à travers les eaux à être régulé par Zaun. Cela a apporté une immense richesse à la ville et a probablement conduit à la construction et à l'élévation de Piltover de Zaun, car les clans marchands contrôlaient la majeure partie de l'argent passant par cette route commerciale.\n\nLa construction des Portes du Soleil a entraîné de grands changements dans l'est de Valoran et dans les mers orientales, car Noxus était désormais en mesure de regrouper plus facilement les ressources de tout son empire sans avoir besoin de voyager par voie terrestre, et les pirates de Bilgewater ont trouvé les mers débordantes de navires de commerce. attendant d'être pillé, alimentant le ventre criminel de la ville.;Zaun finalized its plans to destroy a portion of the isthmus connecting Valoran and the Southern Continent, allowing for safe sea passage between eastern and western Valoran. The plan involved using thousand of chemtech bombs to crack open an area of the land so that a cavern could be created, but the results were catastrophic, as in what seemed to be an accident the bombs triggered a series of earthquakes that completely destroyed the isthmus and sank large districts of Zaun and thousands of its citizens, while also leaking poisonous gas into the city's surviving areas.\n\nJanna, empowered by the prayers of Zaun's people, arrived and blew away the gas, saving many lives and being eternally remembered by Zaun's denizens, converting her from a goddess of faith for sailors to a guardian deity for Zaun. She has yet to leave Zaun following this event.\n\nEventually Zaun was rebuilt. In order to regulate the oceanic passage they were built over, the Sun Gates were constructed, forcing all transport through the waters to be regulated by Zaun. This brought immense wealth to the city and likely led to Piltover's construction and elevation from Zaun, as the merchant clans were in control of most of the money coming through this trade route.\n\nConstruction of the Sun Gates led to great changes in eastern Valoran and the eastern seas, as Noxus was from this point on able to more easily pool together resources from across its empire without needing land travel, and Bilgewater's pirates found the seas brimming with trade ships waiting to be plundered, feeding in to the criminal underbelly of the city.;Zaun, Piltover
Zaun;Urgot, un chef noxien qui a pris le contrôle de Dredge (une mine de prison chemtech) après avoir été lui-même prisonnier de la mine, a déclenché une émeute qui a détonné une veine chemtech dans la mine. Cela a secoué la ville au-dessus et a ouvert une prison. Dans une explosion qui rivalisait avec la naissance de Zaun elle-même, de nombreux prisonniers sont morts et des milliers d'autres ont disparu dans le puisard sous la ville. Mais les plus forts, comme toujours, ont survécu.;Urgot, a noxian headsman who took the control of the Dredge, a chemtech prison mine, after being a prisoner of the mine himself, started a riot that ignited a chemtech vein within the mine, Urgot shook the city above, and cracked the prison open in an explosion that rivaled the birth of Zaun itself. Many prisoners died, and thousands more disappeared into the Sump beneath the city. But the strong, as ever, survived.;Zaun, Urgot
Zaun;L'Ascension de Silco 1/2 :\n\nDes années après l'échec d'un soulèvement, le barman Vander maintient une paix précaire entre la ville souterraine et Piltover. Lors d'un braquage à Piltover, Vi, Powder, Mylo et Claggor pénètrent dans l'atelier de Jayce Talis et volent plusieurs de ses cristaux hexagonaux expérimentaux. L'un de ses cristaux se brise, fait exploser l'atelier et alerte l'attention des gardiens. Après s'être enfuis à Zaun, ils sont interceptés par un gang travaillant pour Silco. La destruction de l'atelier pousse les gardiens à lancer une enquête dans la ville souterraine, exacerbant les tensions.\n\nVander est approché par le shérif Grayson pour dénoncer anonymement les auteurs du braquage, mais il refuse. Silco est informé que les enfants de Vander étaient responsables du braquage et voit une opportunité de se débarrasser de Vander. Il attire le directeur Marcus à une réunion et le soudoie pour qu'il lui amène Vander. Après avoir ressassé le braquage raté, Vi décide d'assumer ses responsabilités et se prépare à se rendre. Vander apprend cela et se rend à la place. Alors que les gardiens arrêtent Vander, ils sont pris en embuscade par Silco et un voyou boosté par du Shimmer, tuant tous les gardiens sauf Marcus et prenant Vander en otage.;The Rise of Silco 1/2 :\n\nYears after a failed uprising, barkeep Vander maintains an uneasy peace between the undercity and Piltover. During a heist in Piltover, Vi, Powder, Mylo, and Claggor break into Jayce Talis' workshop and steal several of his experimental hex crystals. One of his crystals shatter, blowing up the workshop and alerts the attention of the wardens. After escaping to Zaun, they are intercepted by a gang working for Silco. The destruction of the workshop causes the wardens to launch an investigation into the undercity, escalating tensions.\n\nVander is approached by Sheriff Grayson to anonymously turn in the perpetrators of the heist, but he refuses. Silco is informed that Vander's children were responsible for the heist and sees an opportunity to get rid of Vander. He lures Warden Marcus into a meeting and bribes him to bring Vander to him. After contemplating the failed heist, Vi decides to take responsibility and prepares to turn herself in. Vander learns of this and takes her place instead. As the wardens arrest Vander, they are ambushed by Silco and a Shimmer empowered thug, killing all of the wardens except Marcus and taking Vander hostage.;Zaun, Vi, Jinx, Jayce
Zaun;L'Ascension de Silco 2/2 :\n\nVi regarde cela se dérouler et s'échappe vers la Dernière Goutte. Vi, Claggor et Mylo se préparent à libérer Vander, mais Powder doit rester en arrière. Voulant prouver qu'elle n'est pas faible, Powder décide de venir par tous les moyens, armée de certains de ses pièges faits maison et des cristaux hexagonaux. Le trio fait irruption dans l'entrepôt de Silco et tente de libérer Vander, pour découvrir que c'est un piège. Vi enfile les vieux gantelets de fer de Vander et retient les forces de Silco pendant que Claggor et Mylo libèrent Vander. Bien qu'il ait battu la plupart des forces de Silco, Vi est rapidement submergé par un voyou boosté au Shimmer et le groupe se barricade dans une pièce. Powder observe de l'extérieur et libère une bombe singe alimentée par un cristal hexagonal. La bombe explose, enflammant le Shimmer dans l'usine et tuant Claggor et Mylo.\n\nLes forces de Silco se remettent de l'explosion et Vander les combat, mais il n'est toujours pas à la hauteur du voyou boosté au Shimmer. Il est poignardé par Silco et jeté dans le feu. Vander parvient à trouver du Shimmer en bon état et l'ingère. Renforcé par la drogue, Vander abat le voyou et met Vi en sécurité. Vander finit par succomber à ses blessures et meurt, alors que Vi pleure sa mort, Powder apparaît, révélant que c'est elle qui a déclenché la bombe. Furieuse, Vi lui crie dessus et déclare qu'elle n'est plus sa sœur, la laissant pleurer seule. Silco s'approche de Powder et la prend sous sa garde. Vi le voit et essaie de revenir la chercher avant d'être assommé par Marcus. Vi est emmené à Piltover et enfermé dans la prison de Stillwater alors que Silco prend Powder sous son aile ainsi que le contrôle de la ville souterraine.;The Rise of Silco 2/2 :\n\nVi watches this unfold and escapes back to the Last Drop. Vi, Claggor, and Mylo prepare to free Vander, but Powder is told to stay back. Wanting to prove that she isn't weak, Powder decides to come any way, armed with some of her home made traps and the hex crystals. The trio break into Silco's warehouse and try to free Vander, only to find it's a trap. Vi dons Vander's old iron gauntlets and holds off Silco's forces as Claggor and Mylo free Vander. Despite beating most of Silco's forces, Vi is quickly overwhelmed by a Shimmer empowered thug and the group barricade themselves in a room. Powder watches from the outside and unleashes a monkey bomb powered by a hex crystal. The bomb detonates, igniting the Shimmer within the factory and killing Claggor and Mylo.\n\nSilco's forces recuperate from the explosion and Vander fights them off, however he is still no match for the Shimmer empowered thug. He is stabbed by Silco and thrown into the fire. Vander manages to find some undamaged Shimmer and ingests it. Empowered by the drug, Vander takes down the thug and gets Vi to safety. Vander eventually succumbs to his wounds and dies, as Vi mourns his death, Powder appears, revealing she was the one who set off the bomb. Furious, Vi yells at her and declaring she is no longer her sister, leaving her crying. Silco approaches Powder and takes her into his care, Vi sees this and tries to go back for her before being knocked out by Marcus. Vi is taken to Piltover and locked up in Stillwater Prison as Silco takes Powder under his wing and takes control of the undercity.;Zaun, Vi, Jinx
Zaun;Les zones commerciales et de divertissement sont situées au-dessus du niveau Entresol. C'est là que les riches de Zaun se rassemblent pour faire du shopping, dîner et échanger des marchandises et des fournitures d'en bas et où les Pilties vont passer de bons moments à bas prix.\n\n     - Marchés frontaliers : les niveaux où la division entre Zaun et Piltover s'estompe abritent des marchés florissants et des halls commerciaux. Les zones de Boundary Markets sont les plus cosmopolites de la ville, où des personnes de tous les horizons et de tous les niveaux de la société peuvent se trouver pour l'achat et la vente de marchandises.\n\n     - College of Techmaturgy : La grande tour du College of Techmaturgy s'élève du large canyon séparant le nord et le sud de Piltover, ancrée aux falaises supérieures par des ponts suspendus oscillants et d'épais câbles de fer qui résonnent comme des cordes musicales lorsque les vents soufflent fort de l'océan. C'est l'institution d'apprentissage la plus connue de la ville et un lieu privilégié pour la recherche techmaturgique, comme on pourrait l'imaginer.\n\n     - Station de pompage : installations situées à Piltover, abritant des pompes et des équipements pour déplacer l'air pur de Piltover à Zaun via des conduits.\n\n     - Skylight Commercia : Un marché sur la Promenade où les habitants parcourent les galeries, rencontrent des amis, dînent ou vont voir l'une des compagnies de joueurs qui visitent la ville souterraine avec des œuvres satiriques. L'atmosphère est chaleureuse et conviviale, et c'est l'endroit idéal pour se prélasser dans tout ce que Zaun a à offrir.;Entertainment and commercial zone located above the Entresol level, the promenade level are the upper reaches of Zaun exist alongside the lower districts of Piltover, though the differing architecture means the two could never be confused. This is where the wealthy of Zaun gather to shop, dine, and trade goods and supplies from below and where Pilties go for good, cheap times.\n\n    - Boundary Markets: The levels where division between Zaun and Piltover blurs are home to thriving markets and Commercia Halls. Boundary Markets areas are the most cosmopolitan of the city, where people from all walks of life and levels of society can be found for the purchase and sale of goods.\n\n        - First Assemblage of the Glorious Evolved: Located at the end of the Boundary Markets in southern Piltover, the Church is the main location where worshipers of the Glorious Evolved from both Piltover and Zaun come to worship their deity, the Gray Lady. Its is also a place where the disenfranchised come to seek refuge, and where the crippled come for techmaturgical miracles.\n\n    - College of Techmaturgy: The great tower of the College of Techmaturgy rises arrogantly from the wide canyon separating North and South Piltover, anchored to the upper cliffs by swaying suspension bridges and thick iron cables that thrum like musical strings when the winds blow in hard from the ocean. It is the city's best known institution of learning, and a prime location for techmaturgical research, as one might imagine.\n\n    - Pump Station: Facilities located in Piltover, housing pumps and equipment for moving clean air from Piltover into Zaun via ducts and vents.\n\n    - Skylight Commercia: A market in the Promenade where locals browse galleries, meet friends, dine, or go to see one of the companies of players that tour the undercity with satirical works. The atmosphere is warm and friendly, and it's the perfect place to bask in all that Zaun has to offer.;Zaun
Zaun;Le niveau d'entresol est un niveau de Zaun situé juste en dessous de la Promenade : la frontière fictive entre Piltover et Zaun. Au plus profond de Zaun, courtiers, négociants, trafiquants et artistes se mêlent dans des postes de traite et des ateliers creusés dans les falaises. C'est le niveau où Viktor est né.\n\n     - Salons d'Augmentation : Installations où les Zaunites peuvent s’installer diverses augmentations pour n'importe quelle utilisation.\n\n     - Station de respiration : Installations où les gens peuvent s'arrêter pour obtenir un sursis de l’air toxique de Zaun. Les reniflards transportent de l'air plus propre vers les zones polluées.\n\n     - Bridgewaltz : Situé sur l'un des niveaux inférieurs de l'Entresol, les Zauniens et les Piltoviens affluent vers le marché de Bridgewaltz pour goûter à tout ce qui fait la grandeur de la ville souterraine. Le meilleur de la musique, de la nourriture et des créations chemtech artisanales peut être trouvé ici tous les soirs.\n\n     - Cultivair : Grandes serres isolées spécialement conçues pour la culture d'arbres et de plantes. Les plus riches de Zaun les maintiennent comme un symbole de leur pouvoir et une source d'air pur. Des algues bioluminescentes et des fleurs nocturnes sont cultivées dans ces installations.\n\n     - Delicatessens : Type de commerce qui existe aussi dans le monde réel, vendant de la charcuterie, des fromages, des salades variées ainsi qu'une sélection de plats préparés insolites ou étrangers.\n\n     - Emberflit Alley : Un couloir étroit dans le brouillard. L'emplacement de la maison de Viktor.\n\n         - Laboratoire de Viktor : Le principal lieu de recherche de Viktor, l’inventeur robotique et cybernétique de la ville. Il a récemment été attaqué par Jayce de Piltover après que Viktor lui ait volé un cristal de Brackern et l'ait utilisé pour ses expériences.;The entresol level is a level of Zaun situated just below the Promenade: the notional border between Piltover and Zaun. Deep in Zaun, brokers, dealers, traffickers and entertainers mingle in cliff-dug trading posts and workshops. It is the level where Viktor was born.\n\n    - Augmentation Parlors: Facilities where Zaunites can be installed with various augmentations for any use.\n\n    - Breather Station: Facilities where people can stop in to get a reprieve from the Gray for a breath of less dingy air. Breather Pipes move cleaner air to polluted areas.\n\n    - Bridgewaltz: Located on one of the Entresol's lower levels, Zaunites and Piltovans alike flock to the Bridgewaltz market for a taste of everything that makes the undercity great. The best in music, food, and artisanal chemtech creations can be found here every night.\n\n    - Chemtech Seam: Crevasses in the cliffs that are the source of compounds used in chemtech.\n\n    - Cultivair: Large isolated greenhouses specifically designed to grow trees and plants. The wealthiest in Zaun maintain them as a symbol of their power and a source of clean air. Bioluminescent algae and night-blooming flowers are cultivated in these facilities.\n\n    - Delicatessens: A type of store that also exists in the real world, selling cold cuts, cheeses, and a variety of salads, as well as a selection of unusual or foreign prepared foods.\n\n    - Emberflit Alley: A fog-bound narrow corridor. The location of Viktor's house.\n\n        - Viktor's Laboratory: The main research location of Viktor, the city's infamous robotics and cybernetics inventor. It has recently been raided by Piltover's Jayce after Viktor stole a Brackern crystal from him and used it for his experiments.;Zaun, Jayce, Viktor, Brackern
Zaun;"Puisard niveaux 1/2 :\n\nLes puisards sont les niveaux les plus profonds de Zaun, où l'environnement devient sombre, de plus en plus désordonné et mal éclairé ; c’est densément étroit et l’on y trouve des tuyaux et des objets jetés. La plupart de la classe ouvrière vit ici ou juste au-dessus. Les profondeurs de Zaun comptent parmi les parties les plus sordides et pourtant les plus animées de la ville. D'épaisses fumées chimiques sillonnent les ruelles entre dee nombreux bâtiments industriels abandonnés. Il a été construit et reconstruit sur lui-même, et presque tout là-bas sert maintenant l'industrie chemtech (ou ses travailleurs) d'une manière ou d'une autre. Sump Works et le secteur 90TZ qui s'y trouve sont l'un des nombreux endroits de Zaun. C'est ici que Twitch a été repéré après sa mutation.\n\n     - Station de pompage de Bonscutt : une installation comprenant des pompes et des équipements pour éliminer les eaux usées du niveau Entresol, les déplaçant plus profondément dans Zaun. Situé près d'un arrêt pour le Rising Howl juste en dessous du niveau Entresol.\n\n     - Dredge Prison : Une mine de prison pour les composés chemtech profondément sous Zaun avec des conditions infernales. La prison détenait autrefois Urgot.\n\n     - Factorywood : Un endroit où de nombreuses usines sont situées à proximité les unes des autres. Les bassins de puisard sont des récipients contenant des produits chimiques situés dans le Factorywood. Situé quelque part sous le niveau Entresol et au-dessus du puisard.\n\n     - Old Hungry : Une tour d'horloge mécanisée emblématique dans le Vieux Zaun avec des engrenages de meulage exposés ; sa base est située au cœur du puisard. Il domine les niveaux de Piltover et n'a pas indiqué l'heure exacte depuis des années. C'est un repaire populaire pour les enfants zauniens et c'est le ""cœur du vieux Zaun"".";"Sump levels 1/2 : \n\nZaun's deepest levels, past the reaches of the Gray-filtered light, where the environment turns grim, increasingly disorderly, and poorly lit; it is densely cramped with piping and discarded items. Most of the working class live here or just above it. The depths of Zaun are amongst the most squalid yet vibrant parts of the city. The Zaun Gray has its origin here, rising from rank waterways or venting from corroded grilles. Thick chem-fumes thread the alleys between crowded abandoned industrial buildings. It has been built and rebuilt on top of itself, and almost everything there now serves the chemtech industry (or its workers) in some way. Sump Works, and Sector 90TZ located in it, are one of many locations in Zaun. It is here where Twitch was spotted after his mutational transformation.\n\n    - Bonscutt Pump Station: A facility including pumps and equipment for removing sewage from the Entresol level, moving it deeper into Zaun. Located near a stop for the Rising Howl right beneath the Entresol level.\n\n    - Dredge Prison: A prison mine for chemtech compounds deep beneath Zaun with hellish conditions. The prison once held Urgot.\n\n    - Factorywood: A place where many factories are situated close together. Sump pools are chemtech holding vessels located in the Factorywood. Located somewhere beneath the Entresol level and above the Sump.\n\n    - Old Hungry: An iconic mechanized clock tower in Old Zaun with exposed grinding gears; its base is located at the heart of the Sump. It towers high above the levels of Piltover and hasn't told the correct time in years. It is a popular haunt for Zaunite kids, and is the ""heart of Old Zaun.""";Zaun, Twitch, Urgot
Zaun;"Puisard niveau 2/2 :\n\n     - Priggs Industries : Priggs Industries est un complexe d'entrepôts et d'usines qui s'est avéré cacher des camps de travail forcé, ce qui a ruiné la réputation de l'entreprise. Graves était l'un des prisonniers qui s'est échappé de l'une des chambres de torture étroitement contrôlées de l'entreprise, connue sous le nom de The Locker.\n\n     - Les bidonvilles : Les bidonvilles de Zaun sont l'un des endroits les plus densément peuplés et pollués de Valoran. De gros tuyaux d'écoulement des déchets industriels sont placés autour de ses bâtiments. Beaucoup de ses habitants sont des ouvriers des usines de Zaun. Le Mur des Mémoires est un lieu de résidence où les habitants rendent hommage à ceux qu'ils ont perdus.\n\n         - Black Lanes : Situé à deux pas des Sumps, c'est un marché de bazars colorés, au cœur de Zaun où marchands et voleurs font affaire. Tout est à vendre et tout est volé. La région est connue pour la qualité particulièrement granuleuse de l'air.\n\n         - Orphelinat Hope House : Situé quelque part dans les bidonvilles entre Factorywood et Sump, c'est une maison d'enfants trouvés en ruine taillée dans les falaises criblées de grottes de Zaun, dédiée au bien-être des nombreux orphelins créés à la suite de la catastrophe qui a déchiré Zaun.\n\n         - Égouts de Zaun : les égouts de Zaun sont l'endroit où tous les déchets toxiques de la ville finissent et sont jetés à la mer. De nombreuses créatures, comme les rats, vivent dans cette zone souterraine. Certaines créatures ont été mutées par les déchets toxiques, par exemple Twitch.\n\n         - L'asile de Zaun pour les Irrémédiablement Troublés : L'asile de Zaun où le ""Docteur"" Edmundo a été abandonné quand il était très jeune. Il n'est plus opérationnel car Mundo ""guérit"" tout le monde à sa manière (on parle de meurtres).";Sump level 2/2 :\n\n    - Priggs Industries: Priggs Industries is a warehouse and factory complex that has turned out to hide slave labor camps, which has ruined the reputation of the company. Graves was one of the prisoners that escaped from one of the company's tightly controlled torture chambers, known as The Locker.\n\n    - The Slums: The slums of Zaun are one of the most densely populated and polluted locations in Valoran. Large pipes flowing with industrial waste are placed around its buildings. Many of its residents are workers in Zaun's factories. The Memorial Wall is a place where residence of the slums give homage to those they have lost.\n\n        - Black Lanes: Located close to the Sumps, this is a market of colorful bazaars, at the heart of Zaun where merchants and thieves do business. Anything is for sale, and everything is stolen. The area is known for the especially gritty quality of air.\n\n        - Commercia Fantastica: A market specializing primarily in gearwork toys. Possibly located in the Black Lanes.\n\n        - Hope House Orphanage: Located somewhere in the Slums between the Factorywood and the Sump, it is a crumbling foundling home cut into Zaun's cave-riddled cliffs, dedicated to the welfare of the many orphans created in the wake of the disaster that tore Zaun apart.\n\n        - Zaun Sewers: Zaun's sewers are where all the city's toxic waste ends up and is tossed into the sea. Many creatures, such as rats, live in this underground area. Some creatures have been mutated by the toxic waste, for instance Twitch.\n\n        - Zaun's Asylum for the Irreparably Troubled: The Asylum of Zaun 'Doctor' Edmundo was left to when he was very young. It is no longer operational due to Mundo 'curing' everyone in there in his own way (murder, that is).;Zaun, Graves, Twitch, Mundo
