Name;Text;Original Text;Tags
Darkin;Les Darkin sont des Dieux-Guerriers qui sont traumatisés par les horreurs de la Guerre du Néant ainsi que par l'auto-infliction par l'utilisation de la magie du sang. Actuellement, tous les Darkins connus ont été emprisonnés dans des armes, incapables de retrouver leurs formes de Darkin d'origine.;Darkin are God-Warriors who are traumatized by the horrors of the Void War as well as self infliction by the use of blood magic. Currently, all known Darkins have been imprisoned in weapons, unable to ever regain their original Darkin forms.;Darkin, Ascended
Darkin;Les Darkin sont des Transfigurés corrompus qui ont été emprisonnés dans leurs propres armes dans un acte qui a finalement mis fin à la guerre des Darkin. La nature de leur corruption est supposée être auto-infligée après la cicatrice mentale laissée par les horreurs d'innombrables guerres et celles dont ils ont été témoins pendant la Guerre du Néant, qui a finalement fait des ravages des siècles plus tard avec la mort d'Azir lors de son Ascension et la chute subséquente de Shurima, les laissant se sentir sans but, trahis et oubliés par le monde qu'ils ont juré de protéger et pour lequel ils ont donné leur vie mortelle pour se battre.;The Darkin are corrupt Ascended who were imprisoned within their own weapons in an act that ultimately ended the Darkin War. The nature of their corruption is implied to be self-inflicted after the mental scar left from the horrors of countless wars and those witnessed in the Void War, finally taking its toll on them centuries later with Azir's death during his Ascension and the subsequent fall of Shurima, leaving them feeling purposeless, betrayed and forgotten by the world they once swore to protect to which they gave their mortal lives to fight for.;Darkin, Ascended
Darkin;"Les Darkin ont commencé leur histoire en tant que guerriers humains vénérés de l'ancienne Shurima, élevés pour servir contre la menace depuis le seuil. Après avoir finalement stoppé l'incursion perverse du Néant, les Transfigurés survivants se sont qualifiés de ""Sunborn"" en tant que premiers témoins d'une aube de paix qu'ils ont apportée dans un monde désormais sûr.";"The Darkin began their story as revered human warriors of Ancient Shurima, Ascended into serving against the threat from the threshold. After finally halting the Void's perverse incursion, the surviving Ascended entitled themselves as ""Sunborn"" as first witnesses of a dawn of peace they brought to a now safe world.";Darkin, Ascended
Darkin;Les lois de vie des mortels avaient peu de sens pour les darkin. Au fil des siècles, ils ont maîtrisé de nombreuses formes interdites de magie primale, fabriquant leur propre chair et armure avec la même facilité, jusqu'à ce qu'ils soient complètement méconnaissables en tant que nobles guerriers qu'ils avaient été autrefois.;The laws of mortal life held little meaning for the darkin. Over the centuries, they mastered many forbidden forms of primal magic, crafting their own flesh and armor with equal ease, until they were completely unrecognizable as the noble warriors they had once been.;Darkin
Darkin;Vers la fin de la guerre des Darkin, les Darkin ont été emprisonnés dans leurs propres armes et brandis contre leurs frères jusqu'à ce que tous ceux qui restaient soient également piégés. Ceux qui détenaient un Darkin gagneraient une partie de leur pouvoir, mais à travers un hôte était aussi le seul moyen par lequel un Darkin gagnerait une dérision de liberté.;Toward the end of the Darkin War, the Darkin were imprisoned within their own weapons and wielded against their brethren until all who remained were likewise trapped. Those who held a Darkin would gain a portion of their power, but through a host was also the only avenue through which a Darkin to gain a mockery of freedom.;Darkin
Darkin;Même lorsqu'il est capable d'arracher le contrôle absolu d'un corps, le pouvoir d'un Darkin est trop important pour être contenu par n'importe quel corps mortel - condamnant le Darkin à un destin consistant à récolter constamment la force vitale, finissant par épuiser complètement l'énergie du mortel possédé et être forcé de chercher un autre hôte, de peur qu'ils ne soient rendus inanimés une fois de plus.;Even when able to wrest absolute control of a body, the power of a Darkin is too much for any mortal body to contain - condemning the Darkin to a fate of constantly harvesting life force, eventually completely depleting the mortal's energy and being forced to seek another host, lest they be rendered inanimate once more.;Darkin
Darkin;À ce jour, une reine guerrière en armure dorée est le seul être connu à avoir détenu un Darkin et à ne pas avoir succombé à sa volonté. Cela dit, son dernier acte après avoir envoyé tous les autres Darkin a été de se piéger elle-même et l’Arc du Darkin dans un puits à Pallas, se condamnant mais empêchant également la liberté du Darkin.;To date, a golden-armored warrior queen is the only being known to have held a Darkin and not succumbed to its will. That said, her final act after dispatching all other Darkin was to trap herself and  the Darkin Bow within a well in Pallas, condemning herself but denying the Darkin freedom as well.;Darkin, Varus, Pallas
Darkin;Lorsqu'un Transfiguré est créé, un concept céleste fusionne avec son corps mortel et lui confère un pouvoir de Transfiguré. Lorsqu'un Darkin est piégé, ce concept est piégé/supprimé. Les humains ne pouvaient même plus avoir la pensée/l'idée de ce dont le Darkin était l'avatar.;As an Ascended is created, a celestial concept merges with their mortal body and gains them ascended power. When a Darkin is trapped, that concept is trapped/deleted. Humans no longer could even have the thought/idea of what the Darkin was the avatar of.;Darkin
Darkin;Chaque aspect est l'incarnation d'un concept, s'il meurt, le concept qu'il incarne (guerre, crépuscule, errance, etc.) disparaîtra de la réalité, la changeant dans son ensemble. Les Darkin avaient leurs célestes/concepts déjà effacés, mais les efforts d'autres Transfigurés et mortels pour sceller les Darkin les empêchent de s'évanouir dans le néant.;Each Aspect is an embodiment of a concept, if they die, the concept they embody (war, twilight, wandering and etc.) will disappear from reality, changing it as a whole. The Darkin had their celestials/concepts already erased, but the efforts of other ascended and mortals with sealing the darkin prevent them from fading into nothingness.;Darkin, Aspects
Darkin;À partir du moment où un arme choisit un hôte, ce mortel se trouvera contraint par un pouvoir qu'il peut à peine espérer maîtriser - quels que soient les chuchotements séduisants qu'il pourrait entendre dans son esprit. Ce pouvoir prendra bientôt racine dans la chair et les os, les remodelant en un nouvel amalgame monstrueux.;From the moment a darkin weapon chooses a host, that mortal will find themselves compelled by a power they can scarcely hope to master—no matter what seductive whispers they might hear in their mind. That power will soon take root in flesh and bone, reshaping them into a new, monstrous amalgam.;Darkin
Darkin;"Le porteur de l'arme et tout Darkin piégé à l'intérieur semblent entrer dans une relation symbiotique, le porteur gagnant une partie du pouvoir du Darkin et le Darkin à son tour gagne un certain pouvoir et un lieu de liberté. Cependant, les Darkin peuvent dominer de manière parasitaire leur porteur, anéantissant ainsi la personnalité du porteur tout en affirmant librement leur libre arbitre ; de même, le porteur peut extirper la personnalité du Darkin pour avoir un accès complet au pouvoir de l'arme. Dans les deux cas, l'autre dominé est qualifié de « mourant ».";"The weapon's wielder and any Darkin trapped within seem to enter a symbiotic relationship, the wielder gaining a portion of the Darkin's power and the Darkin in turn gain some agency and a venue of freedom. However, the Darkin can parasitically dominate their wielder, thereby annihilating the wielder's personality while in turn freely affirming their agency; similarly, the wielder can extirpate the Darkin's persona to gain full access to the weapon's power. In both cases, the dominated other is described as ""dying"".";Darkin
Darkin;Bien que la soif de vengeance des Darkins soit inhumaine et éternelle, ils doivent surmonter les limites de leur nouvelle forme s'ils veulent un jour la satisfaire. Les souvenirs de qui ils étaient autrefois, de ce qu'ils aspiraient à être et de ce qu'ils sont devenus se confondent maintenant dans leurs esprits mortels imparfaits.;Though the darkin's hunger for vengeance is inhuman and eternal, they must overcome the limitations of their new form if they are ever to sate it. Memories of who they once were, what they aspired to be, and what they have become, all now blur together in their flawed, mortal minds.;Darkin
