Name;Text;OriginalText;Tags
Aatrox;Aatrox est né et a grandi à  Shurima à l'apogée de sa puissance. Il est finalement devenu un champion de Shurima, honoré pour son service à l'Empire.;Aatrox was born and raised in Shurima at the height of its power. He eventually became a champion of Shurima, being honored for his service to the Empire.;Aatrox, Shurima
Aatrox;Autrefois, Aatrox et ses frères étaient honorés pour avoir défendu Shurima contre le Néant. Mais ils finirent par devenir une menace plus grande encore pour Runeterra : la ruse et la sorcellerie durent être employées pour les battre. Cependant, après des siècles d'emprisonnement, Aatrox fut le premier à retrouver sa liberté, en corrompant et transformant les mortels assez stupides pour tenter de s'emparer de l'arme magique qui contenait son essence. Désormais en possession d'un corps qu'il a approximativement transformé pour rappeler son ancienne forme, il arpente Runeterra en cherchant à assouvir sa vengeance apocalyptique.;;Aatrox, Darkin
Aatrox;Aatroxx est surnomé l’épée des Darkin;;Aatrox, Darkin
Aatrox;L'entité connue sous le nom d'Aatrox était un guerrier d'élite de Shurima et un confident de la reine Setaka. Il a combattu dans la Guerre du Néant et a été traumatisé, ce qui a conduit à son auto-corruption après la mort d'Azir et la chute de Shurima. Libéré après des millénaires d'emprisonnement, il cherche maintenant la destruction de Runeterra - ne serait-ce que pour mettre fin à ses propres souffrances.;The entity known as Aatrox was an elite warrior of Shurima and confidant of Queen Setaka. He fought in the Void War and was traumatized, which led to his self-corruption after Azir's death and the fall of Shurima. Freed after millennia imprisoned, he now seeks the destruction of Runeterra - if only to end his own suffering.;Aatrox, Setaka, Shurima, Azir
Aatrox;Aatrox a été l'un des premiers à recevoir le don de l'Ascension à la fin de sa vie. Pendant ce temps, il était fidèle à l'Empire Shurima et l'avait servi toute sa vie. Il était noble et n'hésitait pas à aider ses camarades au combat. Lorsqu'il est devenu Transfiguré, il s'est vu confier un rôle accru dans l'armée. Il a participé à la bataille contre Icathia et a aidé à repousser le Néant de la région qui l'entoure.;Aatrox was one of the first to be granted the gift of Ascension at the end of his life. During this time, he was loyal to the Shuriman Empire and had served it for all his life. He was noble and would not hesitate to help his fellow soldiers in battle. When he Ascended, he was given a heightened role in the military. He participated in the battle against Icathia and helped drive back the Void from the region around it.;Aatrox, Ascended
Aatrox;Une fois devenu transfiguré, Aatrox obtint des ailes dorées comme la lumière de l’aube. Il était à l'avant-garde de tous les conflits nobles. Sa conduite était si juste et si pure que les autres dieux-guerriers se rangeaient toujours à ses côtés, et dix mille mortels de Shurima marchaient derrière lui.;;Aatrox, Ascended
Aatrox;Quand Setaka, la reine-guerrière transfigurée, fit appel à Aatrox pour mater la rébellion d'Icathia, il accourut sans hésitation. Mais nul ne pouvait prédire l'étendue des horreurs que les rebelles allaient déchaîner : les Icathiens perdirent vite le contrôle du Néant qu'ils avaient invoqué et qui se mit à annihiler toute vie devant lui.;;Aatrox, Setaka, Icathia
Aatrox;Après des années de combats désespérés, Aatrox et ses frères arrêtèrent enfin l'avancée du Néant et scellèrent les failles les plus larges d'où il se déversait à Icathia. Mais les Transfigurés survivants, autoproclamés Fils du soleil, furent tous changés par ce qu'ils avaient affronté. Shurima avait triomphé, mais ils avaient tous perdu quelque chose dans cette victoire... même le noble Aatrox.;;Aatrox, Ascended
Aatrox;Craignant que ces Transfigurés déchus soient aussi dangereux pour la survie de Runeterra que les incursions du Néant, les Targoniens intervinrent. On prétend que la Manifestation du crépuscule donna aux mortels la connaissance nécessaire pour piéger les Darkin, et que la Manifestation de la guerre, qui venait de renaître, unifia de nombreux combattants contre les déchus. Ne craignant aucun ennemi, Aatrox et ses armées ne refusèrent pas le combat et comprirent trop tard qu'ils avaient été trompés. Une force plus grande qu'un millier de soleils morts attira Aatrox dans l'épée qu'il avait toujours portée au combat et son essence immortelle y fut enchâssée à jamais.;;Aatrox, Ascended, Targon, Zoé, Darkin, Pantheon
Aatrox;Aatrox a été emprisoné dans son arme, et sa conscience y était enfermée dans des ténèbres suffocantes et éternelles, privée même de la possibilité de mourir. Pendant des siècles, il lutta contre cette geôle. Enfin, un mortel anonyme fut assez sot pour essayer de porter l'épée qu'Aatrox avait naguère levée contre ses ennemis. Aatrox saisit cette occasion : il imposa sa volonté et une imitation de sa forme originale à ce mortel. Mais ce faisant, il ôta toute vie à ce nouveau corps.;;Aatrox, Darkin
Aatrox;Les puissances célestes qu'Aatrox avait autrefois incarnées avaient été balayées de ce monde et du souvenir des hommes. Furieux contre cette injustice, Aatrox eut une idée qui ne pouvait naître que du désespoir d'un prisonnier. S'il ne pouvait pas détruire l'épée ou se libérer, il se consacrerait à l'oblitération. Désormais, Aatrox marche sans merci vers son objectif, apportant la mort et la guerre partout où il va. Il s'accroche à un espoir aveugle : s'il peut conduire toute la création dans une ultime bataille apocalyptique où tout, absolument tout, sera détruit, peut-être son épée et lui cesseront aussi d'exister.;;Aatrox, Ascended
Aatrox;La forme emprisonnée d'Aatrox a la forme d'une épée qu'il brandissait en tant que Darkin, une grande lame organique rouge avec des pointes acérées et un placage organique qui imite l'acier. Un cœur battant près de sa poignée est sa propre énergie vitale, pulsant à travers la lame. Lorsqu'il consomme l'essence d'un mortel, Aatrox essaie de changer son apparence pour celle qu'il avait lorsqu'il était Transfiguré.;Aatrox imprisoned form is in the shape of a sword he wielded as a Darkin, a large red organic blade with sharp spikes and organic platting that mimics steel. A beating heart near its handle is his own life energy, pulsating through the blade. When he consumes the essence of a mortal, Aatrox tries to changes his appearence to the one he had back when he was Ascended.;Aatrox, Darkin
Aatrox;Aatrox a entre 4396 et 5996 ans, étant parmi les premiers Shuriman Transfigurés. Sa conscience est piégée dans son arme, et l'arme est indestructible. Il n'existe aucun moyen connu de tuer définitivement Aatrox.;Aatrox is between 4396 – 5996 years old, being among the first Shuriman Ascended. His consciousness is trapped within his weapon, and the weapon is indestructible. There is no known way to permanently kill Aatrox.;Aatrox, Darkin, Ascended
Aatrox;Aatrox est essentiellement nu. Son armure est fait de chair mortelle sculptée par une magie contrôlant le sang.;;Aatrox
Aatrox;Sa cruauté et sa colère étaient tristement célèbres même parmi les autres Darkin. Cette réputation conduirait à son emprisonnement éventuel par les Aspects. Son esprit s'est encore détérioré pendant des périodes de temps inconnues emprisonné dans la prison qu’est son épée. ;His ruthlessness and anger were infamous even amongst other Darkin. This reputation would lead to his eventual imprisonment by the Aspects. His mind further deteriorated during unknown periods of time trapped in his sword prison. ;Aatrox, Darkin
Aatrox;Aatrox peut prendre le relais et changer la forme du corps de n'importe quel mortel qui manie son épée. Afin de changer la forme de leur corps, cependant, Aatrox doit en tuer d'autres et utiliser leur chair et leur sang pour changer sa forme. Il utilise souvent cette capacité pour se rapprocher le plus possible de sa précédente forme de Transfiguré.;Aatrox can take over and change the form of the body of any mortal that wields Aatrox's sword. In order to change the form of their body, however, Aatrox needs to kill others and use their flesh and blood to change his form. He often uses this ability to get as close to his previous Ascended form as possible.;Aatrox, Darkin
Aatrox;Aatrox a une haine profonde envers Targon, en particulier envers l'Aspect de la Guerre, qui a uni de nombreux mortels pour lutter contre Aatrox. Au cours de la bataille qui a suivi, Aatrox a été entraîné dans sa propre épée et sa conscience y était liée et piégée à l'intérieur. Aatrox a finalement combattu l'Aspect sous sa forme d'arme tout en essayant d'atteindre le sommet du mont Targon. Il tua l'Aspect et laissa son hôte, Atreus, mourir. Atreus a survécu, combattra plus tard Aatrox et gagnera.;Aatrox has deep hatred towards Targon, especially towards the Aspect of War, who united many mortals to fight against Aatrox. During the ensuing battle, Aatrox was pulled into his own sword and his consciousness was bound to it and trapped within it. Aatrox eventually battled the Aspect in his weapon form while trying to reach the top of Mount Targon. He killed the Aspect and left his host, Atreus, to die. Atreus survived and would later battle Aatrox and win.;Aatrox, Targon, Pantheon
Aatrox;L'hôte actuel d'Aatrox est un homme humain d'identité et d'origine inconnues. L'hôte a été complètement corrompu par la volonté d'Aatrox et n'est plus saillant. On ne sait pas si Aatrox a déjà changé d'hôte, bien qu'il soit connu pour préparer des hôtes potentiels.;Aatrox's current host is human male of unknown identity and origin. The host has been thoroughly corrupted to Aatrox's will and is no longer salient. It is unknown if Aatrox's has ever changed host although he has been known to groom potential hosts.;Aatrox
Aatrox;Aatrox était responsable de la décimation de la majeure partie de la tribu de Tryndamere et le considère comme un hôte idéal, tandis que Tryndamere considère Aatrox avec animosité.;Aatrox was responsible for decimating most of Tryndamere's tribe and sees him as an ideal host, while Tryndamere regards Aatrox with animosity.;Aatrox, Tryndamere
